ordem,cnpj,nome_fundo,status_scan,fontes_consultadas,status_online,erros_scan,originador,originador_status,originador_natureza,originador_fonte,originador_data,originador_pagina,originador_link,originador_camada,cedente,cedente_status,cedente_natureza,cedente_fonte,cedente_data,cedente_pagina,cedente_link,cedente_camada,sacado_devedor,sacado_devedor_status,sacado_devedor_natureza,sacado_devedor_fonte,sacado_devedor_data,sacado_devedor_pagina,sacado_devedor_link,sacado_devedor_camada,tipo_recebivel,tipo_recebivel_status,tipo_recebivel_natureza,tipo_recebivel_fonte,tipo_recebivel_data,tipo_recebivel_pagina,tipo_recebivel_link,tipo_recebivel_camada,minimo_junior,minimo_junior_status,minimo_junior_natureza,minimo_junior_fonte,minimo_junior_data,minimo_junior_pagina,minimo_junior_link,minimo_junior_camada,minimo_estrutural_total,minimo_estrutural_total_status,minimo_estrutural_total_natureza,minimo_estrutural_total_fonte,minimo_estrutural_total_data,minimo_estrutural_total_pagina,minimo_estrutural_total_link,minimo_estrutural_total_camada,natureza_indice,natureza_indice_status,natureza_indice_natureza,natureza_indice_fonte,natureza_indice_data,natureza_indice_pagina,natureza_indice_link,natureza_indice_camada
31,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,concluído,12,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
32,52242420000188,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,11,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
33,36886028000115,ALEPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,concluído,4,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
34,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,16,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
35,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,concluído,32,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"as U.R.s compostas por direitos creditórios detidos pelo Estabelecimento Credenciado em face do Devedor em decorrência de Transações de Pagamento, na modalidade de crédito pós -pago à vista, e/ou crédito pós -pago parcelado sem juros, e débito, realizad as pelos Usuários Finais com a utilização de Instrumentos de Pagamento para a aquisição de bens, produtos, mercadorias ou serviços nos Estabelecimentos Credenciados e devidos pelo Devedor, conforme aplicável, após o desconto das taxas que constituem a remuneração dos Arranjos de Pagamento, dos Emissores e das Credenciadoras, bem como de outras eventuais retenções previstas nas regras do Arranjo de Pagamento, as quais serão Docusign Envelope I",encontrado_explicito,,1147067,2026-03-25,88,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1147067,assembleia,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
36,32527650000186,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY I,concluído,12,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
37,50473039000102,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,concluído,23,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"os Estabelecimentos Comerciais (com relação aos Direitos Creditórios dos Estabelecimentos Comerciais) e o Mercado Crédito (com relação aos Direitos Creditórios do Mercado Crédito) que, nos termos do respectivo Contrato de Cessão, cedem a totalidade ou parte de seus respectivos Direitos Creditórios ao Fundo e, para tanto, tenham realizado",encontrado_explicito,,909547,2025-05-19,35,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=909547,regulamento,"o MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA., sociedade limitada, com sede na Avenida das Nações Unidas, nº 3.003, Parte E, Bonfim, no Município de Osasco, Estado de São Paulo, CEP 06.233-903, inscrita no CNPJ sob o nº 10.573.521/0001-91",encontrado_explicito,,909547,2025-05-19,40,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=909547,regulamento,"os Direitos Creditórios dos Estabelecimentos Comerciais e os Direitos Creditórios do Mercado Crédito quando referidos em co njunto ou de forma indistinta, conforme aplicável",encontrado_explicito,,467929,nan,1,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=467929,assembleia,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
38,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,concluído,37,consultado,,CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVIÇOS LTDA.,encontrado_explicito,rótulo explícito de participante v2,1147951,31/12/2025,1,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1147951,rating_report,"a CloudWalk que, de tempos em tempos, nos termos do Contrato de Cessão, cede seus respectivos Direitos Creditórios Elegíveis à Classe A",encontrado_explicito,,1117954,2026-02-19,116,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117954,regulamento,(i) a Credz Ltda,encontrado_explicito,,1117954,2026-02-19,122,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117954,regulamento,"os direitos creditórios de tempos em tempos detidos pela Cedente em face dos Devedores, conforme as regras dos Arranjos de Pagamentos abertos, decorrentes de Transações de Pagamento realizadas por Usuários -Finais com a utilização de Instrumentos de Pagamento, operacionalizadas pelo Sistema CloudWalk, para a aquisição de bens ou serviços nos Estabelecimentos Credenciados, equivalentes ao valor remanescente das Transações de Pagamento após o desconto das Taxas Aplicáveis",encontrado_explicito,,1117954,2026-02-19,123,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117954,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
39,60010416000112,MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,14,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
40,54979779000168,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,concluído,15,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"a Stone que, de tempos em tempos, nos termos do Contrato de Cessão, cede a totalidade ou parte de seus Direitos Creditórios Elegíveis à Classe",encontrado_explicito,,656484,09/05/2024,96,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=656484,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"os direitos creditórios de tempos em tempos detidos pela Cedente em face dos Devedores conforme as regras dos Arranjos de Pagamentos, decorrentes de Transações de Pagamento realizadas por Usuários -Finais com a utilização de Instrumentos de Pagamento, operacionalizadas pelo Sistema Stone, para a aquisição de bens ou serviços nos Estabelecimentos Credenciados, equivalentes ao valor remanescente das Transações de Pagamento após o desconto das Taxas Aplicáveis “Direitos Creditórios Cedidos” Significam os Direitos Creditórios Elegíveis, observada a Política de Investimento da Classe e os Critérios de Elegibilidade, cedidos pela Cedente à Classe, nos termos do Contrato de Cessão e dos respectivos",encontrado_explicito,,656484,09/05/2024,102,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=656484,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
41,42922136000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,concluído,0,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
42,12817329000129,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",concluído,8,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
43,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,concluído,22,consultado,,CLOUDWALK INSTITUIÇÃO DE PAGAM ENTO E SERVIÇOS LTDA.,encontrado_explicito,rótulo explícito de participante v2,1008479,21/08/2025,1,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1008479,rating_report,"a CloudWalk que, de tempos em tempos, nos termos do Contrato de Cessão, cede seus respectivos Direitos Creditórios Elegíveis à Classe A",encontrado_explicito,,993687,2025-09-04,103,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993687,regulamento,(i) o Itaú Unibanco S.A,encontrado_explicito,,993687,2025-09-04,108,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993687,regulamento,"os direitos creditórios de tempos em tempos detidos pela Cedente em face dos Devedores, conforme as regras dos Arranjos de Pagamentos abertos, decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento, operacionalizadas pelo Sistema CloudWalk, para a aquisição de bens ou serviços nos Estabelecimentos Credenciados, equivalentes ao valor remanescente das Transações de Pagamento após o desconto das Taxas Aplicáveis",encontrado_explicito,,993687,2025-09-04,109,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993687,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
44,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,concluído,1,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
45,57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,concluído,31,consultado,,CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVIÇOS LTDA.,encontrado_explicito,rótulo explícito de participante v2,1008477,21/08/2025,1,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1008477,rating_report,"a CloudWalk que, de tempos em tempos, nos termos do Contrato de Cessão, cede seus respectivos Direitos Creditórios Elegíveis à Classe A",encontrado_explicito,,993693,2025-09-04,102,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993693,regulamento,(i) o Itaú Unibanco S.A,encontrado_explicito,,993693,2025-09-04,106,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993693,regulamento,"os direitos creditórios de tempos em tempos detidos pela Cedente em face dos Devedores, conforme as regras dos Arranjos de Pagamentos abertos, decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento, operacionalizadas pelo Sistema CloudWalk, para a aquisição de bens ou serviços nos Estabelecimentos Credenciados, equivalentes ao valor remanescente das Transações de Pagamento após o desconto das Taxas Aplicáveis",encontrado_explicito,,993693,2025-09-04,111,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=993693,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
46,53286499000101,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,concluído,0,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
47,53263761000100,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,2,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
48,53216449000158,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,concluído,2,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
49,63700113000110,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,concluído,4,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
50,51152102000163,HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,concluído,8,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
51,29301202000155,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,concluído,0,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
52,42358004000196,ACONCÁGUA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,concluído,8,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
53,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,concluído,16,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
54,53029409000105,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,concluído,6,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,"No âmbito das diligências relacionadas à aquisição de direitos creditórios, o Gestor deve verificar a existência, integridade e titularidade do lastro dos direitos e títulos representativos de crédito que compõem a carteira do Fundo, observando os seguintes parâmetros: I – A verificação de lastro poderá ser efetuada por amostragem, utilizando modelo estatístico consistente e passível de verificação, observados os parâmetros relativos à diversificação de devedores, quantidade e valor médio dos créditos a serem observados para esse fim",encontrado_explicito,,672615,28/11/2023,11,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=672615,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,20%,encontrado_explicito,suporte_combinado_pl,672615,28/11/2023,27,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=672615,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
55,51079269000146,CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,7,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
56,29225241000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,concluído,0,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
57,07727002000126,FIDC PCG - BRASIL MULTICARTEIRA,concluído,9,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
58,29109350000172,JC DIVERSIFICADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,concluído,10,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
59,24194675000187,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,concluído,8,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
60,55344996000144,SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,concluído,8,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
61,19388423000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOX I,concluído,16,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,1.306 4.602 5.348 1.803 1.607 3.973 1.708 1.480 3.135 4.250 818 2.080 Baixa Por Deposito,encontrado_explicito,rótulo explícito de participante v2,980020,22/05/2025,6,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=980020,rating_report,pessoas físicas e/ou jurídicas que figurem na qualidade de devedores dos Direitos Creditórios,encontrado_explicito,,1230432,26/06/2026,46,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1230432,regulamento,"os direitos creditórios performados e a performar, podendo ser representados por duplicatas, cheques, CCB recebíveis de cartão de crédito, notas comerciais, ou por quaisquer outros títulos de crédito ou instrumentos contratuais, oriundos de operações realizadas pelos Cedentes nos segmentos financeiro, industrial, comercial e de prestação de serviços de acordo com os critérios de composição e diversificação estabelecidos pela legislação vigente e neste Anexo Descritivo, sendo tais direitos de crédito representados pelos Documentos Comprobatórios",encontrado_explicito,,1230432,26/06/2026,46,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1230432,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,33%,encontrado_explicito,suporte_total_pl,980020,22/05/2025,2,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=980020,rating_report,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
62,53300525000109,IBCB-AF01 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,concluído,2,não solicitado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,os cedentes e/ou endossantes que realizam a transferência de Direitos de Crédito à Classe por meio de celebração de Contrato de Cessão,encontrado_explicito,,1183189,2026-05-08,5,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1183189,regulamento,"as sociedades que compõem o Grupo Casas Bahia S.A., sociedade anônima com sede no Município de São Paulo, Estado de São Paulo, à Avenida Rebouças, nº 3970, 28º andar, inscrita no CNPJ sob o nº 33.041.260/0652-90",encontrado_explicito,,1183189,2026-05-08,13,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1183189,regulamento,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
63,05754060000113,CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,concluído,12,consultado,,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D,N/D,não encontrado,,N/D,N/D,N/D,N/D,N/D
