grupo,cnpj,fundo,documentos_inventariados,pdfs_locais_analisaveis,documentos_sem_pdf_local,paginas_pdf_locais,quebra_por_categoria
Soma,41.970.012/0001-26,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,78,40,38,2964,assembleia: 15; emissao: 2; evento: 1; outro: 38; regulamento: 22
Soma,37.511.828/0001-14,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,73,39,34,1951,assembleia: 26; evento: 1; outro: 34; regulamento: 12
Soma,33.254.370/0001-04,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,75,30,45,1282,assembleia: 16; evento: 1; outro: 45; regulamento: 13
