period_key,period_label,categoria,before_volume_brl,after_volume_brl,delta_brl,before_share,after_share,delta_pp,period_total_before_brl,period_total_after_brl,source_before,source_after,note
2023,2023,Fomento Mercantil,4751893772.390954971313,4355347460.331231117249,-396546312.059723854065,0.116235573438,0.106535695834,-0.969987760348,40881578950.775657653809,40881578950.775657653809,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2023,2023,"Agro, Indústria e Comércio",10432998463.290513992310,8725651793.954372406006,-1707346669.336141586304,0.255200477356,0.213437250172,-4.176322718337,40881578950.775657653809,40881578950.775657653809,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2023,2023,Financeiro,17130552944.999811172485,19333582504.410610198975,2203029559.410799026489,0.419028652627,0.472916726815,5.388807418773,40881578950.775657653809,40881578950.775657653809,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2023,2023,Outros,8566133770.094377517700,8466997192.079446792603,-99136578.014930725098,0.209535296580,0.207110327179,-0.242496940087,40881578950.775657653809,40881578950.775657653809,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2024,2024,Fomento Mercantil,10685143145.940000534058,9715143145.940000534058,-970000000.000000000000,0.120890982207,0.109916468236,-1.097451397137,88386602133.850006103516,88386602133.850006103516,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2024,2024,"Agro, Indústria e Comércio",21484603508.400001525879,19803603508.400001525879,-1681000000.000000000000,0.243075341621,0.224056622048,-1.901871957307,88386602133.850006103516,88386602133.850006103516,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2024,2024,Financeiro,44666091525.330001831055,46917091525.330001831055,2251000000.000000000000,0.505349119063,0.530816779836,2.546766077274,88386602133.850006103516,88386602133.850006103516,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2024,2024,Outros,11550763954.180000305176,11950763954.180000305176,400000000.000000000000,0.130684557108,0.135210129880,0.452557277170,88386602133.850006103516,88386602133.850006103516,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2025,2025,Fomento Mercantil,10934801149.059999465942,9034801149.059999465942,-1900000000.000000000000,0.102709536838,0.084863019344,-1.784651749322,106463347861.649993896484,106463347861.649993896484,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2025,2025,"Agro, Indústria e Comércio",28719656999.610000610352,28719656999.610000610352,0.000000000000,0.269760979496,0.269760979496,0.000000000000,106463347861.649993896484,106463347861.649993896484,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2025,2025,Financeiro,51126760923.680000305176,52426760923.680000305176,1300000000.000000000000,0.480228754314,0.492439529441,1.221077512694,106463347861.649993896484,106463347861.649993896484,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
2025,2025,Outros,15682128789.299999237061,16282128789.299999237061,600000000.000000000000,0.147300729352,0.152936471718,0.563574236628,106463347861.649993896484,106463347861.649993896484,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
jun25,jan–jun/25,Fomento Mercantil,4139959873.199999809265,4059959873.199999809265,-80000000.000000000000,0.078935160385,0.077409828492,-0.152533189312,52447601968.400001525879,52447601968.400001525879,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
jun25,jan–jun/25,"Agro, Indústria e Comércio",19393812676.319999694824,19393812676.319999694824,0.000000000000,0.369775012555,0.369775012555,0.000000000000,52447601968.400001525879,52447601968.400001525879,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
jun25,jan–jun/25,Financeiro,21121682090.319999694824,21601682090.319999694824,480000000.000000000000,0.402719691609,0.411871682967,0.915199135871,52447601968.400001525879,52447601968.400001525879,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
jun25,jan–jun/25,Outros,7792147328.559999465942,7392147328.559999465942,-400000000.000000000000,0.148570135452,0.140943475986,-0.762665946559,52447601968.400001525879,52447601968.400001525879,git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700,ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,"Comparação de artefatos materializados; total do período preservado. Em 2023, ambos os lados mantêm o mesmo fator ANBIMA."
