chunk_id,extracted_at_utc,documents_scanned,participant_candidates,participant_accepted,participant_suppressed,participant_funds,participant_with_name,participant_with_cnpj,participant_with_page,criteria_candidates,criteria_funds,criteria_with_threshold,criteria_with_page,subordination_candidates,subordination_funds,avg_participant_confidence,avg_criteria_confidence,participant_types,criteria_keys,rerun_command
doc-0054,2026-07-10T17:21:43+00:00,100,14,12,2,4,3,14,14,119,8,19,119,6,2,0.6543,0.8197,cedente_originador,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0054
doc-0055,2026-07-10T17:21:45+00:00,100,24,24,0,2,19,24,24,99,8,31,99,28,4,0.8854,0.8335,cedente_originador,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0055
doc-0056,2026-07-10T17:21:48+00:00,100,0,0,0,0,0,0,0,77,6,11,77,10,3,,0.827,,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0056
doc-0057,2026-07-10T17:21:52+00:00,100,23,21,2,5,20,23,23,185,9,46,185,32,5,0.8317,0.8317,cedente_originador | consultora,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0057
doc-0058,2026-07-10T17:21:55+00:00,100,9,6,3,5,7,9,9,171,12,50,171,44,7,0.6978,0.8338,cedente_originador | consultora,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0058
doc-0059,2026-07-10T17:21:58+00:00,100,3,3,0,1,3,3,3,123,12,17,123,8,2,0.95,0.8215,cedente_originador,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0059
doc-0060,2026-07-10T17:22:02+00:00,100,34,13,21,5,15,31,34,148,9,67,148,61,6,0.5271,0.8474,consultora | sacado_devedor | cedente_originador,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0060
doc-0061,2026-07-10T17:22:05+00:00,100,12,1,11,2,4,12,12,118,10,28,118,22,4,0.395,0.8298,consultora | cedente_originador,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0061
doc-0062,2026-07-10T17:22:08+00:00,100,16,15,1,3,15,16,16,228,7,7,228,7,2,0.8825,0.8119,cedente_originador,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0062
doc-0063,2026-07-10T17:22:12+00:00,100,11,9,2,2,11,11,11,130,9,9,130,5,1,0.8627,0.8094,cedente_originador,eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0063
doc-0064,2026-07-10T17:22:15+00:00,100,26,21,5,5,20,23,26,163,10,29,163,14,4,0.7465,0.8275,cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0064
doc-0065,2026-07-10T17:22:18+00:00,100,20,15,5,3,18,20,20,149,10,30,149,12,3,0.7195,0.8272,consultora | cedente_originador | sacado_devedor,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0065
doc-0066,2026-07-10T17:22:21+00:00,100,12,0,12,2,5,12,12,182,10,11,182,11,3,0.3067,0.8212,cedente_originador | sacado_devedor,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0066
doc-0067,2026-07-10T17:22:25+00:00,100,8,5,3,1,5,8,8,169,8,51,169,48,4,0.7063,0.8316,cedente_originador,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0067
doc-0068,2026-07-10T17:22:29+00:00,100,49,25,24,7,47,39,49,173,8,7,173,0,0,0.6471,0.8139,consultora | cedente_originador,eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0068
doc-0069,2026-07-10T17:22:32+00:00,100,4,3,1,2,4,4,4,144,9,25,144,7,2,0.73,0.8233,cedente_originador,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0069
doc-0070,2026-07-10T17:22:35+00:00,100,12,9,3,3,10,12,12,72,8,19,72,15,4,0.7625,0.8303,sacado_devedor | cedente_originador,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0070
doc-0071,2026-07-10T17:22:40+00:00,100,19,9,10,5,12,19,19,236,10,36,236,12,2,0.6226,0.825,cedente_originador | sacado_devedor | consultora,subordination_not_applicable | eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0071
doc-0072,2026-07-10T17:22:43+00:00,100,3,3,0,2,3,3,3,122,11,19,122,15,2,0.95,0.8282,cedente_originador,subordination_not_applicable | subordination_ratio_min | concentration_limit | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0072
doc-0073,2026-07-10T17:22:47+00:00,100,4,2,2,2,4,2,4,207,9,81,207,72,1,0.5575,0.84,sacado_devedor | cedente_originador | consultora,eligibility_rule | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0073
doc-0074,2026-07-10T17:22:50+00:00,100,3,3,0,1,3,3,3,166,10,24,166,12,2,0.95,0.8245,cedente_originador,concentration_limit | subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0074
doc-0075,2026-07-10T17:22:53+00:00,100,14,5,9,4,8,14,14,172,10,10,172,6,2,0.5429,0.8187,cedente_originador | consultora,eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0075
doc-0076,2026-07-10T17:22:57+00:00,100,31,24,7,9,25,31,31,248,14,15,248,12,4,0.7168,0.8194,cedente_originador | consultora | sacado_devedor,eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0076
doc-0077,2026-07-10T17:23:01+00:00,100,29,25,4,5,8,29,29,152,14,27,152,22,6,0.6448,0.8287,cedente_originador | sacado_devedor | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0077
doc-0078,2026-07-10T17:23:04+00:00,94,14,8,6,3,8,14,14,153,14,47,153,29,4,0.6214,0.8325,cedente_originador,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0078
