measure,ranking_code,ranking_label,window,participant,rank,value_brl_or_count,share
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,KEA CAPITAL MARKETS,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,ORIZ ASSESSORIA FINANCEIRA LTDA,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,acumulado_ano,TORO INVESTIMENTOS,,0.0,
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,ITAU BBA,1.0,63243877247.479996,0.24625711518
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BRADESCO BBI,2.0,41748429792.95001,0.16255878564
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BTG PACTUAL,3.0,41171196807.58002,0.16031117313
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,XP INVESTIMENTOS,4.0,21531971414.36,0.08384054545
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,SANTANDER,5.0,20279371315.01,0.0789632087
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,UBS BB,6.0,16498856899.64,0.06424275488
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,SAFRA,7.0,11860631260.56,0.0461825708
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,VOTORANTIM,8.0,9213277582.339998,0.03587438433
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,ABC BRASIL,9.0,4760577780.5,0.01853659519
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,CEF,10.0,4553499800.0,0.01773028115
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BB-BI,11.0,3883726245.11,0.01512233694
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BR PARTNERS,12.0,2743429757.41,0.01068228463
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,13.0,2620330000.0,0.01020296248
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,CITIGROUP,14.0,1984837400.39,0.00772850043
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,DAYCOVAL,15.0,1785777462.7,0.0069534068
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,INTER,16.0,1543020568.19,0.00600816728
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BNP PARIBAS,17.0,1425530750.0,0.00555068894
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,M7 IB,18.0,1164405061.0,0.00453392555
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BOCOM BBM,19.0,725802506.66,0.00282610806
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BNDES,20.0,605000000.0,0.00235573088
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,CANAL COMPANHIA DE SECURITIZAÇÃO,21.0,451849000.0,0.0017593961
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,OPEA SECURITIZADORA,22.0,376415000.0,0.00146567345
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,MAX CAPITAL MARKETS,23.0,302088000.0,0.00117626121
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,ORIZ ASSESSORIA FINANCEIRA LTDA,24.0,295895000.0,0.00115214709
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,ARCHX CAPITAL,25.0,284123594.36,0.00110631194
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BANCO SUMITOMO MITSUI BRASILEIRO,26.0,277500000.0,0.00108052119
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,One Corporate,27.0,264298477.0,0.00102911749
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,CREDIT AGRICOLE,28.0,210870750.0,0.00082108221
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,29.0,204234000.0,0.00079524023
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,RB CAPITAL DTVM,30.0,173199193.02,0.00067439783
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,KEA CAPITAL MARKETS,31.0,92278000.0,0.00035930931
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,JGP FINANCIAL ADVISORY,32.0,89114500.0,0.00034699137
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,GENIAL CV,33.0,79191202.84,0.00030835233
distribuicao_valor,1,Renda Fixa Consolidado,ultimos_12_meses,BANCO BS2,34.0,71463414.63,0.0002782621
