chunk_id,document_count,cnpj_count,priority_2025_2026_docs,local_ready_docs,hashed_docs,total_bytes,document_date_min,document_date_max,document_classes,source_tables,sample_cnpjs,rerun_command
doc-0022,200,33,0,200,200,71325064,2020-03-02,2024-12-09,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","28169275000172, 28472333000132, 28472392000100, 28880400000158, 28912351000198, 29242926000175, 29720593000142, 29957532000101",python scripts/build_fidc_industry_documents.py --chunk-id doc-0022
doc-0023,200,25,0,200,200,45337778,2020-06-08,2024-11-28,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","36643621000130, 36703167000166, 36977085000100, 37035970000132, 37054545000190, 37284201000178, 37406818000119, 37511828000114",python scripts/build_fidc_industry_documents.py --chunk-id doc-0023
doc-0024,200,14,0,200,200,43455283,2021-05-20,2024-12-03,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","41351629000163, 41520452000181, 41579569000130, 41609394000167, 41649912000176, 41673514000195, 41687404000182, 41755875000180",python scripts/build_fidc_industry_documents.py --chunk-id doc-0024
doc-0025,200,33,0,200,200,36845413,2021-08-30,2024-11-29,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","42154687000160, 42174080000141, 42196288000161, 42336323000109, 42462162000191, 42627599000138, 42627753000171, 42747344000109",python scripts/build_fidc_industry_documents.py --chunk-id doc-0025
doc-0026,194,35,0,194,194,64801436,2022-08-16,2024-12-04,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","47669476000183, 47758232000177, 47936340000192, 48213143000108, 48279539000158, 48905593000161, 49520420000198, 49617028000161",python scripts/build_fidc_industry_documents.py --chunk-id doc-0026
doc-0027,47,35,0,47,47,24265022,2023-12-08,2024-12-19,regulamento,"cedentes_sacados_candidates, manual_review_queue","52511329000110, 52596071000100, 52649689000183, 52997572000190, 53018439000108, 53073603000180, 53109835000140, 53109903000171",python scripts/build_fidc_industry_documents.py --chunk-id doc-0027
doc-0028,200,28,0,200,200,64328326,2024-03-05,2024-12-30,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","54019802000172, 54049164000132, 54095003000185, 54148306000119, 54218673000141, 54218941000125, 54219179000100, 54248022000102",python scripts/build_fidc_industry_documents.py --chunk-id doc-0028
doc-0029,146,35,0,146,146,26742812,2024-04-19,2024-12-30,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","54810968000102, 54871427000194, 54965252000184, 54976450000143, 54979338000166, 54980022000194, 54985529000130, 55013574000196",python scripts/build_fidc_industry_documents.py --chunk-id doc-0029
doc-0030,69,35,0,69,69,27932300,2024-07-03,2024-10-21,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","55579164000107, 55609516000120, 55635126000124, 55685665000178, 55686549000173, 55695976000118, 55711612000184, 55711648000168",python scripts/build_fidc_industry_documents.py --chunk-id doc-0030
doc-0031,96,35,0,96,96,25867202,2024-09-09,2024-12-27,"assembleia, emissao, extracao_json, regulamento","cedentes_sacados_candidates, manual_review_queue, pricing_tranche_enriched, regulatory_extractions","57182268000109, 57182898000183, 57186320000103, 57223832000194, 57246541000111, 57259989000170, 57271402000148, 57283589000108",python scripts/build_fidc_industry_documents.py --chunk-id doc-0031
doc-0032,63,11,0,63,63,1779183,,,"extracao_json, regulamento","cedentes_sacados_candidates, regulatory_extractions","58291962000127, 58423669000176, 58442833000192, 60010416000112, 62552447000120, 62626887000185, 62690693000149, 62696791000193",python scripts/build_fidc_industry_documents.py --chunk-id doc-0032
