chunk_id,extracted_at_utc,documents,ready_docs,cached_docs,pdf_docs,json_docs,text_cache_docs,ocr_ready_docs,ocr_required_docs,error_docs,page_count,pages_processed,pages_with_text,text_chars,cache_bytes,avg_confidence,status_mix,source_methods,sample_documents,rerun_command
doc-0001,2026-07-09T19:07:15+00:00,116,116,116,100,0,16,0,0,0,3713,3729,3729,9415375,2683837,0.8069,text_ready,pypdf_all_pages | text_cache_utf-8,"928766_assembleia_assembleia_928766_2025-06-30.pdf, 939819_assembleia_assembleia_939819_2025-06-30.pdf, 954682_emissao_emissao_954682_2025-07-28.pdf, 939731_emissao_emissao_939731_2025-07-02.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0001
doc-0002,2026-07-09T19:40:57+00:00,101,101,101,67,25,9,0,0,0,3835,3869,3859,9850742,2758623,0.8416,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"844748_regulamento_regulamento_844748_2025-02-17_2025-02-17.pdf, 932409_regulamento_regulamento_932409_2025-06-18_2025-06-18.pdf, 28960803000107_932409_regulamento_regulamento_932409_2025-06-18_2025-06-18.txt, 1023848_assembleia_assembleia_1023848_2025-10-28.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0002
doc-0003,2026-07-09T19:42:43+00:00,86,86,86,80,0,6,0,0,0,3620,3626,3625,8723037,2476804,0.8035,text_ready,pypdf_all_pages | text_cache_utf-8,"988500_assembleia_assembleia_988500_2025-09-11.pdf, 935244_assembleia_assembleia_935244_2025-06-11.pdf, 1179284_regulamento_regulamento_1179284_2026-05-04_2026-05-04.pdf, 39270085000163_1179284_regulamento_regulamento_1179284_2026-05-04_2026-05-04.txt",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0003
doc-0004,2026-07-09T19:27:10+00:00,78,78,78,52,14,12,0,0,0,3015,3041,3036,8492681,2410424,0.8346,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"851797_assembleia_assembleia_851797_2025-02-28.pdf, 851798_regulamento_regulamento_851798_2025-02-28.pdf, 985913_regulamento_regulamento_985913_2025-08-29_2025-08-29.pdf, 1040431_assembleia_assembleia_1040431_2025-10-02.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0004
doc-0005,2026-07-09T19:39:47+00:00,96,96,96,65,21,10,0,0,0,3693,3724,3722,9719421,2751091,0.838,structured_ready | text_ready,json_passthrough_utf-8 | pypdf_all_pages | text_cache_utf-8,"467929.local.json, 467930.local.json, 468755.local.json, 468756.local.json",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0005
doc-0006,2026-07-09T20:32:21+00:00,60,60,60,56,0,4,1,0,0,4495,4499,4496,9997034,2771249,0.8058,text_ready | ocr_ready,pypdf_all_pages | text_cache_utf-8 | macos_vision_ocr_all_pages,"995531_regulamento_regulamento_995531_2025-09-10_2025-09-10.pdf, 1182131_regulamento_regulamento_1182131_2026-05-07_2026-05-07.pdf, 1183189_regulamento_regulamento_1183189_2026-05-08_2026-05-08.pdf, 832606_regulamento_regulamento_832606_2025-02-06_2025-02-06.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0006
doc-0007,2026-07-09T19:20:49+00:00,49,49,49,45,0,4,0,0,0,2621,2625,2624,6621518,1855846,0.8041,text_ready,pypdf_all_pages | text_cache_utf-8,"1071679_regulamento_regulamento_1071679_2025-12-24_2025-12-24.pdf, 54904072000192_1071679_regulamento_regulamento_1071679_2025-12-24_2025-12-24.txt, 1132451_regulamento_regulamento_1132451_2026-03-10_2026-03-10.pdf, 1140267_regulamento_regulamento_1140267_2026-03-06_2026-03-06.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0007
doc-0008,2026-07-09T19:25:04+00:00,55,55,55,49,0,6,0,0,0,2487,2493,2491,5991553,1724650,0.8055,text_ready,pypdf_all_pages | text_cache_utf-8,"907717_regulamento_regulamento_907717_2025-05-09_2025-05-09.pdf, 55938045000101_907717_regulamento_regulamento_907717_2025-05-09_2025-05-09.txt, 1086224_regulamento_regulamento_1086224_2026-01-09_2026-01-09.pdf, 1158589_assembleia_assembleia_1158589_2026-04-06.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0008
doc-0009,2026-07-09T19:23:47+00:00,59,59,59,48,0,11,0,0,0,2640,2651,2646,7054025,2013133,0.8093,text_ready,pypdf_all_pages | text_cache_utf-8,"1178981_regulamento_regulamento_1178981_2026-04-30_2026-04-30.pdf, 57506211000118_1178981_regulamento_regulamento_1178981_2026-04-30_2026-04-30.txt, 837176_regulamento_regulamento_837176_2025-02-07_2025-02-07.pdf, 885207_regulamento_regulamento_885207_2025-04-23_2025-04-23.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0009
doc-0010,2026-07-09T19:18:51+00:00,70,70,70,40,0,30,0,0,0,2210,2240,2240,7652368,2196450,0.8214,text_ready,pypdf_all_pages | text_cache_utf-8,"1005769_regulamento_regulamento_1005769_2025-09-26_2025-09-26.pdf, 58486398000106_1005769_regulamento_regulamento_1005769_2025-09-26_2025-09-26.txt, 863055_regulamento_regulamento_863055_2025-03-19_2025-03-19.pdf, 58488141000185_863055_regulamento_regulamento_863055_2025-03-19_2025-03-19.txt",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0010
doc-0011,2026-07-09T19:25:56+00:00,89,89,89,50,10,29,0,0,0,2467,2506,2501,8538230,2409280,0.8331,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"863909_regulamento_regulamento_863909_2025-03-25_2025-03-25.pdf, 872150_regulamento_regulamento_872150_2025-03-31_2025-03-31.pdf, 1152702_regulamento_regulamento_1152702_2026-04-01_2026-04-01.pdf, 59679768000186_1152702_regulamento_regulamento_1152702_2026-04-01_2026-04-01.txt",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0011
doc-0012,2026-07-09T20:32:23+00:00,65,65,65,40,0,25,1,0,0,2486,2510,2510,7360417,2081421,0.8208,text_ready | ocr_ready,pypdf_all_pages | text_cache_utf-8 | macos_vision_ocr_all_pages,"1029065_regulamento_regulamento_1029065_2025-10-01_2025-10-01.pdf, 952682_regulamento_regulamento_952682_2025-07-10_2025-07-10.pdf, 949782_regulamento_regulamento_949782_2025-07-10_2025-07-10.pdf, 997497_regulamento_regulamento_997497_2025-09-19_2025-09-19.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0012
doc-0013,2026-07-09T19:44:20+00:00,164,164,164,85,56,23,0,0,0,4867,4946,4943,14523678,3941249,0.8582,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"1089563_regulamento_regulamento_1089563_2026-01-21_2026-01-21.pdf, 1064366_regulamento_regulamento_1064366_2025-12-16_2025-12-16.pdf, 61896279000128_1064366_regulamento_regulamento_1064366_2025-12-16_2025-12-16.txt, 1213807_regulamento_regulamento_1213807_2026-02-12_2026-02-12.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0013
doc-0014,2026-07-09T19:22:18+00:00,95,95,95,46,19,30,0,0,0,2646,2695,2694,9535545,2668956,0.8458,text_ready | structured_ready,pypdf_all_pages | text_cache_utf-8 | json_passthrough_utf-8,"1087977_regulamento_regulamento_1087977_2026-01-12_2026-01-12.pdf, 62758520000115_1087977_regulamento_regulamento_1087977_2026-01-12_2026-01-12.txt, 997060_regulamento_regulamento_997060_2025-09-23_2025-09-23.pdf, 62786631000135_997060_regulamento_regulamento_997060_2025-09-23_2025-09-23.txt",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0014
doc-0015,2026-07-09T19:20:13+00:00,72,72,72,43,0,29,0,0,0,2161,2190,2186,7495017,2176007,0.8201,text_ready,pypdf_all_pages | text_cache_utf-8,"1179652_regulamento_regulamento_1179652_2026-04-27_2026-04-27.pdf, 63845478000132_1179652_regulamento_regulamento_1179652_2026-04-27_2026-04-27.txt, 1068666_regulamento_regulamento_1068666_2025-12-18_2025-12-18.pdf, 1057809_regulamento_regulamento_1057809_2025-12-10_2025-12-10.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0015
