competencia,segmento,nivel,valor
2013-07,Cartao de credito,top,667622921.48
2013-07,Factoring,top,2219627569.34
2013-07,Setor publico,top,1744077499.44
2013-07,Acoes judiciais,top,2108991296.71
2013-07,Marcas e patentes,top,0.0
2013-07,Financeiro: credito pessoal,sub,2535604409.5
2013-07,Financeiro: consignado,sub,9535216549.6
2013-07,Financeiro: credito corporativo,sub,84932594.91
2013-07,Financeiro: middle market,sub,1758415756.46
2013-07,Financeiro: veiculos,sub,8959642652.560001
2013-07,Financeiro: imobiliario empresarial,sub,489028402.56
2013-07,Financeiro: imobiliario residencial,sub,202052340.09
2013-07,Financeiro: outros,sub,2320652009.0899997
2013-08,Industrial,top,35319173047.049995
2013-08,Imobiliario,top,148592024.22
2013-08,Comercial,top,7250751899.200001
2013-08,Servicos,top,5541174534.11
2013-08,Agronegocio,top,533501036.14
2013-08,Financeiro,top,25700578932.44
2013-08,Cartao de credito,top,642760069.95
2013-08,Factoring,top,2108380690.8699996
2013-08,Setor publico,top,1823098237.6599998
2013-08,Acoes judiciais,top,2072013450.2
2013-08,Marcas e patentes,top,0.0
2013-08,Financeiro: credito pessoal,sub,2388438117.16
2013-08,Financeiro: consignado,sub,9575402199.45
2013-08,Financeiro: credito corporativo,sub,214824213.9
2013-08,Financeiro: middle market,sub,1741366592.8899999
2013-08,Financeiro: veiculos,sub,8654910579.74
2013-08,Financeiro: imobiliario empresarial,sub,218307050.45000002
2013-08,Financeiro: imobiliario residencial,sub,563057694.95
2013-08,Financeiro: outros,sub,2344272483.9
2013-09,Industrial,top,33677373358.479996
2013-09,Imobiliario,top,163818074.42000002
2013-09,Comercial,top,7275500891.35
2013-09,Servicos,top,5668748566.36
2013-09,Agronegocio,top,678876732.01
2013-09,Financeiro,top,25704553322.870003
2013-09,Cartao de credito,top,649526019.84
2013-09,Factoring,top,2697928312.7700005
2013-09,Setor publico,top,1927203398.3200002
2013-09,Acoes judiciais,top,1572625234.54
2013-09,Marcas e patentes,top,0.0
2013-09,Financeiro: credito pessoal,sub,2292404722.06
2013-09,Financeiro: consignado,sub,9484552585.16
2013-09,Financeiro: credito corporativo,sub,224949370.94
2013-09,Financeiro: middle market,sub,1727151787.52
2013-09,Financeiro: veiculos,sub,8637541772.59
2013-09,Financeiro: imobiliario empresarial,sub,228546217.3
2013-09,Financeiro: imobiliario residencial,sub,567136602.95
2013-09,Financeiro: outros,sub,2542270264.35
2013-10,Industrial,top,30309612272.489998
2013-10,Imobiliario,top,309711561.09000003
2013-10,Comercial,top,7209931400.799999
2013-10,Servicos,top,4614851827.79
2013-10,Agronegocio,top,1186764728.31
2013-10,Financeiro,top,25302776417.89
2013-10,Cartao de credito,top,626964157.54
2013-10,Factoring,top,2912850428.5299997
2013-10,Setor publico,top,1941787480.1299999
2013-10,Acoes judiciais,top,2861139081.74
2013-10,Marcas e patentes,top,0.0
2013-10,Financeiro: credito pessoal,sub,2226524908.6699996
2013-10,Financeiro: consignado,sub,9724224814.400002
2013-10,Financeiro: credito corporativo,sub,295769009.9
2013-10,Financeiro: middle market,sub,1679143459.83
2013-10,Financeiro: veiculos,sub,8163074614.46
2013-10,Financeiro: imobiliario empresarial,sub,234864674.19
2013-10,Financeiro: imobiliario residencial,sub,686787074.75
2013-10,Financeiro: outros,sub,2292387861.6899996
2013-11,Industrial,top,34253864418.85
2013-11,Imobiliario,top,298786494.61
2013-11,Comercial,top,7149724958.280001
2013-11,Servicos,top,5621808648.13
2013-11,Agronegocio,top,1317578423.23
2013-11,Financeiro,top,24450364160.83
2013-11,Cartao de credito,top,640235685.8
2013-11,Factoring,top,2996701781.8100004
2013-11,Setor publico,top,1978596412.1600003
2013-11,Acoes judiciais,top,2745083263.13
2013-11,Marcas e patentes,top,0.0
2013-11,Financeiro: credito pessoal,sub,2187013423.1
2013-11,Financeiro: consignado,sub,9075718283.130001
2013-11,Financeiro: credito corporativo,sub,238220336.57
2013-11,Financeiro: middle market,sub,1657649075.2
2013-11,Financeiro: veiculos,sub,7839999243.68
2013-11,Financeiro: imobiliario empresarial,sub,224860277.26000002
2013-11,Financeiro: imobiliario residencial,sub,625281691.72
2013-11,Financeiro: outros,sub,2601621830.17
2013-12,Industrial,top,31840797108.71
2013-12,Imobiliario,top,281489252.09999996
2013-12,Comercial,top,7250911605.76
2013-12,Servicos,top,6183579754.940001
2013-12,Agronegocio,top,1381474559.24
2013-12,Financeiro,top,22717651657.180004
2013-12,Cartao de credito,top,674442223.25
2013-12,Factoring,top,3276038046.6800003
2013-12,Setor publico,top,1799767212.99
2013-12,Acoes judiciais,top,2767509854.4300003
2013-12,Marcas e patentes,top,0.0
2013-12,Financeiro: credito pessoal,sub,2062781441.59
2013-12,Financeiro: consignado,sub,7478863307.92
2013-12,Financeiro: credito corporativo,sub,665659383.49
2013-12,Financeiro: middle market,sub,1070278519.8
2013-12,Financeiro: veiculos,sub,7816556010.17
2013-12,Financeiro: imobiliario empresarial,sub,291258181.13
2013-12,Financeiro: imobiliario residencial,sub,574547429.38
2013-12,Financeiro: outros,sub,2757707383.7
2014-01,Industrial,top,28905002958.129997
2014-01,Imobiliario,top,316782323.53000003
2014-01,Comercial,top,7188926429.960001
2014-01,Servicos,top,5981680488.110001
2014-01,Agronegocio,top,1366488747.17
2014-01,Financeiro,top,22752816883.839996
2014-01,Cartao de credito,top,698121856.2199999
2014-01,Factoring,top,3135316268.4
2014-01,Setor publico,top,1822314630.6600003
2014-01,Acoes judiciais,top,2782057378.76
