competencia,publication_status,status_reason,n_veiculos,pl_total,previous_vehicles,previous_pl_brl,vehicle_ratio_vs_previous,pl_ratio_vs_previous,tab1_coverage,tab2_coverage,x1_coverage,x2_coverage,x4_coverage,tab7_coverage,generated_at_utc
2013-01,completa,competência histórica consolidada,412,69051990816.48001,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-02,completa,competência histórica consolidada,414,70227445134.45999,412.0,69051990816.48001,1.0048543689320388,1.0170227433573058,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-03,completa,competência histórica consolidada,417,68095643741.27,414.0,70227445134.45999,1.0072463768115942,0.9696443265292027,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-04,completa,competência histórica consolidada,419,70202431319.89,417.0,68095643741.27,1.0047961630695443,1.0309386542643573,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-05,completa,competência histórica consolidada,417,82130414632.10999,419.0,70202431319.89,0.9952267303102625,1.1699084075573962,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-06,completa,competência histórica consolidada,415,93007240019.91,417.0,82130414632.10999,0.9952038369304557,1.1324335867110986,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-07,completa,competência histórica consolidada,420,89103816885.98001,415.0,93007240019.91,1.0120481927710843,0.9580309755122892,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-08,completa,competência histórica consolidada,420,83429386915.90001,420.0,89103816885.98001,1.0,0.936316645365022,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-09,completa,competência histórica consolidada,419,81646833715.91,420.0,83429386915.90001,0.9976190476190476,0.9786339889829601,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-10,completa,competência histórica consolidada,428,78563682492.29,419.0,81646833715.91,1.0214797136038185,0.9622379572691352,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-11,completa,competência histórica consolidada,430,83088917751.1,428.0,78563682492.29,1.0046728971962617,1.0575995818329176,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2013-12,completa,competência histórica consolidada,430,84521499149.37,430.0,83088917751.1,1.0,1.0172415460093176,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-01,completa,competência histórica consolidada,431,85879786096.91,430.0,84521499149.37,1.0023255813953489,1.0160703130115993,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-02,completa,competência histórica consolidada,430,80087063970.5,431.0,85879786096.91,0.9976798143851509,0.9325484798032301,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-03,completa,competência histórica consolidada,435,82008316621.08,430.0,80087063970.5,1.0116279069767442,1.02398955031349,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-04,completa,competência histórica consolidada,436,76178864842.94,435.0,82008316621.08,1.0022988505747126,0.9289163341191965,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-05,completa,competência histórica consolidada,446,77467668384.69,436.0,76178864842.94,1.0229357798165137,1.0169181247896928,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-06,completa,competência histórica consolidada,456,74995502202.05,446.0,77467668384.69,1.0224215246636772,0.9680877683014327,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-07,completa,competência histórica consolidada,458,76775602465.01999,456.0,74995502202.05,1.0043859649122806,1.0237360936416442,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-08,completa,competência histórica consolidada,462,73416048421.88,458.0,76775602465.01999,1.0087336244541485,0.9562419058232641,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-09,completa,competência histórica consolidada,466,74721666110.22,462.0,73416048421.88,1.0086580086580086,1.0177838186119383,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-10,completa,competência histórica consolidada,465,76742257500.18,466.0,74721666110.22,0.9978540772532188,1.027041573015509,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-11,completa,competência histórica consolidada,472,75928450115.70999,465.0,76742257500.18,1.0150537634408603,0.9893955766877448,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2014-12,completa,competência histórica consolidada,477,76436831792.10999,472.0,75928450115.70999,1.0105932203389831,1.0066955360688286,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-01,completa,competência histórica consolidada,476,71989010730.87,477.0,76436831792.10999,0.9979035639412998,0.9418104995071355,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-02,completa,competência histórica consolidada,482,72980949615.88,476.0,71989010730.87,1.0126050420168067,1.0137790320347415,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-03,completa,competência histórica consolidada,488,73541905327.28001,482.0,72980949615.88,1.012448132780083,1.0076863306705721,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-04,completa,competência histórica consolidada,488,77509197773.28,488.0,73541905327.28001,1.0,1.0539460111666203,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-05,completa,competência histórica consolidada,494,75124669704.16,488.0,77509197773.28,1.0122950819672132,0.9692355470366896,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-06,completa,competência histórica consolidada,504,78975222019.69,494.0,75124669704.16,1.0202429149797572,1.0512554974377049,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-07,completa,competência histórica consolidada,509,77675112198.25,504.0,78975222019.69,1.0099206349206349,0.983537750345091,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-08,completa,competência histórica consolidada,498,79218771470.27,509.0,77675112198.25,0.9783889980353635,1.0198732802352461,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-09,completa,competência histórica consolidada,516,84554671176.61,498.0,79218771470.27,1.036144578313253,1.0673565066373505,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-10,completa,competência histórica consolidada,520,79922852859.86002,516.0,84554671176.61,1.0077519379844961,0.945221023838228,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-11,completa,competência histórica consolidada,519,84169050198.17,520.0,79922852859.86002,0.9980769230769231,1.0531287008204704,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2015-12,completa,competência histórica consolidada,527,84691001574.42001,519.0,84169050198.17,1.0154142581888246,1.0062012268764007,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-01,completa,competência histórica consolidada,526,84317947022.03,527.0,84691001574.42001,0.9981024667931688,0.9955951099236653,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-02,completa,competência histórica consolidada,525,83686775750.20999,526.0,84317947022.03,0.9980988593155894,0.9925143899476692,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-03,completa,competência histórica consolidada,530,81201821665.95,525.0,83686775750.20999,1.0095238095238095,0.9703064903387228,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-04,completa,competência histórica consolidada,534,82550918482.04001,530.0,81201821665.95,1.0075471698113208,1.0166141200826744,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-05,completa,competência histórica consolidada,541,80157834858.12001,534.0,82550918482.04001,1.0131086142322097,0.971010817711972,1.00184842883549,1.00184842883549,1.00184842883549,1.00184842883549,1.00184842883549,1.00184842883549,2026-07-16T03:26:27+00:00
2016-06,completa,competência histórica consolidada,548,78647490131.52,541.0,80157834858.12001,1.0129390018484288,0.9811578652383347,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-07,completa,competência histórica consolidada,552,83478901036.45,548.0,78647490131.52,1.0072992700729928,1.0614312153744583,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-08,completa,competência histórica consolidada,560,86598300479.04001,552.0,83478901036.45,1.0144927536231885,1.0373675192636755,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-09,completa,competência histórica consolidada,561,87251904214.95999,560.0,86598300479.04001,1.0017857142857143,1.0075475353708376,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-10,completa,competência histórica consolidada,566,86906407866.81,561.0,87251904214.95999,1.0089126559714796,0.9960402428891546,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-11,completa,competência histórica consolidada,567,89129311018.69,566.0,86906407866.81,1.0017667844522968,1.0255781271651079,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2016-12,completa,competência histórica consolidada,575,93803241587.05,567.0,89129311018.69,1.0141093474426808,1.0524398821772547,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-01,completa,competência histórica consolidada,586,89372048939.82,575.0,93803241587.05,1.0191304347826087,0.9527607727381381,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-02,completa,competência histórica consolidada,594,91877603717.75,586.0,89372048939.82,1.0136518771331058,1.0280351050205545,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-03,completa,competência histórica consolidada,603,94200168880.35,594.0,91877603717.75,1.0151515151515151,1.0252789044186978,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-04,completa,competência histórica consolidada,612,90732800394.03,603.0,94200168880.35,1.0149253731343284,0.9631914833324328,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-05,completa,competência histórica consolidada,620,88161106690.67001,612.0,90732800394.03,1.0130718954248366,0.9716564054874118,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-06,completa,competência histórica consolidada,626,90538103924.23,620.0,88161106690.67001,1.0096774193548388,1.0269619713588685,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-07,completa,competência histórica consolidada,630,94518711984.59,626.0,90538103924.23,1.0063897763578276,1.0439661080564633,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-08,completa,competência histórica consolidada,642,102852724438.57,630.0,94518711984.59,1.019047619047619,1.0881731487764958,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-09,completa,competência histórica consolidada,656,99494448286.9,642.0,102852724438.57,1.0218068535825544,0.9673486903725551,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-10,completa,competência histórica consolidada,672,93431299220.67,656.0,99494448286.9,1.024390243902439,0.9390604282889591,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-11,completa,competência histórica consolidada,694,96170311041.17,672.0,93431299220.67,1.0327380952380953,1.0293157843607728,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2017-12,completa,competência histórica consolidada,750,115248038417.62,694.0,96170311041.17,1.080691642651297,1.1983743961094493,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-01,completa,competência histórica consolidada,752,116047749951.71,750.0,115248038417.62,1.0026666666666666,1.0069390468165031,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-02,completa,competência histórica consolidada,766,113838901733.6,752.0,116047749951.71,1.0186170212765957,0.9809660401082386,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-03,completa,competência histórica consolidada,785,118032923450.44,766.0,113838901733.6,1.024804177545692,1.0368417267996368,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-04,completa,competência histórica consolidada,798,125733367487.25,785.0,118032923450.44,1.0165605095541401,1.0652397976064982,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-05,completa,competência histórica consolidada,821,120000463113.28998,798.0,125733367487.25,1.0288220551378446,0.9544042724017444,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-06,completa,competência histórica consolidada,824,126115560481.71,821.0,120000463113.28998,1.0036540803897687,1.0509589480721162,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-07,completa,competência histórica consolidada,834,127858304986.02,824.0,126115560481.71,1.0121359223300972,1.01381863187741,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-08,completa,competência histórica consolidada,846,128543409266.27998,834.0,127858304986.02,1.014388489208633,1.0053583087960918,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-09,completa,competência histórica consolidada,857,130546002952.83,846.0,128543409266.27998,1.0130023640661938,1.015579123799351,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-10,completa,competência histórica consolidada,868,133970119263.28,857.0,130546002952.83,1.0128354725787632,1.0262291930277423,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
2018-11,completa,competência histórica consolidada,882,136339190820.23,868.0,133970119263.28,1.0161290322580645,1.017683581756722,1.0,1.0,1.0,1.0,1.0,1.0,2026-07-16T03:26:27+00:00
