chunk_id,diagnosed_at_utc,documents,local_ready_docs,docs_with_text,pdf_docs,pdf_text_ready_docs,pdf_needs_ocr_docs,json_ready_docs,text_cache_ready_docs,error_docs,missing_docs,avg_confidence,status_mix,source_methods,sample_documents,chunk_status,status_lote,rerun_command
doc-0016,2026-07-09T18:55:57+00:00,250,250,250,116,116,0,105,29,0,0,0.8246,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages | json_load_utf-8,"1129298_regulamento_regulamento_1129298_2026-03-05_2026-03-05.pdf, 1138961_regulamento_regulamento_1138961_2026-03-12_2026-03-12.pdf, 65343842000191_1138961_regulamento_regulamento_1138961_2026-03-12_2026-03-12.txt, 1127556_regulamento_regulamento_1127556_2026-03-02_2026-03-02.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0016
doc-0017,2026-07-09T18:56:14+00:00,250,250,250,60,60,0,183,7,0,0,0.8626,json_ready | pdf_text_ready | text_ready,json_load_utf-8 | pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"1176315.local.json, 1179056.local.json, 1179144.local.json, 1179147.local.json",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0017
doc-0018,2026-07-09T18:56:16+00:00,250,250,249,76,75,1,147,27,0,0,0.847,json_ready | pdf_text_ready | text_ready | pdf_needs_ocr,json_load_utf-8 | pypdf_first_2_pages | text_cache_utf-8,"434919.local.json, 468340.local.json, 468341.local.json, 480997.local.json",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0018
doc-0019,2026-07-09T18:56:26+00:00,250,250,250,65,65,0,165,20,0,0,0.857,json_ready | pdf_text_ready | text_ready,json_load_utf-8 | pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"1203913.local.json, 174730.local.json, 174749.local.json, 181768.local.json",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0019
doc-0020,2026-07-09T18:56:31+00:00,250,250,250,70,70,0,156,24,0,0,0.8532,text_ready | pdf_text_ready | json_ready,text_cache_utf-8 | pypdf_first_2_pages | json_load_utf-8 | pypdf_first_1_pages,"39680495000182_1106634_regulamento_regulamento_1106634_2026-02-03_2026-02-03.txt, 39703077000163_901613_regulamento_regulamento_901613_2025-05-05_2025-05-05.txt, 39722215000151_1186708_regulamento_regulamento_1186708_2026-05-04_2026-05-04.txt, 39769235000188_1023665_regulamento_regulamento_1023665_2025-10-29_2025-10-29.txt",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0020
doc-0021,2026-07-09T18:56:36+00:00,220,220,220,46,46,0,137,37,0,0,0.8602,json_ready | pdf_text_ready | text_ready,json_load_utf-8 | pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages,"1141598.local.json, 1142353.local.json, 1154936.local.json, 1158616.local.json",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0021
doc-0022,2026-07-09T18:56:42+00:00,192,192,192,49,49,0,106,37,0,0,0.8521,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | json_load_utf-8,"675392_regulamento_regulamento_675392_2024-05-03_2024-05-03.pdf, 49776300000156_917087_regulamento_regulamento_917087_2025-05-23_2025-05-23.txt, 669068_regulamento_regulamento_669068_2024-05-24_2024-05-24.pdf, 49793609000154_669068_regulamento_regulamento_669068_2024-05-24_2024-05-24.txt",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0022
doc-0023,2026-07-09T18:56:38+00:00,201,201,200,57,56,1,108,36,0,0,0.846,pdf_text_ready | text_ready | pdf_needs_ocr | json_ready,pypdf_first_2_pages | text_cache_utf-8 | pypdf_first_1_pages | json_load_utf-8,"613176_regulamento_regulamento_613176_2024-02-29_2024-02-29.pdf, 53189745000107_613176_regulamento_regulamento_613176_2024-02-29_2024-02-29.txt, 617809_regulamento_regulamento_617809_2024-03-07_2024-03-07.pdf, 723476_regulamento_regulamento_723476_2024-08-09_2024-08-09.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0023
doc-0024,2026-07-09T18:56:45+00:00,159,159,159,47,47,0,78,34,0,0,0.845,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | json_load_utf-8 | pypdf_first_1_pages,"632685_regulamento_regulamento_632685_2024-04-01_2024-04-01.pdf, 54543217000177_632685_regulamento_regulamento_632685_2024-04-01_2024-04-01.txt, 634435_assembleia_assembleia_634435_2024-04-01.pdf, 664160_emissao_emissao_664160_2024-04-23.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0024
doc-0025,2026-07-09T18:56:50+00:00,85,85,85,23,23,0,27,35,0,0,0.8388,pdf_text_ready | text_ready | json_ready,pypdf_first_2_pages | text_cache_utf-8 | json_load_utf-8,"741609_regulamento_regulamento_741609_2024-09-18_2024-09-18.pdf, 55486394000121_741609_regulamento_regulamento_741609_2024-09-18_2024-09-18.txt, 688902_regulamento_regulamento_688902_2024-06-27_2024-06-27.pdf, 691674_assembleia_assembleia_691674_2024-07-03.pdf",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0025
doc-0026,2026-07-09T18:56:48+00:00,115,115,115,26,26,0,52,37,0,0,0.85,text_ready | pdf_text_ready | json_ready,text_cache_utf-8 | pypdf_first_2_pages | json_load_utf-8,"57182268000109_1111438_regulamento_regulamento_1111438_2026-02-04_2026-02-04.txt, 770058_regulamento_regulamento_770058_2024-10-30_2024-10-30.pdf, 57182898000183_770058_regulamento_regulamento_770058_2024-10-30_2024-10-30.txt, 57186320000103_940775_regulamento_regulamento_940775_2025-07-07_2025-07-07.txt",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0026
doc-0027,2026-07-09T18:56:52+00:00,44,44,44,0,0,0,40,4,0,0,0.8955,json_ready | text_ready,json_load_utf-8 | text_cache_utf-8,"1005989.local.json, 1005991.local.json, 1007124.local.json, 1018871.local.json",processar,pendente,python scripts/build_fidc_industry_documents.py --chunk-id doc-0027
