rank,participant_key,participant_cnpj,participant_name,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,confidence_median,sector,administrators,managers,custodians,first_evidence_date,latest_evidence_date,commercial_signal_brl
69,BMP SOCIEDADE DE CREDITO DIRETO S.A,,BMP Sociedade de Crédito Direto S.A,1,23175212.583333332,81250000.0,0.68,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,NEXA FINANCE LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-04-10,2026-04-10,104425212.58333333
70,34991938000132,34991938000132,"SIMPALA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",1,31458842.145,71250000.0,0.95,"Atividades financeiras, seguros e serviços relacionados",VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2025-03-20,2025-03-20,102708842.145
71,SIMPALA S.A,,SIMPALA S.A,1,31458842.145,71250000.0,0.68,,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2025-04-22,2025-04-22,102708842.145
72,43299408000119,43299408000119,MEUCASHCARD SERVICOS TECNOLOGICOS E FINANCEIROS SA,1,52314470.94,50000000.0,0.95,"Atividades profissionais, científicas e técnicas",VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,IRON CAPITAL GESTÃO DE RECURSOS LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-04-29,2025-04-29,102314470.94
73,53062420000169,53062420000169,CON INVEST LTDA,1,52806417.885,48500000.0,0.78,"Atividades profissionais, científicas e técnicas",BANCO DAYCOVAL S.A.,CULTINVEST ASSET MANAGEMENT LTDA,BANCO DAYCOVAL S.A.,2023-12-20,2023-12-20,101306417.88499999
74,62138578000166,62138578000166,RT RENTAL SPE LTDA,1,0.0,100000000.0,0.93,Atividades administrativas e serviços complementares,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-02-09,2026-02-09,100000000.0
75,07175725000160,07175725000160,WEG EQUIPAMENTOS ELETRICOS S/A - CORPORATIVO,1,49997648.095,49500000.0,0.76,"Atividades profissionais, científicas e técnicas",VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-05-08,2026-05-08,99497648.095
76,14309992000148,14309992000148,WEG DRIVES & CONTROLS - AUTOMACAO LTDA,1,49997648.095,49500000.0,0.95,Indústrias de transformação,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-05-07,2026-05-07,99497648.095
77,47176755000105,47176755000105,HELM DO BRASIL MERCANTIL LTDA,1,0.0,96000000.0,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,OPEA GESTORA DE RECURSOS LTDA.,,2024-11-29,2024-11-29,96000000.0
78,02013667000154,02013667000154,TARGET,1,27546482.89,60000000.0,0.76,Comércio e reparação de veículos,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-12-18,2025-12-18,87546482.89
79,26494854000165,26494854000165,HDN COMERCIAL IMPORTADORA E EXPORTADORA LTDA,1,46647257.95,40000000.0,0.95,Comércio e reparação de veículos,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PRÓPRIO CAPITAL GESTÃO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2024-08-12,2024-08-12,86647257.95
80,E A FPW SECURITIZADORA DE CREDITOS S.A,,É a FPW SECURITIZADORA DE CREDITOS S.A,1,25641520.08,60000000.0,0.68,,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SOLIS INVESTIMENTOS S A,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2026-04-29,2026-04-29,85641520.08
81,JURI ATIVOS JUDICIAIS S.A,,JURI ATIVOS JUDICIAIS S.A,1,27942963.49,55200000.0,0.68,,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORIZ ASSET MANAGEMENT LTDA.,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-05-13,2026-05-13,83142963.49
82,06088099000101,06088099000101,GO PARTICIPACOES LTDA,1,27804231.965,55000000.0,0.95,"Atividades profissionais, científicas e técnicas",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2021-11-04,2021-11-04,82804231.965
83,07019231000196,07019231000196,KENERSON INDUSTRIA E COMERCIO DE PRODUTOS OPTICOS LTDA,1,27804231.965,55000000.0,0.95,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2021-09-09,2021-09-09,82804231.965
84,30620610000159,30620610000159,QI TECH,1,14447639.5,65000000.0,0.84,Informação e comunicação,BANCO DAYCOVAL S.A.,AUGME CAPITAL GESTÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2026-02-05,2026-02-05,79447639.5
85,21562855000186,21562855000186,INSTITUTO DE SAUDE ESPERANCA,1,42088677.57,33500000.0,0.95,Saúde humana e serviços sociais,BANCO DAYCOVAL S.A.,MÖBIUS CAPITAL GESTÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2024-11-19,2024-11-19,75588677.57
86,44448885000161,44448885000161,LOOMY,1,30063693.43,37500000.0,0.95,Informação e comunicação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,EXT CAPITAL LTDA.,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-07-10,2025-07-10,67563693.43
87,26722650000134,26722650000134,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,1,30600423.91,33500000.0,0.67,"Atividades financeiras, seguros e serviços relacionados",OLIVEIRA TRUST DTVM S.A.,INTEGRAL INVESTIMENTOS LTDA.,OLIVEIRA TRUST DTVM S.A.,2025-05-13,2025-05-13,64100423.91
88,51136842000106,51136842000106,FRAGATA CREDIT SECURITIZADORA,1,21070772.19,40000000.0,0.6,"Atividades financeiras, seguros e serviços relacionados",LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,TERCON INVESTIMENTOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-02-13,2026-02-13,61070772.19
89,33330065000154,33330065000154,VIA SERVIÇOS DE COBRANÇAS LTDA,1,60610808.3,0.0,0.95,,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,BLESS CAPITAL GESTORA DE RECURSOS LTDA.,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,2021-03-24,2021-03-24,60610808.3
90,38612994000170,38612994000170,CELETI PROVEDORES BANDA LARGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,1,31220664.013333336,28333333.333333332,0.67,"Atividades financeiras, seguros e serviços relacionados",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2026-01-06,2026-01-06,59553997.346666664
91,41195699000170,41195699000170,MILENIO WAREHOUSE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,1,31220664.013333336,28333333.333333332,0.76,"Atividades financeiras, seguros e serviços relacionados",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2026-01-06,2026-01-06,59553997.346666664
92,62285390000140,62285390000140,QI CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,1,31220664.013333336,28333333.333333332,0.95,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2026-01-06,2026-01-06,59553997.346666664
93,00859542000114,00859542000114,POTI S/A,1,25425750.36,28000000.0,0.77,Construção,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,SHORE CAPITAL GESTAO DE RECURSOS LTDA,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2025-10-20,2025-10-20,53425750.36
94,05740799000176,05740799000176,FBV PARTICIPACOES S/A,1,29448817.408,21000000.0,0.76,Construção,BANCO DAYCOVAL S.A.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,BANCO DAYCOVAL S.A.,2026-04-30,2026-04-30,50448817.408
95,21591149000162,21591149000162,TONY VEICULOS,1,29448817.408,21000000.0,0.95,,BANCO DAYCOVAL S.A.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,BANCO DAYCOVAL S.A.,2024-11-06,2024-11-06,50448817.408
96,30083123000102,30083123000102,NOVA OPCAO LOCADORA DE VEICULOS,1,29448817.408,21000000.0,0.95,Atividades administrativas e serviços complementares,BANCO DAYCOVAL S.A.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,BANCO DAYCOVAL S.A.,2024-11-06,2024-11-06,50448817.408
97,43794925000164,43794925000164,BM COMERCIO DE VEICULOS LTDA,1,29448817.408,21000000.0,0.95,,BANCO DAYCOVAL S.A.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,BANCO DAYCOVAL S.A.,2024-11-06,2024-11-06,50448817.408
98,46061488000168,46061488000168,ONCAR SOLUCOES LTDA,1,29448817.408,21000000.0,0.95,,BANCO DAYCOVAL S.A.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,BANCO DAYCOVAL S.A.,2024-11-06,2024-11-06,50448817.408
99,44019481000152,44019481000152,PEAK SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A.,1,9044890.95,40000000.0,0.95,"Atividades financeiras, seguros e serviços relacionados",BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,MENESTYS GESTORA DE RECURSOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2026-01-27,2026-01-27,49044890.95
100,48707451000190,48707451000190,PERCAPITAL SOCIEDADE DE CREDITO DIRETO S.A.,1,8466915.37,40000000.0,0.95,"Atividades financeiras, seguros e serviços relacionados",VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,OCTANTE GESTÃO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-04-04,2025-04-04,48466915.37
101,08260999000110,08260999000110,SIFRA SERVICOS DE CREDITO LTDA,1,0.0,43333333.333333336,0.95,,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORRAM GESTÃO DE RECURSOS LTDA.,,2021-07-05,2021-07-05,43333333.333333336
102,08411164000113,08411164000113,OPS DESENVOLVIMENTO DE NEGOCIOS LTDA.,1,0.0,43333333.333333336,0.95,,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORRAM GESTÃO DE RECURSOS LTDA.,,2021-07-05,2021-07-05,43333333.333333336
103,46040380000199,46040380000199,ORRAM CONSULTORIA LTDA,1,0.0,43333333.333333336,0.95,"Atividades profissionais, científicas e técnicas",FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORRAM GESTÃO DE RECURSOS LTDA.,,2022-09-01,2022-09-01,43333333.333333336
104,16501555000157,16501555000157,STONE INSTITUICAO DE PAGAMENTO S.A,1,21675809.695,13750000.0,0.93,"Atividades financeiras, seguros e serviços relacionados",OLIVEIRA TRUST DTVM S.A.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,OLIVEIRA TRUST DTVM S.A.,2024-12-13,2024-12-13,35425809.695
105,20097745000128,20097745000128,HOAHI TEXTIL,1,21675809.695,13750000.0,0.77,,OLIVEIRA TRUST DTVM S.A.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,OLIVEIRA TRUST DTVM S.A.,2026-01-15,2026-01-15,35425809.695
106,32321306000136,32321306000136,ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,1,21675809.695,13750000.0,0.6,"Atividades financeiras, seguros e serviços relacionados",OLIVEIRA TRUST DTVM S.A.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,OLIVEIRA TRUST DTVM S.A.,2026-01-15,2026-01-15,35425809.695
107,54261448000198,54261448000198,a Cedente Amezin; e (iv) a Guarany Administradora de Bens Próprios Ltda,1,21675809.695,13750000.0,0.95,,OLIVEIRA TRUST DTVM S.A.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,OLIVEIRA TRUST DTVM S.A.,2026-01-15,2026-01-15,35425809.695
108,31703183000135,31703183000135,FACIO PAGAMENTOS,1,0.0,32852095.51,0.95,"Atividades financeiras, seguros e serviços relacionados",LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,,2023-09-28,2023-09-28,32852095.51
109,14539429000166,14539429000166,VEDA FINANCE.,1,0.0,30000000.0,0.6,"Atividades profissionais, científicas e técnicas",VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VERT GESTORA DE RECURSOS FINANCEIROS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2021-04-23,2021-04-23,30000000.0
110,42150987000170,42150987000170,EQUATORIAL,1,18680315.59,10000000.0,0.67,"Atividades financeiras, seguros e serviços relacionados",WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,WNT GESTORA DE RECURSOS LTDA,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2020-12-03,2020-12-03,28680315.59
111,CONDOCONTA FINANCE S.A,,CONDOCONTA FINANCE S.A,1,0.0,27000000.0,0.68,,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,SRM Empírica Gestão de Crédito LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-10-13,2025-10-13,27000000.0
112,62173620000180,62173620000180,SERASA S.A.,1,11982393.84,10000000.0,0.77,"Atividades profissionais, científicas e técnicas",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2023-02-15,2023-02-15,21982393.84
113,42679816000133,42679816000133,UP VENDAS,1,0.0,15000000.0,0.76,Informação e comunicação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,TAG INVESTIMENTOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-05-06,2026-05-06,15000000.0
114,04962772000246,04962772000246,FISERV DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,1,0.0,14996000.0,0.77,Informação e comunicação,BANCO DAYCOVAL S.A.,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,2026-05-12,2026-05-12,14996000.0
115,28101795000143,28101795000143,MAIS TODOS S.A,1,0.0,14996000.0,0.95,,BANCO DAYCOVAL S.A.,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,2026-05-12,2026-05-12,14996000.0
116,33044500000184,33044500000184,GP7 Nordeste Distribuidor de Bebidas Ltda,1,1770924.8625,9375000.0,0.95,,BANCO DAYCOVAL S.A.,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,2025-12-12,2025-12-12,11145924.8625
117,48865127000108,48865127000108,GP7 Norte Distribuidor de Bebidas Ltda,1,1770924.8625,9375000.0,0.95,,BANCO DAYCOVAL S.A.,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,2025-12-12,2025-12-12,11145924.8625
118,54202580000129,54202580000129,GP7 Marabá Distribuidor de Bebidas Ltda,1,1770924.8625,9375000.0,0.95,,BANCO DAYCOVAL S.A.,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,2025-12-12,2025-12-12,11145924.8625
119,54228357000150,54228357000150,GP7 Jequié Distribuidor de Bebidas Ltda,1,1770924.8625,9375000.0,0.95,,BANCO DAYCOVAL S.A.,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,2025-12-12,2025-12-12,11145924.8625
120,05503849000100,05503849000100,"CLOUDWALK FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",1,0.0,8500000.004999999,0.76,"Atividades financeiras, seguros e serviços relacionados",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,TERCON INVESTIMENTOS LTDA,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2024-10-10,2024-10-10,8500000.004999999
121,33959738000130,33959738000130,É a MOVA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A,1,0.0,7500000.0,0.95,,BANCO DAYCOVAL S.A.,VALORA RENDA FIXA LTDA.,BANCO DAYCOVAL S.A.,2024-11-29,2024-11-29,7500000.0
122,E A MOVA SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A,,É a MOVA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A,1,0.0,7500000.0,0.68,,BANCO DAYCOVAL S.A.,VALORA RENDA FIXA LTDA.,BANCO DAYCOVAL S.A.,2024-11-29,2024-11-29,7500000.0
123,05099585000162,05099585000162,CBAA,1,0.0,7142857.142857143,0.67,Indústrias de transformação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-02-09,2026-02-09,7142857.142857143
124,05099585000405,05099585000405,CBA,1,0.0,7142857.142857143,0.6,Indústrias de transformação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-02-09,2026-02-09,7142857.142857143
125,05099585000758,05099585000758,CBAA- ASFALTOS LTDA,1,0.0,7142857.142857143,0.67,Indústrias de transformação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-12-04,2025-12-04,7142857.142857143
126,05099585001053,05099585001053,CBAA,1,0.0,7142857.142857143,0.93,Comércio e reparação de veículos,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-12-04,2025-12-04,7142857.142857143
127,05099585001134,05099585001134,CBAA,1,0.0,7142857.142857143,0.6,Indústrias de transformação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-02-09,2026-02-09,7142857.142857143
128,05099585001215,05099585001215,CBAA,1,0.0,7142857.142857143,0.6,Indústrias de transformação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-02-09,2026-02-09,7142857.142857143
129,05099585001649,05099585001649,CBAA- ASFALTOS,1,0.0,7142857.142857143,0.6,Comércio e reparação de veículos,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-12-04,2025-12-04,7142857.142857143
130,23813386000156,23813386000156,a GDB COM ÉRCIO E SERVIÇOS LTDA,1,5203063.0200000005,0.0,0.95,,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,GHIA GESTÃO DE RECURSOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-06-29,2026-06-29,5203063.0200000005
131,27476124000102,27476124000102,a HEALTH SOLUTIONS COMERCIO E SERVIÇOS LTD A,1,5203063.0200000005,0.0,0.95,,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,GHIA GESTÃO DE RECURSOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-06-29,2026-06-29,5203063.0200000005
132,40014621000149,40014621000149,a ABC EQUIPAMENTOS HO SPITALARES LTDA,1,5203063.0200000005,0.0,0.95,,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,GHIA GESTÃO DE RECURSOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-06-29,2026-06-29,5203063.0200000005
133,26482987000111,26482987000111,"HIGHLIGHT COMERCIO DE TECIDOS, IMPORTACAO E EXPORTACAO LTDA",1,2008849.57,3000000.0,0.95,Comércio e reparação de veículos,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2026-03-13,2026-03-13,5008849.57
134,59459413000181,59459413000181,KESH PAGAMENTOS LTDA.,1,1870637.23,3000000.0,0.77,"Atividades profissionais, científicas e técnicas",GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,LESTE FINANCIAL SERVICES GESTÃO DE RECURSOS LTDA.,BANCO GENIAL S.A.,2026-03-02,2026-03-02,4870637.23
135,06091541000230,06091541000230,TEXTIL BRASIL,1,1904163.72,0.0,0.95,Comércio e reparação de veículos,OLIVEIRA TRUST DTVM S.A.,AWR GESTÃO DE RECURSOS LTDA.,OLIVEIRA TRUST DTVM S.A.,2026-05-29,2026-05-29,1904163.72
136,09388688000284,09388688000284,SEA BRAZIL IMPORTACAO E EXPORTACAO LTDA,1,1904163.72,0.0,0.95,Comércio e reparação de veículos,OLIVEIRA TRUST DTVM S.A.,AWR GESTÃO DE RECURSOS LTDA.,OLIVEIRA TRUST DTVM S.A.,2026-05-29,2026-05-29,1904163.72
137,55333769000113,55333769000113,ENCALSO,1,0.0,668999.58,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,QUADRA GESTÃO DE RECURSOS S.A.,,2024-10-31,2024-10-31,668999.58
138,10989834000125,10989834000125,BMGFOODS,1,0.0,0.0,0.93,Comércio e reparação de veículos,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,SOLIS INVESTIMENTOS S A,,2025-08-20,2025-08-20,0.0
139,68153238000190,68153238000190,COX AUTOMOTIVE DO BRASIL LTDA,1,0.0,0.0,0.77,,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST DTVM S.A.,,2022-04-12,2022-04-12,0.0
140,BANCO VOTORANTIM S.A,,Banco Votorantim S.A,1,0.0,0.0,0.68,,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST DTVM S.A.,,2021-05-27,2021-05-27,0.0
141,OBANCO VOTORANTIM S.A,,oBanco Votorantim S.A,1,0.0,0.0,0.68,,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST DTVM S.A.,,2023-08-31,2023-08-31,0.0
