rank,participant_key,participant_cnpj,participant_name,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,confidence_median,sector,administrators,managers,custodians,first_evidence_date,latest_evidence_date,commercial_signal_brl
11,07899160000163,07899160000163,POUPACRED PROCESSAMENTO DE DADOS LTDA,2,54790178.96,97000000.0,0.78,"Atividades financeiras, seguros e serviços relacionados",BANCO DAYCOVAL S.A.,CULTINVEST ASSET MANAGEMENT LTDA,BANCO DAYCOVAL S.A.,2024-02-07,2025-09-10,151790178.96
12,61186680000174,61186680000174,BANCO BMG S.A,1,986234239.47,1520000000.0,0.95,"Atividades financeiras, seguros e serviços relacionados",BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2024-05-21,2024-05-21,2506234239.4700003
13,00000208000100,00000208000100,BRB,1,580174139.11,1542169187.0300002,0.84,"Atividades financeiras, seguros e serviços relacionados",BANCO DAYCOVAL S.A.,GUARDIAN CRÉDITO LTDA.,BANCO DAYCOVAL S.A.,2024-07-24,2024-07-24,2122343326.1400003
14,19394639000127,19394639000127,"TRADEMASTER INSTITUICAO DE PAGAMENTO, SERVICOS E PARTICIPACOES S.A.",1,655493512.2,944000401.9,0.95,,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SOLIS INVESTIMENTOS S A,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2021-06-15,2021-06-15,1599493914.1
15,07138049000154,07138049000154,LIGA INVEST,1,697280197.815,625000000.0,0.9,"Atividades financeiras, seguros e serviços relacionados",GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,GENIAL GESTÃO LTDA.,BANCO GENIAL S.A.,2026-04-27,2026-04-27,1322280197.815
16,09516419000175,09516419000175,PICPAY BANK - BANCO MULTIPLO S.A.,1,697280197.815,625000000.0,0.95,"Atividades financeiras, seguros e serviços relacionados",GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,GENIAL GESTÃO LTDA.,BANCO GENIAL S.A.,2026-04-27,2026-04-27,1322280197.815
17,03816413000137,03816413000137,PAGUEVELOZ,1,1003066273.66,0.0,0.95,Atividades administrativas e serviços complementares,INTRAG DTVM LTDA.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-12-10,2025-12-10,1003066273.66
18,62173620013320,62173620013320,PagueVeloz”); e (ii) Serasa S.A,1,1003066273.66,0.0,0.95,,INTRAG DTVM LTDA.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-12-10,2025-12-10,1003066273.66
19,33372251000156,33372251000156,"IBM BRASIL - INDÚSTRIA, MÁQUINAS, E SERVIÇOS LTDA",1,6036672.82,850000000.0,0.95,,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST DTVM S.A.,2024-05-22,2024-05-22,856036672.82
20,27490581000143,27490581000143,LAVORO,1,68966191.17,730000000.0,0.84,"Atividades financeiras, seguros e serviços relacionados",OLIVEIRA TRUST DTVM S.A.,FARMTECH GESTÃO DE RECURSOS LTDA.,OLIVEIRA TRUST DTVM S.A.,2025-11-28,2025-11-28,798966191.17
21,48539407000118,48539407000118,BASF SA,1,0.0,675000000.0,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,OPEA GESTORA DE RECURSOS LTDA.,,2022-12-06,2022-12-06,675000000.0
22,SIGNIFICA A FACTA FINANCEIRA S.A,,Significa a FACTA FINANCEIRA S.A,1,339986502.69,333333333.3333333,0.68,,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-03-02,2026-03-02,673319836.0233333
23,SIGNIFICA O BANCO PINE S/A,,Significa o BANCO PINE S/A,1,339986502.69,333333333.3333333,0.68,,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VALORA RENDA FIXA ESTRUTURADOS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2026-06-01,2026-06-01,673319836.0233333
24,35439848000104,35439848000104,MID HOLDING LTDA,1,308217472.77,365000000.0,0.95,"Atividades financeiras, seguros e serviços relacionados",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ORRAM GESTÃO DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2025-07-16,2025-07-16,673217472.77
25,77595395000147,77595395000147,FRIMESA,1,357233426.06,280000000.0,0.76,Indústrias de transformação,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,OPEA GESTORA DE RECURSOS LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2024-12-09,2024-12-09,637233426.06
