role,fidc_type,type_pl_current_brl,type_share_current,current_leader,current_leader_share,top_winner,top_winner_delta_share_pp,top_winner_delta_pl_brl,top_loser,top_loser_delta_share_pp,top_loser_delta_pl_brl,decision_grade
gestor,Comercial,119994512316.1,0.12518523547143476,BTG PACTUAL,0.28279053587342323,BTG PACTUAL,7.613006000629186,5883543771.370003,ARTESANAL INVESTIMENTOS LTDA,-4.918809030648247,-6676238156.07,directional_only_low_coverage
gestor,Cartao de credito,94959433071.35,0.09906718865572586,OLIVEIRA TRUST,0.48082328812497493,GRUPO BRADESCO/BEM,6.911958786961803,8371387358.68,GRUPO GENIAL,-3.7522922959161957,-768874127.9099998,directional_only_low_coverage
gestor,Industrial,81781427117.43001,0.0853191284607756,GRUPO BB,0.7439583299419191,SOLIS INVESTIMENTOS S A,2.1103003624058507,1579018666.12,GRUPO BB,-7.300817506477975,-13777787077.509995,directional_only_low_coverage
gestor,Servicos,78858687467.0,0.08226995692535624,ITAU/INTRAG,0.1576790279401164,BTG PACTUAL,12.586388892495204,10396660512.43,OLIVEIRA TRUST,-6.23854116904383,-103609312.62999916,directional_only_low_coverage
gestor,Setor publico,44907003224.13,0.04684959057227582,BTG PACTUAL,0.19681254771529516,SMART AGRO INVESTIMENTOS LTDA,5.265675026227075,2364656853.8,REAG/CBSF,-6.239941338194886,-2467870262.2999997,directional_only_low_coverage
gestor,Acoes judiciais,26680734802.55,0.02783489014905546,JIVE INVESTMENTS GESTAO DE RECURSOS E CONSULTORIA S.A,0.22666659523080301,REDWOOD ADMINISTRACAO DE RECURSOS LTDA,5.504378900208694,1491431002.81,JUS CAPITAL GESTAO DE RECURSOS LTDA,-13.446297070299012,-2868545267.0500007,directional_only_low_coverage
custodiante,Financeiro,333203899995.42,0.34761763580525346,QI TECH + SINGULARE,0.22560291296927576,QI TECH + SINGULARE,18.972384932516604,67528019601.11,REAG/CBSF,-12.891305344847941,-13176251682.909996,directional_only_low_coverage
custodiante,Nao classificado,161553283089.81,0.16854175573883892,BTG PACTUAL,0.4195088499353115,BTG PACTUAL,11.400267516909624,29270671721.939995,REAG/CBSF,-9.784980386126373,-11103850598.42,directional_only_low_coverage
custodiante,Comercial,119994512316.1,0.12518523547143476,BTG PACTUAL,0.3401328090783353,BTG PACTUAL,10.581746879806712,9010741620.579998,QI TECH + SINGULARE,-21.124660126629337,-32421397848.399998,directional_only_low_coverage
custodiante,Cartao de credito,94959433071.35,0.09906718865572586,OLIVEIRA TRUST,0.5085432788783125,GRUPO BRADESCO/BEM,6.860920234966011,8346918591.18,GRUPO GENIAL,-3.6250791585469564,-561309593.7100029,directional_only_low_coverage
custodiante,Industrial,81781427117.43001,0.0853191284607756,GRUPO BB,0.7439583299419191,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3.809306887423595,2733488688.4300003,GRUPO BB,-7.300817506477975,-13777787077.509995,directional_only_low_coverage
custodiante,Servicos,78858687467.0,0.08226995692535624,OLIVEIRA TRUST,0.31294507876607996,BTG PACTUAL,12.15514843921473,12158960501.11,ITAU/INTRAG,-7.030180850557982,751947095.6200008,directional_only_low_coverage
custodiante,Setor publico,44907003224.13,0.04684959057227582,BTG PACTUAL,0.29405316091599043,BANCO DAYCOVAL S.A,13.271799210650734,6139679658.71,QI TECH + SINGULARE,-7.5157060252937145,-2972429770.53,directional_only_low_coverage
custodiante,Acoes judiciais,26680734802.55,0.02783489014905546,QI TECH + SINGULARE,0.30959876359141814,PLANNER CORRETORA DE VALORES S.A,4.841934714531932,1435368727.48,REAG/CBSF,-3.4793355004157647,-827514367.44,directional_only_low_coverage
