motivo,chave,cnpjs,detalhe,pl_envolvido
foco_minoritario_no_mesmo_gestor_e_foco_oficial,TAG INVESTIMENTOS LTDA | Poder Público,43863266000170,Poder Público em 4 fundos contra Multicarteira Outros em 1,153518417.09
familia_de_fundos_com_tipos_divergentes,SÃO CARLOS,42518113000123; 43165221000122,"Agro, Indústria e Comércio vs Outros",146772335.64999998
familia_de_fundos_com_tipos_divergentes,TAURUS,53304046000160; 29306608000120,Financeiro vs Outros,128393467.85
familia_de_fundos_com_tipos_divergentes,MILÊNIO SUPERNOVA,47046831000168; 59383714000179,"Agro, Indústria e Comércio vs Outros",106846510.00999999
foco_minoritario_no_mesmo_gestor_e_foco_oficial,NETZ ASSET GESTÃO DE RECURSOS LTDA | Multicarteira Outros,45019002000160; 59714044000126; 62122004000108,"Multicarteira Outros em 3 fundos contra Poder Público em 1, Recuperação em 1, Crédito Corporativo em 1",106823164.78
foco_minoritario_no_mesmo_gestor_e_foco_oficial,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A. | Multicarteira Outros,48279617000114,Poder Público em 7 fundos contra Agronegócio em 1,104700792.72
foco_minoritario_no_mesmo_gestor_e_foco_oficial,LASS CAPITAL GESTÃO DE RECURSOS LTDA | Poder Público,53991455000182,Poder Público em 6 fundos contra Multicarteira Outros em 1,89147241.49
foco_minoritario_no_mesmo_gestor_e_foco_oficial,JUS CAPITAL GESTÃO DE RECURSOS LTDA. | Multicarteira Outros,38421626000144,Poder Público em 5 fundos contra Multicarteira Financeiro em 1,86114119.06
foco_minoritario_no_mesmo_gestor_e_foco_oficial,LESTE FINANCIAL SERVICES GESTÃO DE RECURSOS LTDA. | Poder Público,35868740000129,Poder Público em 3 fundos contra Recuperação em 1,83570861.08
foco_minoritario_no_mesmo_gestor_e_foco_oficial,KUARÁ CAPITAL GESTORA DE RECURSOS LTDA. | Multicarteira Outros,45207108000198,Recebíveis Comerciais em 3 fundos contra Crédito Consignado em 1,78667658.71
foco_minoritario_no_mesmo_gestor_e_foco_oficial,GV ATACAMA CAPITAL LTDA. | Multicarteira Outros,40265649000159,Crédito Imobiliário em 5 fundos contra Crédito Consignado em 1,76952686.96
foco_minoritario_no_mesmo_gestor_e_foco_oficial,WNT GESTORA DE RECURSOS LTDA | Multicarteira Outros,54565154000150; 26545364000140,"Recebíveis Comerciais em 5 fundos contra Crédito Corporativo em 1, Crédito Imobiliário em 1",76196428.7
foco_minoritario_no_mesmo_gestor_e_foco_oficial,SRM EMPÍRICA GESTÃO DE CRÉDITO LTDA | Multicarteira Outros,59356952000195; 27467600000110; 23669183000138,"Multicarteira Outros em 3 fundos contra Adquirência em 1, Crédito Imobiliário em 1, Crédito Consignado em 1",72096482.43
foco_minoritario_no_mesmo_gestor_e_foco_oficial,SOSU CAPITAL GESTÃO DE INVESTIMENTOS LTDA. | Poder Público,47425691000139; 53280106000152,"Poder Público em 14 fundos contra Recebíveis Comerciais em 1, Crédito Corporativo em 1",71870454.1
foco_minoritario_no_mesmo_gestor_e_foco_oficial,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A. | Multicarteira Outros,58944590000190; 58902072000104,"Multicarteira Outros em 3 fundos contra Poder Público em 1, Multicarteira Financeiro em 1",71190785.98
foco_minoritario_no_mesmo_gestor_e_foco_oficial,VINCI GESTORA DE RECURSOS LTDA | Multicarteira Outros,35688072000158,Multicarteira Outros em 3 fundos contra Multicarteira Financeiro em 1,64544955.71
foco_minoritario_no_mesmo_gestor_e_foco_oficial,EMERALD GESTÃO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA | Multicarteira Outros,11439669000109,Poder Público em 3 fundos contra Recuperação em 1,64036045.66
foco_minoritario_no_mesmo_gestor_e_foco_oficial,BANCO BRADESCO S.A. | Multicarteira Outros,63728154000114,Recebíveis Comerciais em 4 fundos contra Crédito Corporativo em 1,62670487.87
foco_minoritario_no_mesmo_gestor_e_foco_oficial,XP VISTA ASSET MANAGEMENT LTDA. | Multicarteira Outros,60292446000169,Recebíveis Comerciais em 3 fundos contra Crédito Imobiliário em 1,62158112.7
foco_minoritario_no_mesmo_gestor_e_foco_oficial,GLOBAL GESTÃO E INVESTIMENTOS LTDA | Multicarteira Outros,37036353000151; 57889361000158,"Recebíveis Comerciais em 3 fundos contra Crédito Imobiliário em 1, Multicarteira Financeiro em 1",57791755.15
foco_minoritario_no_mesmo_gestor_e_foco_oficial,ALGARVE CAPITAL GESTÃO DE RECURSOS LTDA. | Multicarteira Outros,44698045000157,Poder Público em 12 fundos contra Crédito Imobiliário em 1,56072048.44
foco_minoritario_no_mesmo_gestor_e_foco_oficial,MÖBIUS CAPITAL GESTÃO DE RECURSOS LTDA. | Multicarteira Outros,47410122000110,Poder Público em 4 fundos contra Crédito Corporativo em 1,54861108.26
foco_minoritario_no_mesmo_gestor_e_foco_oficial,G5 ADMINISTRADORA DE RECURSOS LTDA. | Multicarteira Outros,37310965000190,Crédito Imobiliário em 5 fundos contra Crédito Corporativo em 1,47585126.77
foco_minoritario_no_mesmo_gestor_e_foco_oficial,JUS CAPITAL GESTÃO DE RECURSOS LTDA. | Poder Público,34964344000132,Poder Público em 18 fundos contra Recuperação em 1,45715993.29
foco_minoritario_no_mesmo_gestor_e_foco_oficial,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA | Multicarteira Outros,60078440000193; 44479362000182,"Multicarteira Outros em 9 fundos contra Recebíveis Comerciais em 1, Multicarteira Financeiro em 1",44461423.72
familia_de_fundos_com_tipos_divergentes,VERA CRUZ,49156414000101; 55579164000107; 62193694000188,Financeiro vs Outros,37495486.730000004
familia_de_fundos_com_tipos_divergentes,MAKALU,15078010000117; 60598710000197,"Agro, Indústria e Comércio vs Outros",36787180.230000004
foco_minoritario_no_mesmo_gestor_e_foco_oficial,GESTORA DE RECURSOS ID - GRID LTDA | Multicarteira Outros,47372688000102,Poder Público em 11 fundos contra Adquirência em 1,33310492.37
foco_minoritario_no_mesmo_gestor_e_foco_oficial,XP VISTA ASSET MANAGEMENT LTDA. | Poder Público,35820716000110,Poder Público em 12 fundos contra Multicarteira Financeiro em 1,29209346.45
familia_de_fundos_com_tipos_divergentes,FRAM CAPITAL,38448253000103; 55825226000113; 40944650000100,"Agro, Indústria e Comércio vs Financeiro vs Outros",27759196.45
foco_minoritario_no_mesmo_gestor_e_foco_oficial,QUADRA GESTÃO DE RECURSOS S.A. | Multicarteira Outros,29018916000150,Multicarteira Outros em 7 fundos contra Recuperação em 1,27652285.71
familia_de_fundos_com_tipos_divergentes,SIGNAL SPECIAL,50355218000137; 57898362000169,"Agro, Indústria e Comércio vs Outros",26671665.75
foco_minoritario_no_mesmo_gestor_e_foco_oficial,FIGTREE CAPITAL ADMINISTRAÇÃO DE RECURSOS LTDA. | Multicarteira Outros,42299351000195; 60617627000118,"Multicarteira Financeiro em 4 fundos contra Crédito Pessoal em 1, Poder Público em 1",26256814.74
foco_minoritario_no_mesmo_gestor_e_foco_oficial,PRISMA CAPITAL LTDA | Multicarteira Outros,40669040000145; 32388193000196,"Crédito Corporativo em 3 fundos contra Multicarteira Outros em 1, Multicarteira Financeiro em 1",24068303.470000003
foco_minoritario_no_mesmo_gestor_e_foco_oficial,BOCAINA CAPITAL GESTORA DE RECURSOS LTDA. | Multicarteira Outros,47227626000107,Crédito Corporativo em 3 fundos contra Multicarteira Financeiro em 1,23666928.06
foco_minoritario_no_mesmo_gestor_e_foco_oficial,VCM GESTÃO DE CAPITAL LTDA | Multicarteira Outros,53292874000126,Multicarteira Outros em 4 fundos contra Multicarteira Financeiro em 1,15472246.13
foco_minoritario_no_mesmo_gestor_e_foco_oficial,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA | Poder Público,46230817000157,Poder Público em 12 fundos contra Multicarteira Financeiro em 1,15468436.06
foco_minoritario_no_mesmo_gestor_e_foco_oficial,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A. | Poder Público,54012401000190,Poder Público em 4 fundos contra Multicarteira Financeiro em 1,12897269.23
foco_minoritario_no_mesmo_gestor_e_foco_oficial,TERCON INVESTIMENTOS S.A. | Multicarteira Outros,43122353000177,Crédito Imobiliário em 6 fundos contra Fomento Mercantil em 1,12749866.4
foco_minoritario_no_mesmo_gestor_e_foco_oficial,POLÍGONO CAPITAL LTDA | Multicarteira Outros,19187286000194,Multicarteira Outros em 7 fundos contra Recebíveis Comerciais em 1,10461225.54
familia_de_fundos_com_tipos_divergentes,LC I,51596429000124; 42246784000182,Financeiro vs Outros,9078847.82
familia_de_fundos_com_tipos_divergentes,TARGET BANK,44603374000177; 13342963000115,Financeiro vs Outros,4930173.78
foco_minoritario_no_mesmo_gestor_e_foco_oficial,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA | Multicarteira Outros,44273371000112,Poder Público em 5 fundos contra Crédito Corporativo em 1,4084778.4
foco_minoritario_no_mesmo_gestor_e_foco_oficial,TERRA GESTORA DE RECURSOS LTDA. | Multicarteira Outros,53193040000163,Recuperação em 3 fundos contra Recebíveis Comerciais em 1,1693865.88
foco_minoritario_no_mesmo_gestor_e_foco_oficial,ICON CAPITAL LTDA. | Multicarteira Outros,59986514000100,Multicarteira Outros em 3 fundos contra Poder Público em 1,1503351.91
