ordem,cnpj,fundo,escopo,competencia,pl_total_cotas_brl,pl_senior_brl,pl_mezanino_brl,pl_subordinada_brl,tem_mezanino,valor_nao_classificado_brl,diferenca_total_vs_mensal_brl,diferenca_submaismez_vs_mensal_brl,fonte
67,55070804000159,ESTRATEGIA VINCULADA II FUNDO DE INVESTIMENTO EM D,Carteira 101,2026-05,3779532.96887986,3318579.4423444,0.0,460953.52653545997,False,0.0,0.0,-5.820766091346741e-11,CVM Informe Mensal 2026-05 — Tabela X.2
68,43866348000179,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,Carteira 101,2026-06,256043622.96884888,88655289.0,56170814.150947586,111217519.81790131,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
69,47936340000192,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,Carteira 101,2025-09,67464584.88798966,0.0,67464584.86796942,0.0200202376,True,0.0,0.0,0.0,CVM Informe Mensal 2025-09 — Tabela X.2
70,58291962000127,HELM FUNDO I E D C RESPONS,Carteira 101,2025-06,46251474.050208,19156227.93024,25813678.979964,1281567.140004,True,0.0,0.0,0.0,CVM Informe Mensal 2025-06 — Tabela X.2
71,57259989000170,TRES TENTOS FUNDO DE INVESTIMENTO EM DIREITOS CRE,Carteira 101,2026-04,333522508.44720125,253889074.03716,69197947.07004967,10435487.3399916,True,0.0,0.0,0.0,CVM Informe Mensal 2026-04 — Tabela X.2
72,58171340000165,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITOR,Carteira 101,2026-06,357712010.4873228,282509600.2892,71153229.3119204,4049180.886202386,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
73,51554551000138,CLASSE UNICA DO FIDC CREDITO NITRO AGRO RESPONSA,Carteira 101,2026-06,64451699.13998985,0.0,46184299.8,18267399.33998986,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
74,57752597000148,AGROMERCANTIL CREDITO AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Carteira 101,2026-06,68736909.65993586,46409165.49998585,0.0,22327744.159950003,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
75,47425750000179,FIDC CROPFIELD CEREALIS,Carteira 101,2026-06,215299982.36938536,101086604.51918676,51041463.57036031,63171914.2798383,True,0.0,0.0,1.4901161193847656e-08,CVM Informe Mensal 2026-06 — Tabela X.2
76,37035970000132,CD BANCK FIDC,Carteira 101,2026-06,291764021.2199663,155240730.47014236,0.0,136523290.74982393,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
77,17468142000180,VALOREM FIDC MULTISSETORIAL,Carteira 101,2026-06,511752071.4305694,270600634.4758561,157149908.52267158,84001528.43204173,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
78,29492605000129,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIO,Carteira 101,2026-06,2494236413.231075,808254526.811075,0.0,1685981886.4199998,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
79,31739396000117,FIDC LF III,Carteira 101,2026-06,1385981646.8652842,1275060131.0487077,103128091.06658465,7793424.749991716,True,0.0,2.384185791015625e-07,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
80,26749095000134,CREDITO UNIVERSITARIO II FUNDO DE INVESTIMENTO EM,Carteira 101,2026-06,382813001.24978614,284478361.68232507,41978203.21751535,56356436.34994573,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
81,62393829000159,TOP 2025 V FIDC RESP LIMITADA,Carteira 101,2026-06,3091715187.975349,2922934445.550997,0.0,168780742.42435217,False,0.0,-4.76837158203125e-07,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
82,47640584000123,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE,Carteira 101,2026-06,285125290.8203988,198374742.14037403,49846196.53004271,36904352.149982035,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
83,57028406000108,IS GREEN SOLFACIL VI FIDC RL,Carteira 101,2026-06,437421807.29168165,321015480.5915247,90100089.51011756,26306237.19003936,True,0.0,-5.960464477539063e-08,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
84,31570767000180,FUNDO DE INVESTIMENTO EM DIREITOS,Carteira 101,2026-06,702136589.8502237,538477386.6100273,124051686.1501419,39607517.09005439,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
85,54464892000100,FUNDO I E D C MF RECEIV,Carteira 101,2026-06,697493753.1297442,562475076.8038011,68304670.92407736,66714005.4018658,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
86,11468186000124,ATLANTA FIDC NAO PADRONIZADO,Carteira 101,2026-06,3090301588.083072,625840831.9192767,0.0,2464460756.1637955,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
87,43193260000133,RESIDENCE CLUB FIDC,Carteira 101,2026-06,403404357.90827304,124780022.57037182,278624335.3295091,0.0083921444330247,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
88,58152340000118,MONEE II FUNDO DE INVESTIMENTO,Carteira 101,2026-06,442213717.8892243,262725753.6143065,0.0,179487964.2749178,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
89,52340225000190,INOVA CREDTECH III FUNDO DE INVESTIMENTO,Carteira 101,2026-06,86060327.04986423,66994415.00987241,10231747.270010857,8834164.769980963,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
90,63546406000194,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,Carteira 101,2026-06,1153763377.6455002,981539662.9055625,149449451.449875,22774263.290062502,True,0.0,2.384185791015625e-07,-2.9802322387695312e-08,CVM Informe Mensal 2026-06 — Tabela X.2
91,37294759000134,FUNDO I E D C GALLERIA,Carteira 101,2026-06,513226571.4282056,350073921.8302556,68184609.34067084,94968040.25727913,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
92,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITO,Carteira 101,2026-06,308205214.76999426,291833008.88,0.0,16372205.889994234,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
93,61288838000117,FIDC MOVILE III,Carteira 101,2026-06,722466359.0096748,503452191.24,0.0,219014167.76967472,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
94,30035329000159,VIAINVEST II FIDC MULTISSETORIAL,Carteira 101,2026-06,199464232.40413722,104878871.74993864,0.0,94585360.65419859,False,0.0,-2.9802322387695312e-08,-1.4901161193847656e-08,CVM Informe Mensal 2026-06 — Tabela X.2
95,63657457000193,MSV3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS,Carteira 101,2026-06,311503782.68957347,198375917.4306,30563099.689799998,82564765.56917349,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
96,63066147000102,FUNDO DE INVESTIMENTO EM DIREITOS,Carteira 101,2026-06,156443271.11844084,75150698.63494791,43943931.39682193,37348641.08667101,True,0.0,-2.9802322387695312e-08,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
97,65836995000170,DAYCOVAL 0410 FUNDO DE INV EM DIREITOS CREDITORIOS,Carteira 101,2026-06,153129896.940435,122467579.4604,29133316.61004,1529000.869995,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
98,65873297000145,ARCELORMITTAL VERTICE FUNDO DE INVESTIMENTO EM DIREITOS CRED,Carteira 101,2026-06,162575853.75516358,132287984.37504,0.0,30287869.380123574,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
99,65347578000164,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,Carteira 101,2026-06,664757336.1491944,574897526.0489849,77962774.06014979,11897036.04005968,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
100,18185812000114,GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,Carteira 101,2026-06,561951177.2989569,304682827.9692322,66842659.65979952,190425689.6699251,True,0.0,1.1920928955078125e-07,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
101,49113994000141,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CAP RESPONSABILIDADE LIMITADA,Carteira 101,2026-06,99273854.99061295,55504174.08145969,23995549.319160685,19774131.589992568,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
102,45829624000154,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SALES FINANCE - RESPONSABILIDADE LIMITADA,inclusão analítica,2026-06,91577343.54328151,65208488.67570263,24900647.92758288,1468206.939996,True,0.0,-1.4901161193847656e-08,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
103,28472392000100,UPL 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO RESPONSABILIDADE LIMITADA,inclusão analítica,2026-06,965789869.2652205,818369785.3012892,116086660.7242306,31333423.239700925,True,0.0,-1.1920928955078125e-07,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
104,52720932000102,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLIENTES BRF II,inclusão analítica,2026-06,973969605.9483744,872576341.0848,80962214.8846944,20431049.97888,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
