rank_pl,#,FIDC,CNPJ do fundo,Volume 2026 (R$ mi),Ofertas,Coordenador líder,Tipo ANBIMA,Foco ANBIMA,CNPJ cedente,Razão social cedente,Natureza cedente,CNAE cedente,Seção CNAE,UF,Porte,% do fundo,Nº cedentes,Competência,Setor cedente,Segmento cedente,Setor sacado,Segmento sacado,Sacado nomeado,MIDDLE (preencher),cnpj,pl_mm,competencia_pl,Cedente Provável Middle,Capital social do cedente (R$)
11,41,ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM,56924942000110,415.9,2,Singulare,Outros,Multicarteira Outros,,,,,,,,,,,,,,,,,56924942000110,1798.8,2026-06,,
12,38,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26722650000134,450.0,1,Bradesco BBI,Outros,Multicarteira Outros,,,,,,,,,,,,,,,,,26722650000134,1610.7,2026-06,,
13,9,XP RETURN I CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,53036495000175,1314.3,1,XP,Financeiro,Crédito Consignado,,,,,,,,,,,,,,,,,53036495000175,1546.5,2026-06,,
14,8,MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62310468000130,1347.9,2,BTG Pactual,Financeiro,Crédito Consignado,,,,,,,,,,,,,,,,,62310468000130,1535.2,2026-06,,
15,2,BV AUTO III SEGMENTO FINANCEIRO FIDC RESPONSABILIDADE LIMITADA,66929956000180,3350.0,1,Banco,,,59588111000103,BANCO VOTORANTIM S.A.,Instituição financeira,"Bancos múltiplos, com carteira comercial",K · Atividades financeiras e seguros,SP,Demais,0.9946,1.0,202606,K · Atividades financeiras e seguros,,,,,,66929956000180,1461.9,2026-06,,
16,35,Fundo de Investimento em Direitos Creditórios Somacred Bach - Responsabilidade Limitada,39669950000149,482.5,1,Ativa,Outros,Multicarteira Outros,87163234000138,SABEMI SEGURADORA SA,,Sociedade seguradora de seguros vida,,RS,Demais,,,,K · Atividades financeiras e seguros,,,,,Provável,39669950000149,1461.3,2026-06,SABEMI SEGURADORA SA,55000000.0
17,11,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS PICPAY FGTS II DE RESPONSABILIDADE LIMITADA,65839682000176,1250.0,1,ABC Brasil,,,09516419000175,PICPAY BANK - BANCO MULTIPLO S.A.,Instituição financeira,"Bancos múltiplos, com carteira comercial",K · Atividades financeiras e seguros,SP,Demais,0.0098999999999999,1.0,202606,Crédito PF,FGTS,,,,,65839682000176,1420.6,2026-06,,
18,48,ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA,57325251000163,350.0,2,Itaú BBA,"Agro, Indústria e Comércio",Agronegócio,,,,,,,,,,,,,Agro,Agro,,,57325251000163,1391.1,2026-06,,
19,26,LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,31739396000117,600.0,1,UBS BB,"Agro, Indústria e Comércio",Recebíveis Comerciais,32971064000126,LISTO INSTITUICAO DE PAGAMENTO LTDA,Operacional,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,N · Serviços administrativos,SP,Demais,0.9323,2.0,202606,N · Serviços administrativos,,,,,Provável,31739396000117,1386.0,2026-06,LISTO INSTITUICAO DE PAGAMENTO LTDA,16500000.0
20,12,ER 2030 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,61267293000162,1069.7,1,XP,,,61267293000162,ER 2030 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,"Fundos de investimento, exceto previdenciários e imobiliários",,SP,DEMAIS,,,,"Fundos de investimento, exceto previdenciários e imobiliários",,,,,,61267293000162,1202.3,2026-06,,
21,10,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  RESPONSABILIDADE LIMITADA,63546406000194,1250.0,1,Itaú BBA,,,62144175000120,BANCO PINE S/A,,"Bancos múltiplos, com carteira comercial",,SP,DEMAIS,,,,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,,,63546406000194,1153.8,2026-06,,
22,45,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS KINEA CRÉDITO ESTRUTURADO RESPONSABILIDADE LIMITADA,60431592000128,375.0,1,Itaú BBA,Outros,Multicarteira Outros,,,,,,,,,,,,,,,,,60431592000128,1116.3,2026-06,,
23,13,ICRED INSS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,63733796000101,1020.8,1,XP,,,32402502000135,QI SOCIEDADE DE CREDITO DIRETO S.A.,,Outras atividades de serviços financeiros não especificadas anteriormente,,SP,Demais,,,,K · Atividades financeiras e seguros,,,,,Provável,63733796000101,1111.2,2026-06,QI SOCIEDADE DE CREDITO DIRETO S.A.,100000000.0
24,62,ASA LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVEST EM DIREITOS CREDITÓRIOS RESP. LTDA,49916151000183,260.0,2,QI / Singulare,Outros,Multicarteira Outros,99999999999999,,Não classificado,,,,,0.0,1.0,202412,FIC/Alocador,FIC de FIDC,FIC/Alocador,FIC de FIDC,,,49916151000183,1099.4,2026-06,,
25,51,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOX I,19388423000159,330.0,3,Singulare,Fomento Mercantil,Fomento Mercantil,19388423000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS IOX I,Fundo / securitizadora,"Fundos de investimento, exceto previdenciários e imobiliários",K · Atividades financeiras e seguros,SP,Demais,0.0,2.0,202512,K · Atividades financeiras e seguros,,,,Devedores PF/PJ,,19388423000159,1021.9,2026-06,,
26,21,CLASSE ÚNICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-BAYER RESPONSABILIDADE LIMITADA,44302112000172,700.0,1,Vórtx,"Agro, Indústria e Comércio",Agronegócio,05650381000178,TERRA DO BRASIL PRODUTOS AGROPECUARIOS LTDA,Operacional,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",G · Comércio e reparação de veículos,GO,Demais,0.0507,9.0,202606,G · Comércio e reparação de veículos,,Agro,Agro,,Provável,44302112000172,1021.6,2026-06,TERRA DO BRASIL PRODUTOS AGROPECUARIOS LTDA,16000000.0
27,74,SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,23956882000169,222.0,1,Carmel,Fomento Mercantil,Fomento Mercantil,23956882000169,SB CREDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,Fundo / securitizadora,"Fundos de investimento, exceto previdenciários e imobiliários",K · Atividades financeiras e seguros,SP,Demais,0.0,2.0,202512,K · Atividades financeiras e seguros,,,,,,23956882000169,954.2,2026-06,,
28,60,MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II - CRÉDITO MERCANTIL RESP LIMITADA,60871638000120,270.0,1,Bradesco BBI,"Agro, Indústria e Comércio",Recebíveis Comerciais,67620377000114,MINERVA S.A.,Operacional,Fabricação de produtos de carne,C · Indústria de transformação,SP,Demais,0.6581,2.0,202606,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,,,60871638000120,838.0,2026-06,,
29,19,DAYCOVAL D413 FUNDO DE INVESTIMENTO EM DIREITOS  CREDITORIOS,66226355000101,750.0,1,Itaú BBA,,,61186680000174,BANCO BMG S.A,Instituição financeira,"Bancos múltiplos, com carteira comercial",K · Atividades financeiras e seguros,SP,Demais,0.9967,1.0,202606,K · Atividades financeiras e seguros,,,,,,66226355000101,748.8,2026-06,,
30,25,IFOOD PAGO CRÉDITO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESP. LIMITADA,61288838000117,600.0,1,Bradesco BBI,Financeiro,Multicarteira Financeiro,51556307000104,IFOOD PAGO SOCIEDADE DE CREDITO DIRETO S.A.,Instituição financeira,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.61,2.0,202512,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,,Provável,61288838000117,722.5,2026-06,IFOOD PAGO SOCIEDADE DE CREDITO DIRETO S.A.,24144000.0
31,70,ISAAC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO DE SERVIÇOS EDUCACIONAIS,44516049000177,230.0,1,Itaú BBA,"Agro, Indústria e Comércio",Recebíveis Comerciais,38008510000188,ISAAC TECNOLOGIA & SERVICOS LTDA,Operacional,Atividades de cobranças e informações cadastrais,N · Serviços administrativos,SP,Demais,0.0121,1.0,202606,N · Serviços administrativos,,,,,,44516049000177,721.3,2026-06,,
32,42,ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50491214000186,400.0,7,QI / Singulare,Fomento Mercantil,Fomento Mercantil,50491214000186,ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Fundo / securitizadora,"Fundos de investimento, exceto previdenciários e imobiliários",K · Atividades financeiras e seguros,SP,Demais,0.0,2.0,202512,Agro,Agro,Agro,Agro,,,50491214000186,710.0,2026-06,,
33,88,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOL CONSIG - RESPONSABILIDADE LIMITADA,47117855000160,193.1,5,Hemera,Financeiro,Crédito Consignado,40083667000110,CAPITAL CONSIG SOCIEDADE DE CREDITO DIRETO S.A,Instituição financeira,Outras atividades de serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.7725,3.0,202606,K · Atividades financeiras e seguros,,,,,Provável,47117855000160,688.9,2026-06,CAPITAL CONSIG SOCIEDADE DE CREDITO DIRETO S.A,14270000.0
34,27,ERYTHRINA FIDC SEGMENTO INFRAESTRUTURA E AGRONEGOCIO DE RESPONSABILIDADE LIMITADA,65505678000171,580.0,2,Itaú BBA,,,,,,,,,,,,,,,Agro,Agro,,,65505678000171,586.3,2026-06,,
35,17,IS GREEN SOLFACIL VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE  LIMITADA,63505455000189,768.0,1,Itaú BBA,,,34337707000100,BMP SOCIEDADE DE CREDITO DIRETO S.A,Instituição financeira,Outras atividades de serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.0077,1.0,202606,K · Atividades financeiras e seguros,,,,,Provável,63505455000189,564.7,2026-06,BMP SOCIEDADE DE CREDITO DIRETO S.A,7000000.0
36,94,INSS SOLIS ITER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,55581400000120,177.0,5,Hemera,Financeiro,Crédito Consignado,40083667000110,CAPITAL CONSIG SOCIEDADE DE CREDITO DIRETO S.A,Instituição financeira,Outras atividades de serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.8895000000000001,2.0,202606,K · Atividades financeiras e seguros,,,,,Provável,55581400000120,517.2,2026-06,CAPITAL CONSIG SOCIEDADE DE CREDITO DIRETO S.A,14270000.0
37,33,ATENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO INFRAESTRUTURA DE RESP LIMITADA,65411764000115,502.0,1,Santander,,,75904383000121,COAMO AGROINDUSTRIAL COOPERATIVA,Operacional,Serviços combinados de escritório e apoio administrativo,N · Serviços administrativos,PR,Demais,0.9972,1.0,202606,N · Serviços administrativos,,,,,Provável,65411764000115,511.7,2026-06,COAMO AGROINDUSTRIAL COOPERATIVA,303060454.0
38,18,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP RESPONSABILIDADE LIMITADA,08654210000105,750.0,6,QI / Singulare,Fomento Mercantil,Fomento Mercantil,99999999999999,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL ONE7 LP RESPONSABILIDADE LIMITADA,Não classificado,"Fundos de investimento, exceto previdenciários e imobiliários",,SP,DEMAIS,0.0,1.0,202312,"Fundos de investimento, exceto previdenciários e imobiliários",,,,,,08654210000105,502.8,2026-06,,
39,30,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,62682486000142,540.0,2,Oslo / Vórtx,,,03881423000156,"SOCINAL S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",Instituição financeira,"Sociedades de crédito, financiamento e investimento - financeiras",K · Atividades financeiras e seguros,RJ,Demais,0.8051999999999999,3.0,202606,Crédito PF,FGTS,Crédito PF,FGTS,,Provável,62682486000142,500.5,2026-06,"SOCINAL S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",16042105.26
40,43,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLT NOW RESPONSABILIDADE LIMITADA,62390922000100,380.0,1,Oliv. Trust,Financeiro,Crédito Consignado,,,,,,,,,,,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,,,62390922000100,474.4,2026-06,,
41,32,SALVADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO RESPONSABILIDADE LIMITADA,62705336000107,508.2,2,Vert,Financeiro,Multicarteira Financeiro,48565815000144,HAPPY CONSIG LTDA,,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",,SP,DEMAIS,,,,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,,,62705336000107,447.0,2026-06,,
42,65,MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,58152340000118,250.0,1,Itaú BBA,Financeiro,Crédito Pessoal,48751854000136,MAREE SOCIEDADE DE CREDITO DIRETO S.A.,Instituição financeira,Outras atividades de serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,1.1255,1.0,202606,K · Atividades financeiras e seguros,,,,,Provável,58152340000118,442.2,2026-06,MAREE SOCIEDADE DE CREDITO DIRETO S.A.,43500000.0
43,53,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,62627291000108,325.0,3,QI / Singulare,Financeiro,Crédito Pessoal,31703183000135,FACIO PAGAMENTOS LTDA,Instituição financeira,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.8726999999999999,2.0,202606,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,,Provável,62627291000108,410.8,2026-06,FACIO PAGAMENTOS LTDA,82392185.0
44,91,TELCOBANK I FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,43721652000128,185.0,1,Ativa,Fomento Mercantil,Fomento Mercantil,22942368000101,MVG TECNOLOGIA LTDA,Operacional,Comércio varejista especializado de equipamentos de telefonia e comunicação,G · Comércio e reparação de veículos,ES,Microempresa,0.0688,8.0,202606,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,,Provável,43721652000128,405.1,2026-06,VYRA TELECOM LTDA,1000000.0
45,67,JEITTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  GUARDIAN RESPONSABILIDADE LIMITADA,61157943000117,238.4,3,Br,Financeiro,Crédito Pessoal,33959738000130,MOVA SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S/A,Instituição financeira,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.8822,1.0,202606,K · Atividades financeiras e seguros,,,,,Provável,61157943000117,405.0,2026-06,MOVA SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S/A,90839380.0
46,52,CONSIGNADOS IX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,59086325000181,325.9,11,QI / Singulare,Financeiro,Crédito Consignado,48632754000190,CELCOIN SOCIEDADE DE CREDITO DIRETO S.A,Instituição financeira,Outras instituições de intermediação não-monetária não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,1.0017,1.0,202606,K · Atividades financeiras e seguros,,,,,Provável,59086325000181,383.0,2026-06,CELCOIN SOCIEDADE DE CREDITO DIRETO S.A,61515321.0
47,14,JIVEMAUÁ BOSSANOVA CRÉDITO SECURITIZADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,64118207000148,1000.0,1,XP,,,,,,,,,,,,,,,,,,,64118207000148,370.4,2026-06,,
48,58,FGCB III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MULTICARTEIRA - RESP LIMITADA,60742201000196,284.0,1,BRL Trust,Financeiro,Multicarteira Financeiro,33041260065290,GRUPO CASAS BAHIA S.A.,,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,,SP,Demais,,,,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,,Provável,60742201000196,368.4,2026-06,BMP SOCIEDADE DE CREDITO DIRETO S.A,7000000.0
49,24,FUNDO DE INVESTIMENTO EM COTAS DE FIDC SÊNIOR EXODUS INSTITUCIONAL - RESPONSABILIDADE LIMITADA,61385893000125,601.0,1,Nova,Outros,Multicarteira Outros,,,,,,,,,,,,,,,,,61385893000125,354.5,2026-06,,
50,61,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA INCLUSÃO FINANCEIRA,41778453000120,262.5,4,Vórtx,Financeiro,Crédito Pessoal,34337707000100,BMP SOCIEDADE DE CREDITO DIRETO S.A,Instituição financeira,Outras atividades de serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.9695,4.0,202512,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,,Provável,41778453000120,347.6,2026-06,CELCOIN SOCIEDADE DE CREDITO DIRETO S.A,61515321.0
51,78,JC CARBON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62015452000102,209.8,1,Singulare,Outros,Poder Público,62015452000102,JC CARBON FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,"Fundos de investimento, exceto previdenciários e imobiliários",,SP,DEMAIS,,,,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,,,62015452000102,313.8,2026-06,,
52,72,MSV3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RECEBIVEIS  COMERCIAIS RESPONSABILIDADE LIMITADA,63657457000193,225.0,1,Bradesco BBI,,,54183587000140,MANSERV MONTAGEM E MANUTENCAO S/A,,Instalação e manutenção elétrica,,SP,DEMAIS,,,,Instalação e manutenção elétrica,,,,,Provável,63657457000193,311.5,2026-06,MANSERV MONTAGEM E MANUTENCAO S/A,54000000.0
53,97,ARCESP CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42404659000153,175.0,1,Vórtx,Financeiro,Crédito Consignado,60939600000141,ARCESP - ASSOCIACAO ASSISTENCIAL,,Atividades associativas não especificadas anteriormente,,RJ,DEMAIS,,,,Atividades associativas não especificadas anteriormente,,,,,Provável,42404659000153,310.0,2026-06,ARCESP SEGURADORA SA,2900000.0
54,28,MRV PRÓ  SOLUTO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IMOBILIÁRIOS DE RESP LIMITADA,62790827000101,570.0,1,Oliv. Trust,Financeiro,Crédito Imobiliário,,,,,,,,,,,Imobiliário,Imobiliário,Imobiliário,Imobiliário,,,62790827000101,299.8,2026-06,,
55,80,FUNDO DE CRÉDITO E RECEBÍVEIS - FIDC RESPONSABILIDADE LIMITADA,47085633000103,200.0,1,Maf,Outros,Multicarteira Outros,01599101000193,SEQUOIA LOGISTICA E TRANSPORTES S.A,,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",,SP,DEMAIS,,,,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",,,,,Provável,47085633000103,277.9,2026-06,VEGA SOLAR S.A,34062500.0
56,75,ZIPPI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,52994887000184,220.0,1,Vert,Outros,Multicarteira Outros,29934678000123,ZIPPI SOLUCOES DE CREDITO LTDA,,Correspondentes de instituições financeiras,,SP,DEMAIS,,,,Correspondentes de instituições financeiras,,,,,Provável,52994887000184,271.0,2026-06,ZIPPI SOLUCOES DE CREDITO LTDA,96439900.0
57,66,DIRECIONAL RECEBÍVEIS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE  RESP LTDA,62729814000119,249.0,1,Oliv. Trust,Financeiro,Crédito Imobiliário,,,,,,,,,,,,,,,,,62729814000119,267.2,2026-06,,
58,81,EUCALIPTO FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE  LIMITADA,66358370000103,200.0,1,Jgp,,,47242860000103,FS FLORESTAL S.A,,Holdings de instituições não-financeiras,,MT,DEMAIS,,,,Holdings de instituições não-financeiras,,,,,,66358370000103,254.3,2026-06,,
59,46,ROOT CAPITAL FICUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,64299705000134,375.0,1,BTG Pactual,,,,,,,,,,,,,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,,,64299705000134,253.2,2026-06,,
60,44,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SOMACRED VEGA SICILIA ASSISTENCIA FINANCEIRA RESP LTDA,63845478000132,380.0,1,Ativa,,,17479056000173,KOVR PREVIDENCIA S A,,Previdência complementar aberta,,SP,DEMAIS,,,,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,,Provável,63845478000132,231.0,2026-06,KOVR PREVIDENCIA S A,23700100.0
