rank_pl,#,FIDC,CNPJ do fundo,Volume 2026 (R$ mi),Ofertas,Coordenador líder,Tipo ANBIMA,Foco ANBIMA,CNPJ cedente,Razão social cedente,Natureza cedente,CNAE cedente,Seção CNAE,UF,Porte,% do fundo,Nº cedentes,Competência,Setor cedente,Segmento cedente,Setor sacado,Segmento sacado,Sacado nomeado,MIDDLE (preencher),cnpj,pl_mm,competencia_pl,Cedente Provável Middle,Capital social do cedente (R$)
1,1,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,5500.0,1,Bradesco BBI,Outros,Multicarteira Outros,18189547000142,CLOUDWALK INSTITUICAO DE PAGAMENTO E SERVICOS LTDA,Operacional,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,N · Serviços administrativos,SP,Demais,0.9433,1.0,202606,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Emissores/IPs,,62393679000183,10011.0,2026-06,,
2,15,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28169275000172,1000.0,1,Itaú BBA,Outros,Multicarteira Outros,,,,,,,,,,,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,PagSeguro (devedor),,28169275000172,6234.7,2026-06,,
3,16,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,62393829000159,1000.0,1,Bradesco BBI,Fomento Mercantil,Fomento Mercantil,60498706000157,CARGILL AGRICOLA S A,Operacional,"Fabricação de óleos vegetais refinados, exceto óleo de milho",C · Indústria de transformação,SP,Demais,0.0412,12.0,202606,C · Indústria de transformação,,,,BRF*,Provável,62393829000159,3091.7,2026-06,COAMO AGROINDUSTRIAL COOPERATIVA,303060454.0
4,3,VTK FUNDO DE  INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE  LIMITADA,62588266000154,2850.0,1,Itaú BBA,Financeiro,Crédito Consignado,,,,,,,,,,,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,,,62588266000154,3085.1,2026-06,,
5,4,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGIBANK II RESPONSABILIDADE LIMITADA,65976848000104,2500.0,1,Bradesco BBI,,,,,,,,,,,,,,,,,,,65976848000104,2967.2,2026-06,,
6,37,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,59929098000109,450.0,1,Daycoval,Outros,Multicarteira Outros,32997490000139,CREDITAS SOCIEDADE DE CREDITO DIRETO S.A.,Instituição financeira,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,0.7162999999999999,2.0,202606,K · Atividades financeiras e seguros,,,,,Provável,59929098000109,2207.6,2026-06,CREDITAS SOCIEDADE DE CREDITO DIRETO S.A.,26000000.0
7,23,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42154687000160,615.0,3,QI / Singulare,Fomento Mercantil,Fomento Mercantil,62448932000159,"MULTIPLIKE FINANCEIRA S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",Instituição financeira,"Sociedades de crédito, financiamento e investimento - financeiras",K · Atividades financeiras e seguros,SC,Demais,0.1165,3.0,202606,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,,Provável,42154687000160,2118.1,2026-06,"MULTIPLIKE FINANCEIRA S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",65000000.0
8,5,DRIVER BRASIL SIX BANCO VOLKSWAGEN FIDC FINANCIAMENTO DE VEÍCULOS - RESPONSABILIDADE LIMITADA,50114948000146,2000.0,1,Bradesco BBI,Financeiro,Financiamento de Veículos,59109165000149,BANCO VOLKSWAGEN S.A.,Instituição financeira,"Bancos múltiplos, sem carteira comercial",K · Atividades financeiras e seguros,SP,Demais,0.9244,2.0,202606,K · Atividades financeiras e seguros,,,,,,50114948000146,1934.8,2026-06,,
9,22,FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO PAKETÁ DE  RESPONSABILID,53841740000117,667.0,2,Singulare / XP,Financeiro,Crédito Consignado,32402502000135,QI SOCIEDADE DE CREDITO DIRETO S.A.,Instituição financeira,Outras atividades de serviços financeiros não especificadas anteriormente,K · Atividades financeiras e seguros,SP,Demais,1.0133,2.0,202606,K · Atividades financeiras e seguros,,,,,Provável,53841740000117,1918.5,2026-06,QI SOCIEDADE DE CREDITO DIRETO S.A.,100000000.0
10,7,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,63572282000111,1500.0,1,UBS BB,,,,,,,,,,,,,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,,,63572282000111,1876.1,2026-06,,
