cnpj_fundo,denominacao,pl_max,competencia_pl_max,competencias_observadas,anbima_tipo,anbima_foco,is_np
59987689000132,HCAM PRECATÓRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5382662.55,2026-06,"2026-06, 2025-12",Outros,Poder Público,False
41520310000114,TOKAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5372717.05,2025-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
55747288000154,TOP SETORIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5329761.68,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
27635225000170,ÔNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,5315616.9,2023-12,"2024-12, 2023-12",Outros,N/D,False
49939512000107,ENKI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,5305817.82,2023-12,"2024-12, 2023-12",Outros,Multicarteira Outros,True
55891858000185,DAYTONA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,5254437.65,2025-12,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,True
60371387000114,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEXT CONSIG,5209401.33,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
43391632000136,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EM CLASSES DE COTAS BIZCAPITAL I RESP LIMITADA,5206031.89,2024-12,"2024-12, 2023-12",Outros,Multicarteira Outros,False
30687481000116,IRIDIUM CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,5181349.11,2023-12,"2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
53499439000177,KUYPER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA,5142570.09,2024-12,2024-12,Outros,N/D,False
47669241000191,FIGURATI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,5126020.16,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
53327560000111,LEVANTE - MICROCRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5120890.39,2024-12,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
57441997000132,F4RES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,5089698.4,2024-12,2024-12,N/D,N/D,False
47669306000107,TANGUÁ FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA,5088668.79,2024-12,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
47984230000104,JUGIS I PRIVATE CLAIMS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5067094.88,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
61043596000100,LA VIE PFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5042091.79,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
56265097000119,ORIZ JUS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5024172.15,2025-12,"2026-06, 2025-12",Outros,Poder Público,False
51033533000100,VALHALLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,5021495.71,2023-12,"2024-12, 2023-12",Outros,N/D,True
66359499000136,LIFT GAMA CONSIGNADO PRIVADO FIDC RESPONSABILIDADE LIMITADA,4973122.07,2026-06,2026-06,N/D,N/D,False
51410013000170,FATURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,4950170.05,2023-12,2023-12,Outros,N/D,True
38134439000180,TCN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,4933206.64,2024-12,"2024-12, 2023-12",Outros,Multicarteira Outros,True
53822280000180,AKYA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,4929013.5,2024-12,2024-12,N/D,N/D,False
46442318000123,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS UNIMED INVESTCOOP PAY,4918021.94,2023-12,2023-12,N/D,N/D,False
55497401000190,F3 STARS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,4872156.52,2026-06,2026-06,N/D,N/D,False
54828406000196,EUREKKA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4836514.77,2024-12,"2025-12, 2024-12",Outros,Multicarteira Outros,False
53808205000164,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS GYMCRED - RESPONSABILIDADE LIMITADA,4801399.56,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,False
58255305000124,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DIGITAL CASH CONSIG,4582638.64,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
38455405000197,WELLESLEY II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4555835.98,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
65100186000104,SALAMANDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO - RESP. LIMITADA,4518446.08,2026-06,2026-06,N/D,N/D,False
54246795000141,LOGÍSTICA BR I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA - LONGO P,4325684.54,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
55330962000109,LEGATUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4318921.2,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
64988177000120,ALGARVE HANOVER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,4300858.22,2026-06,2026-06,N/D,N/D,False
50692376000182,BOLSA DE CRÉDITOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4287699.89,2026-06,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
51199121000145,2MONEY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,4236054.38,2026-06,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,True
61228249000143,BS PLUS 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4166799.72,2026-06,"2026-06, 2025-12",Outros,Multicarteira Outros,False
54766624000143,FIND MONEY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4155623.53,2024-12,2024-12,Outros,N/D,False
60075857000100,EKKO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4116032.57,2025-12,2025-12,Outros,Multicarteira Outros,False
