view,competence,effect,from_type,from_focus,to_type,to_focus,decision_count,pl_brl,cnpjs,source,note
source_gross_decision_flow,2026-06,Só Foco,Financeiro,Crédito Pessoal,Financeiro,Financiamento de Veículos,1,1246401933.829999923706,57532556000146,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Só Foco,Financeiro,Multicarteira Financeiro,Financeiro,Adquirência,1,1702368453.869999885559,38376526000143,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Só Foco,Financeiro,Multicarteira Financeiro,Financeiro,Financiamento de Veículos,1,1461910524.619999885559,66929956000180,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Só Foco,Outros,Multicarteira Outros,Outros,Poder Público,1,5861437942.619999885559,29225241000110,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Só Foco,Outros,Multicarteira Outros,Outros,Recuperação,6,14988349433.280000686646,13764696000174 | 17250006000110 | 26405883000103 | 29043573000184 | 29301202000155 | 51079269000146,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
source_gross_decision_flow,2026-06,Só Foco,Outros,Poder Público,Outros,Recuperação,1,1380228129.740000009537,45207707000101,Industria_FIDC_202606_auditada.xlsx; sha256=c7d7a3b4e0825f7b7e288e8c34f87eb1772ee4085c67a3161f87590d8e05cad0; aba=Mix ANBIMA,Fluxo documental bruto; cada CNPJ aparece uma vez.
current_bundle_incremental_flow,2026-06,Migra de Tipo,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência,1,1389238751.960000038147,52327260000170,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Migra de Tipo,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Multicarteira Financeiro,1,842505368.100000023842,50168890000113,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Migra de Tipo,"Agro, Indústria e Comércio",Recebíveis Comerciais,Outros,Multicedente/Multissacado,1,17971763062.819999694824,65473848000183,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
current_bundle_incremental_flow,2026-06,Migra de Tipo,Financeiro,Financiamento de Veículos,"Agro, Indústria e Comércio",Recebíveis Comerciais,2,5389242716.569999694824,21126275000146 | 47166884000112,antes=git origin/main@b66021fc6597321e15d5942550fbcfd45fb65700; depois=ledger atual sha256=d7b39d3941ab5057b0ffc964ed341c1ad67f68fe9e876746fdf9af1590af327f; base corrente de 2026-06,Efeito incremental no PL observado em 2026-06; decisões já presentes no baseline não reaparecem.
