nome,cnpj_prestador,pl,n_veiculos,n_fundos,share_pl,papel,fonte
INTEGRAL ACCESS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,34978626000199,889201023.08,4,4,0.0009276660849495788,administrador,informe_mensal_tab_I
WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,45854066000187,686294323.12,21,21,0.000715982046046941,administrador,informe_mensal_tab_I
BR-CAPITAL DTVM S.A.,44077014000189,640384800.38,1,1,0.000668086568965053,administrador,informe_mensal_tab_I
LASTRO RDV DTVM LTDA,71590442000183,639716187.72,8,8,0.0006673890334555891,administrador,informe_mensal_tab_I
SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03502968000104,507114261.73,1,1,0.0005290510127526484,administrador,informe_mensal_tab_I
INTRA INVESTIMENTOS DTVM LTDA,15489568000195,444284369.98,26,26,0.0004635032252617601,administrador,informe_mensal_tab_I
BARU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,58006471000197,344831175.65000004,10,10,0.0003597478842025761,administrador,informe_mensal_tab_I
LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40768766000135,182357206.23,4,4,0.0001902456150801205,administrador,informe_mensal_tab_I
ATIVA INVESTIMENTOS S.A. C.T.C.V.,33775974000104,98331024.33999999,4,4,0.00010258462823469194,administrador,informe_mensal_tab_I
BANCO BNP PARIBAS BRASIL S/A,01522368000182,78056259.53,1,1,8.143281755703595e-05,administrador,informe_mensal_tab_I
DILLON S/A DTVM,33851064000155,67371559.23,2,2,7.028591844323585e-05,administrador,informe_mensal_tab_I
BFL ADMINISTRAÇÃO DE RECURSOS LTDA,14717397000141,38424092.17,1,1,4.0086241722507294e-05,administrador,informe_mensal_tab_I
MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,41592532000142,15993991.42,3,3,1.66858595730312e-05,administrador,informe_mensal_tab_I
OLIVEIRA TRUST SERVICER S/A,02150453000120,74372554316.78,46,46,0.07759934058321043,gestor,cadastro_registro_fundo
BB GESTAO DE RECURSOS DTVM S.A,30822936000169,60892601463.94,2,2,0.06353453587020162,gestor,cadastro_registro_fundo
BANCO BRADESCO S.A.,60746948000112,40699594025.93,31,31,0.042465418694164286,gestor,cadastro_registro_fundo
BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,29801934050.32,43,40,0.031094944252672847,gestor,cadastro_registro_fundo
SOLIS INVESTIMENTOS S A,17254708000171,27173703227.65,112,112,0.02835268293580363,gestor,cadastro_registro_fundo
GENIAL GESTÃO LTDA.,22119959000183,26996453150.27,48,48,0.028167742546847434,gestor,cadastro_registro_fundo
BANCO BTG PACTUAL S/A,30306294000145,24962376147.27,9,9,0.02604541347561557,gestor,cadastro_registro_fundo
TERCON INVESTIMENTOS S.A.,09121454000195,23959513209.65,230,230,0.024999039536068156,gestor,cadastro_registro_fundo
CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,20982359358.44,18,18,0.021892716541100945,gestor,cadastro_registro_fundo
REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,46356742000155,16491364733.2,29,29,0.01720687208298291,gestor,cadastro_registro_fundo
ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196,15206828738.43,21,21,0.015866604196996634,gestor,cadastro_registro_fundo
VALORA RENDA FIXA LTDA.,17482086000139,15149985484.47,24,24,0.015807294696813114,gestor,cadastro_registro_fundo
INTEGRAL INVESTIMENTOS LTDA.,06576569000186,14101509780.25,20,20,0.014713328999219311,gestor,cadastro_registro_fundo
VERT GESTORA DE RECURSOS FINANCEIROS LTDA.,31636333000135,14022094094.43,45,45,0.014630467721854189,gestor,cadastro_registro_fundo
