evidence_year,accepted_fund_cedent_pairs,funds,cedents,scope_note
2020,1,1,1,document evidence date; not economic origination date
2021,10,8,10,document evidence date; not economic origination date
2022,8,7,8,document evidence date; not economic origination date
2023,9,8,9,document evidence date; not economic origination date
2024,30,24,27,document evidence date; not economic origination date
2025,55,45,47,document evidence date; not economic origination date
2026,56,37,52,document evidence date; not economic origination date
