role,participant,pl_current,funds_current,pl_previous_reconstructed,funds_previous_reconstructed,pl_previous_confirmed,funds_previous_confirmed,pl_previous_dated_cohort,pl_current_dated_cohort,share_current,share_previous_reconstructed,delta_share_pp_reconstructed,share_previous_min,share_previous_max,delta_share_pp_lower_bound,delta_share_pp_upper_bound,share_previous_dated_cohort,share_current_dated_cohort,delta_share_pp_dated_cohort,dated_market_coverage_previous,dated_cohort_current_pl_share,direction_crosscheck,decision_grade,rank_current,rank_previous_reconstructed,rank_change_reconstructed,delta_pl_brl_reconstructed,delta_funds_reconstructed,competencia_previous,competencia_current
administrador,BTG PACTUAL,146427014608.99,427.0,95717328397.02,334.0,95717328397.02,334.0,95717328397.02,107927837513.19,0.15276115506780702,0.12230683363788589,3.045432142992113,0.12230683363788589,0.12230683363788589,3.045432142992113,3.045432142992113,0.12230683363788589,0.1349555860672137,1.264875242932781,1.0,0.8343232294168442,observed,observed,1,2,1,50709686211.969986,93.0,2025-05,2026-05
administrador,QI TECH + SINGULARE,139239433514.77,821.0,107832021666.07,779.0,107832021666.07,779.0,107832021666.07,126557881210.22,0.14526265355817392,0.13778689141891612,0.7475762139257797,0.13778689141891612,0.13778689141891612,0.7475762139257797,0.7475762139257797,0.13778689141891612,0.15825104462102021,2.04641532021041,1.0,0.8343232294168442,observed,observed,2,1,-1,31407411848.69998,42.0,2025-05,2026-05
administrador,OLIVEIRA TRUST,97677103582.42,156.0,91579920523.71,134.0,91579920523.71,134.0,91579920523.71,84493331835.65,0.10190242017002925,0.11702008707979077,-1.5117666909761518,0.11702008707979077,0.11702008707979077,-1.5117666909761518,-1.5117666909761518,0.11702008707979077,0.10565251170957773,-1.1367575370213032,1.0,0.8343232294168442,observed,observed,3,3,0,6097183058.709991,22.0,2025-05,2026-05
administrador,GRUPO BB,60900746443.310005,3.0,74702361700.59,2.0,74702361700.59,2.0,74702361700.59,60850118917.920006,0.06353519120781484,0.09545407793846962,-3.191888673065478,0.09545407793846962,0.09545407793846962,-3.191888673065478,-3.191888673065478,0.09545407793846962,0.0760884647561287,-1.9365613182340924,1.0,0.8343232294168442,observed,observed,4,5,1,-13801615257.279991,1.0,2025-05,2026-05
administrador,BANCO DAYCOVAL S.A,57683385233.45,398.0,44527977567.01,268.0,44527977567.01,268.0,44527977567.01,47401485064.0,0.060178653372217956,0.0568974921858492,0.32811611863687584,0.0568974921858492,0.0568974921858492,0.32811611863687584,0.32811611863687584,0.0568974921858492,0.05927196675729372,0.2374474571444525,1.0,0.8343232294168442,observed,observed,5,6,1,13155407666.439995,130.0,2025-05,2026-05
administrador,GRUPO GENIAL,51763005017.13,138.0,44309460899.35,121.0,44309460899.35,121.0,44309460899.35,46030043134.68,0.05400216932178025,0.05661827334255113,-0.2616104020770879,0.05661827334255113,0.05661827334255113,-0.2616104020770879,-0.2616104020770879,0.05661827334255113,0.057557082501358256,0.0938809158807126,1.0,0.8343232294168442,observed,observed,6,7,1,7453544117.779999,17.0,2025-05,2026-05
administrador,GRUPO BRADESCO/BEM,51383839903.15,46.0,27323900379.68,33.0,27323900379.68,33.0,27323900379.68,34872523918.55,0.05360660228158844,0.034914260500606836,1.8692341780981607,0.034914260500606836,0.034914260500606836,1.8692341780981607,1.8692341780981607,0.034914260500606836,0.0436054498219302,0.8691189321323366,1.0,0.8343232294168442,observed,observed,7,8,1,24059939523.47,13.0,2025-05,2026-05
administrador,REAG/CBSF,42961524382.72,80.0,79121109249.89,237.0,79121109249.89,237.0,79121109249.89,42691018580.41,0.04481995419836369,0.10110031807545276,-5.6280363877089075,0.10110031807545276,0.10110031807545276,-5.6280363877089075,-5.6280363877089075,0.10110031807545276,0.05338188520289248,-4.771843287256028,1.0,0.8343232294168442,observed,observed,8,4,-4,-36159584867.17,-157.0,2025-05,2026-05
administrador,ITAU/INTRAG,31609797760.030003,40.0,14780275761.42,17.0,14780275761.42,17.0,14780275761.42,16676239290.310001,0.03297717453419621,0.018886117685774792,1.4091056848421422,0.018886117685774792,0.018886117685774792,1.4091056848421422,1.4091056848421422,0.018886117685774792,0.020852374129573744,0.19662564437989521,1.0,0.8343232294168442,observed,observed,9,12,3,16829521998.610003,23.0,2025-05,2026-05
administrador,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24546744869.45,127.0,15493090065.74,99.0,15493090065.74,99.0,15493090065.74,23473075970.43,0.0256085880697982,0.019796946080102247,0.5811641989695953,0.019796946080102247,0.019796946080102247,0.5811641989695953,0.5811641989695953,0.019796946080102247,0.02935130358747777,0.9554357507375523,1.0,0.8343232294168442,observed,observed,10,10,0,9053654803.710001,28.0,2025-05,2026-05
administrador,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,22460182907.76,138.0,17030711608.76,116.0,17030711608.76,116.0,17030711608.76,18177483507.72,0.02343176560135224,0.021761706541030778,0.1670059060321461,0.021761706541030778,0.021761706541030778,0.1670059060321461,0.1670059060321461,0.021761706541030778,0.022729566315193343,0.09678597741625654,1.0,0.8343232294168442,observed,observed,11,9,-2,5429471298.999998,22.0,2025-05,2026-05
administrador,XP INVESTIMENTOS CCTVM S.A,17768425494.940002,44.0,10746145796.630001,27.0,10746145796.630001,27.0,10746145796.630001,14627496030.710001,0.018537052125193416,0.01373133880988901,0.48057133153044074,0.01373133880988901,0.01373133880988901,0.48057133153044074,0.48057133153044074,0.01373133880988901,0.01829057586073711,0.45592370508481006,1.0,0.8343232294168442,observed,observed,12,17,5,7022279698.310001,17.0,2025-05,2026-05
administrador,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,17689084841.81,68.0,15039225270.15,69.0,15039225270.15,69.0,15039225270.15,17491645716.0,0.01845427935373223,0.019217001288725815,-0.07627219349935835,0.019217001288725815,0.019217001288725815,-0.07627219349935835,-0.07627219349935835,0.019217001288725815,0.021871978103835874,0.26549768151100595,1.0,0.8343232294168442,observed,observed,13,11,-2,2649859571.6600018,-1.0,2025-05,2026-05
