denominacao_referencia,pl_brl,tipo_atual,foco_atual,tipo_proposto,foco_proposto,efeito,cnpj_fundo
PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,17971763062.82,"Agro, Indústria e Comércio",Recebíveis Comerciais,Outros,Multicedente/Multissacado,Migra de Tipo,65473848000183
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,10010957003.11,Outros,Multicarteira Outros,Financeiro,Adquirência,Migra de Tipo,62393679000183
BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8032044361.07,Financeiro,Crédito Pessoal,Financeiro,Crédito Consignado,Só Foco,52242420000188
AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,7350884666.57,"Agro, Indústria e Comércio",Recebíveis Comerciais,"Agro, Indústria e Comércio",Infraestrutura,Só Foco,52610624000124
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6234652185.61,Outros,Multicarteira Outros,Financeiro,Adquirência,Migra de Tipo,28169275000172
BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6007175688.48,Financeiro,Crédito Pessoal,Financeiro,Crédito Consignado,Só Foco,50906397000153
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,5861437942.62,Outros,Multicarteira Outros,Outros,Poder Público,Só Foco,29225241000110
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,5751418460.99,Outros,Multicarteira Outros,Financeiro,Multicarteira Financeiro,Migra de Tipo,42922136000107
VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4242510733.6,Financeiro,Financiamento de Veículos,"Agro, Indústria e Comércio",Recebíveis Comerciais,Migra de Tipo,21126275000146
RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3599850973.43,Outros,Multicarteira Outros,Outros,Recuperação,Só Foco,29301202000155
OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3470655083.68,Outros,Multicarteira Outros,"Agro, Indústria e Comércio",Crédito Corporativo,Migra de Tipo,48349509000170
RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,3394314559.41,Outros,Multicarteira Outros,Outros,Recuperação,Só Foco,17250006000110
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,3091715187.97,Fomento Mercantil,Fomento Mercantil,"Agro, Indústria e Comércio",Crédito Corporativo,Migra de Tipo,62393829000159
CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3058107297.6,Outros,Multicarteira Outros,Outros,Recuperação,Só Foco,51079269000146
SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,2879663753.83,Financeiro,Crédito Pessoal,Financeiro,Adquirência,Só Foco,55471753000177
FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,2633629374.15,Outros,Multicarteira Outros,Outros,Recuperação,Só Foco,26405883000103
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,2207591119.67,Outros,Multicarteira Outros,Financeiro,Financiamento de Veículos,Migra de Tipo,59929098000109
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2008347381.44,Financeiro,Crédito Pessoal,Financeiro,Crédito Consignado,Só Foco,54871427000194
SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,1876075238.87,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência,Migra de Tipo,63572282000111
