Fundo,CNPJ,Pontuação agro no regulamento,Termos,Manter Agro/Revenda?
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ,43309233000183,28,"CPR, PRODUTORES? RU, AGRONEGOCIO",Sim
TALÓ 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDI,43616659000180,28,"CPR, PRODUTORES? RU, AGRONEGOCIO",Sim
FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIRE,47151680000108,26,"CPR, PRODUTORES? RU, AGRONEGOCIO",Sim
FARMTECH SYNGENTA FUNDO DE INVESTIMENTO EM DIR,52343195000176,22,"CPR, PRODUTORES? RU, AGRONEGOCIO",Sim
PONTO RURAL FIAGRO RESPONSABILIDADE LIMITADA,57131490000182,22,"CPR, AGRONEGOCIO, INSUMOS? AGRIC",Sim
FATOR TARKEN FIAGRO,56936116000191,22,"CPR, AGRONEGOCIO, CDCA",Sim
LAVORO AGRO FIAGRO - DIREITOS CREDITÓRIOS - RE,44272584000120,18,"AGRONEGOCIO, INSUMOS? AGRIC, FIAGRO",Sim
BOASAFRA FUNDO DE INVESTIMENTO EM DIREITOS CRE,50832746000130,18,"CPR, AGRONEGOCIO",Sim
LAVORO AGRO II FIAGRO - DIREITOS CREDITÓRIOS -,55476342000174,18,"AGRONEGOCIO, INSUMOS? AGRIC, FIAGRO",Sim
CLASSE ÚNICA DO FIDC CRÉDITO NITRO AGRO - RESP,51554551000138,16,"PRODUTORES? RU, AGRONEGOCIO, INSUMOS? AGRIC",Sim
NAGRO OIKOS FUNDO DE INVESTIMENTO NAS CADEIAS ,48946335000123,14,"AGRONEGOCIO, FIAGRO",Sim
CEREALIS FUNDO DE INVESTIMENTO EM DIREITOS CRE,47425750000179,13,"CPR, AGRONEGOCIO, INSUMOS? AGRIC",Sim
FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS A,47936340000192,12,"PRODUTORES? RU, AGRONEGOCIO",Sim
HELM FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTI,58291962000127,11,"AGRONEGOCIO, FIAGRO",Sim
AGRICONNECTION FIAGRO,50089559000108,10,"AGRONEGOCIO, FIAGRO",Sim
INDIE MERX RAIZ I CRÉDITO AGRO FIDC DO AGRONEG,54857414000160,8,AGRONEGOCIO,Sim
AGROMERCANTIL CRÉDITO AGRO FUNDO DE INVESTIMEN,57752597000148,4,AGRONEGOCIO,Sim
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ,55374251000128,0,—,Rever
UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADE,37645417000111,0,—,Rever
GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDIT,29492605000129,0,—,Rever
CD CASH FUNDO DE INVESTIMENTO EM DIREITOS CRED,37035970000132,0,—,Rever
MAQNELSON FUNDO DE INVESTIMENTO EM DIREITOS CR,50536324000117,0,—,Rever
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ,43866348000179,0,—,Rever
VIXTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDI,45523699000102,0,—,Rever
CHEMICAL XIII - FUNDO DE INVESTIMENTO EM DIREI,50098465000103,0,—,Rever
WORKCAP AGRO FUNDO DE INVESTIMENTO EM DIREITOS,33076242000118,0,—,Rever
MCPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓ,52968533000165,0,sem vocabulário no regulamento; consta na tabela interna agro como Fidc MAQCAMPO,Sim
