bucket,observations,share_observations
0,13,0.06565656565656566
1,48,0.24242424242424243
2-5,63,0.3181818181818182
6-10,30,0.15151515151515152
11-50,36,0.18181818181818182
51-100,4,0.020202020202020204
101-500,1,0.005050505050505051
>500,3,0.015151515151515152
