dimension_id,dimension_label,source_layer,rows,funds,values,curated_rows,multivalue_rows,priority_2025_2026_rows,document_expected_rows,page_expected_rows,page_not_applicable_rows,review_expected_rows,with_source_document,with_source_page,with_source_date,with_source_method,with_confidence,with_review_status,source_document_ratio,source_page_ratio,source_date_ratio,source_method_ratio,confidence_ratio,review_status_ratio,quality_score,confidence_median,missing_document_rows,missing_page_rows,missing_method_rows,missing_score_rows,missing_review_rows,traceability_gap_rows,traceability_priority_score
documento_local,Documento local,snapshot,4219,4219,2,0,0,0,0,0,4219,0,0,0,4219,4219,4219,0,,,1.0,1.0,1.0,,1.0,0.95,0,0,0,0,0,0,210.95000000000002
emissao_2025_2026,Emissão 25-26,snapshot,4219,4219,2,0,0,0,0,0,4219,0,0,0,4219,4219,4219,0,,,1.0,1.0,1.0,,1.0,0.95,0,0,0,0,0,0,210.95000000000002
faixa_sub_minima,Faixa sub mín.,snapshot,4219,4219,5,0,0,0,255,0,4219,0,255,0,4219,4219,4219,0,1.0,,1.0,1.0,1.0,,1.0,0.85,0,0,0,0,0,0,210.95000000000002
fic_fidc,FIC-FIDC,snapshot,4219,4219,2,0,0,0,0,0,4219,0,0,0,4219,4219,4219,0,,,1.0,1.0,1.0,,1.0,0.98,0,0,0,0,0,0,210.95000000000002
segmento_estrategia,Segmento Estratégia,snapshot,4219,4219,10,0,0,0,0,0,4219,0,0,0,4219,4219,4219,0,,,1.0,1.0,1.0,,1.0,0.98,0,0,0,0,0,0,210.95000000000002
sinal_cedente_sacado,Sinal ced/sacado,snapshot,4219,4219,2,0,0,0,167,0,4219,0,167,0,4219,4219,4219,0,1.0,,1.0,1.0,1.0,,1.0,0.85,0,0,0,0,0,0,210.95000000000002
snapshot_status,Status snapshot,snapshot,4219,4219,3,0,0,0,0,0,4219,0,0,0,4219,4219,4219,0,,,1.0,1.0,1.0,,1.0,0.95,0,0,0,0,0,0,210.95000000000002
subsegmento_estrategia,Subsegmento Estratégia,snapshot,4219,4219,19,0,0,0,0,0,4219,0,0,0,4219,4219,4219,0,,,1.0,1.0,1.0,,1.0,0.98,0,0,0,0,0,0,210.95000000000002
tem_sub_minima,Tem sub mín.,snapshot,4219,4219,2,0,0,0,255,0,4219,0,255,0,4219,4219,4219,0,1.0,,1.0,1.0,1.0,,1.0,0.85,0,0,0,0,0,0,210.95000000000002
gestor,Gestor,snapshot,4187,4187,479,0,0,0,0,0,4187,0,0,0,4187,4187,4187,0,,,1.0,1.0,1.0,,1.0,0.98,0,0,0,0,0,0,209.35000000000002
custodiante,Custodiante,snapshot,4160,4160,45,0,0,0,0,0,4160,0,0,0,4160,4160,4160,0,,,1.0,1.0,1.0,,1.0,0.98,0,0,0,0,0,0,208.0
segmento,Segmento,snapshot,3153,3153,10,0,0,0,0,0,3153,0,0,0,3153,3153,3153,0,,,1.0,1.0,1.0,,1.0,0.98,0,0,0,0,0,0,157.65
ano_primeira_oferta,Ano 1ª oferta,snapshot,1407,1407,3,0,0,0,0,0,1407,0,0,0,1407,1407,1407,0,,,1.0,1.0,1.0,,1.0,0.95,0,0,0,0,0,0,70.35000000000001
safra_emissao,Safra emissão,snapshot,1407,1407,3,0,0,0,0,0,1407,0,0,0,1407,1407,1407,0,,,1.0,1.0,1.0,,1.0,0.95,0,0,0,0,0,0,70.35000000000001
classe_documento,Classe documento,snapshot,1997,729,6,0,1997,0,0,0,1997,0,0,0,1997,1997,1997,0,,,1.0,1.0,1.0,,1.0,0.95,0,0,0,0,0,0,36.45
chunk_docs,Chunk docs,snapshot,1958,729,113,0,1958,0,0,0,1958,0,0,0,1958,1958,1958,0,,,1.0,1.0,1.0,,1.0,0.95,0,0,0,0,0,0,36.45
publico_alvo,Público-alvo,snapshot,237,237,2,0,0,0,0,0,237,0,0,0,237,237,237,0,,,1.0,1.0,1.0,,1.0,0.98,0,0,0,0,0,0,11.850000000000001
indexador,Indexador,snapshot,90,33,5,0,90,0,90,0,90,0,90,0,90,90,90,0,1.0,,1.0,1.0,1.0,,1.0,0.9,0,0,0,0,0,0,1.6500000000000001
tipo_cota,Tipo de cota,snapshot,83,33,4,0,83,0,83,0,83,0,83,0,83,83,83,0,1.0,,1.0,1.0,1.0,,1.0,0.9,0,0,0,0,0,0,1.6500000000000001
