check,scope,scope_label,measure,participants,annex_volume_brl,published_volume_brl,max_abs_volume_gap_brl,max_abs_share_gap,anbima_ranking_universe_brl,anbima_ranking_operations,anbima_itau_bba_volume_brl,anbima_itau_bba_share,cvm_universe_brl,cvm_offers,cvm_itau_bba_volume_brl,cvm_itau_bba_share,coverage_ranking_over_cvm,cvm_metric,anbima_metric,limitation
anexo_vs_ranking_publicado,renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,40.0,223224152322.6,223224152322.59998,7.62939453125e-06,4.989515745013051e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,49.0,82509921052.59001,82509921052.59,9.5367431640625e-07,4.8903173177627934e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,securitizacao,Tipo 1.3 — Securitização,originacao_valor,32.0,36466145761.13,36466145761.13,9.5367431640625e-07,4.7022047713896065e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,securitizacao,Tipo 1.3 — Securitização,distribuicao_valor,40.0,28243745697.000004,28243745697.000004,2.384185791015625e-07,4.946529297278346e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),originacao_valor,17.0,25059535148.489998,25059535148.489998,0.0,4.8876250269280774e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,fidc,Tipo 1.3.1 — FIDC (cotas seniores e subordinadas),distribuicao_valor,16.0,20058877814.48,20058877814.48,4.76837158203125e-07,3.82970044565667e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,cri,Tipo 1.3.2 — CRI,originacao_valor,20.0,6176765612.84,6176765612.84,2.384185791015625e-07,4.214711912808866e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,cri,Tipo 1.3.2 — CRI,distribuicao_valor,31.0,5015083883.0,5015083883.0,0.0,4.840631367963866e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,cra,Tipo 1.3.3 — CRA,originacao_valor,22.0,5044844999.799999,5044844999.799999,5.960464477539063e-08,3.669609754952674e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,cra,Tipo 1.3.3 — CRA,distribuicao_valor,31.0,2984783999.5199995,2984783999.5199995,1.7881393432617188e-07,4.9276346891780065e-12,,,,,,,,,,,,
anexo_vs_ranking_publicado,empresas_ligadas,Tipo 3 — Operações de Empresas Ligadas,originacao_valor,16.0,23529840692.579998,23529840692.579998,0.0,4.904514294690188e-12,,,,,,,,,,,,
ranking_anbima_vs_cvm_coordenador_lider,renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,,,,,,,223224152322.60004,418.0,51047290041.36,0.22868175110185773,312438491370.5,1510.0,64357437032.6,0.2059843419109421,0.7144579124788225,Valor registrado (oferta primária encerrada),Valor originado creditado ao coordenador,A CVM publica apenas o coordenador líder; o ranking ANBIMA credita todos os coordenadores pela proporção contratual e exclui operações de empresas ligadas e ofertas cujos formulários não foram enviados.
ranking_anbima_vs_cvm_coordenador_lider,fidc,Tipo 1.3.1 — FIDC,,,,,,,25059535148.489998,43.0,11442565413.23,0.4566152303076336,65488118983.56,771.0,10074500059.0,0.15383706564436644,0.3826577329970478,Valor registrado (oferta primária encerrada),Valor originado creditado ao coordenador,A CVM publica apenas o coordenador líder; o ranking ANBIMA credita todos os coordenadores pela proporção contratual e exclui operações de empresas ligadas e ofertas cujos formulários não foram enviados.
