ordem,imagem,raiz_cnpj_foto,nome_foto,cnpj_fundo,status_identidade,regra_identidade,observacao_identidade
1,IMG_8685.JPG,42462306,IS GREEN SOLFACIL II FIDC,42462306000100,localizado,raiz exata + nome compatível,
2,IMG_8685.JPG,54810968,ANGA FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CR,54810968000102,localizado,raiz exata + nome compatível,
3,IMG_8685.JPG,53270983,ANGA FGTS MAIS AG FIDC RESPONSABILIDADE LIMITADA,53270983000142,localizado,raiz exata + nome compatível,
4,IMG_8685.JPG,52968533,MCPO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIO,52968533000165,localizado,raiz exata + nome compatível,
5,IMG_8685.JPG,52100879,SOTREQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,52100879000147,localizado,raiz exata + nome compatível,
6,IMG_8685.JPG,53662209,PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,53662209000187,localizado,raiz exata + nome compatível,
7,IMG_8685.JPG,53577135,ANGA FGTS II FUNDO DE INVESTIMENTO EM DIREITOS CR,53577135000180,localizado,raiz exata + nome compatível,
8,IMG_8685.JPG,62626887,TOP 2025 C FIDC RESP LTDA,62626887000185,localizado,raiz exata; nome oficial SUMUP SMART IV,"O nome fotografado diverge da denominação oficial associada à raiz."
9,IMG_8685.JPG,50098465,CHEMICAL XIII FUNDO DE INVESTIMENTO EM DIREITOS,50098465000103,localizado,raiz exata + nome compatível,
10,IMG_8685.JPG,48967719,SOULPAY FIDC,48967719000122,localizado,raiz exata + nome compatível,
11,IMG_8685.JPG,37645417,UBYFOL AGRO FIDC III,37645417000111,localizado,raiz exata + nome compatível,
12,IMG_8685.JPG,50832746,BOASAFRA FIDC DO AGRONEGOCIO,50832746000130,localizado,raiz exata + nome compatível,
13,IMG_8685.JPG,33076242,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALBA,33076242000118,localizado,raiz exata; nome oficial WORKCAP AGRO,"O nome fotografado diverge da denominação oficial associada à raiz."
14,IMG_8685.JPG,44173467,RECEIVABLES 48 FUNDO DE INVEST INSS MEU TUDO,44173467000109,localizado,raiz exata; nome oficial MT INSS RECEIVABLES III,"O texto fotografado usa um nome operacional que não coincide com a denominação oficial."
15,IMG_8685.JPG,54252144,J17 FGTS FUNDO DE INVESTIMENTO,54252144000164,localizado,raiz exata + nome compatível,
16,IMG_8685.JPG,48313595,IBBA AGRO BR FUNDO DE INVESTIMENTO EM DIREITOS CRE,48313595000161,localizado,raiz exata + nome compatível,
17,IMG_8685.JPG,32526025,COBUCCIO FUNDO I F D C NAO P,32526025000110,localizado,raiz exata + nome compatível,
18,IMG_8685.JPG,45523699,VIXTRA FUNDO DE INVE E D C RL,45523699000102,localizado,raiz exata + nome compatível,
19,IMG_8685.JPG,54083697,PERNAMBUCANAS FIDC DE RESPONSABILIDADE LIMITADA,54083697000130,localizado,raiz exata + nome compatível,
20,IMG_8685.JPG,56936116,FATOR TARKEN FUNDO DE INVESTIMENTO EM DIREITOS CRE,56936116000191,localizado,raiz exata + nome compatível,
21,IMG_8685.JPG,50089559,AGRICONNECTION FIAGRO DIREITOS CREDITORIOS,50089559000108,localizado,raiz exata + nome compatível,
22,IMG_8685.JPG,57131490,PONTO RURAL FIAGRO FIDC LTDA,57131490000182,localizado,raiz exata + nome compatível,
23,IMG_8685.JPG,47151680,FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIREITOS,47151680000108,localizado,raiz exata + nome compatível,
24,IMG_8685.JPG,43309233,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LIVERPOOL,43309233000183,localizado,raiz exata + nome compatível,
