scope,scope_label,measure,participant,volume_brl,operations,registrations,share,rank,universe_volume_brl,universe_operations
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BRADESCO BBI,62033010304.59,146,214,0.2778956025105243,1.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,ITAU BBA,51047290041.36,151,235,0.22868175110185773,2.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BTG PACTUAL,22216295666.63,39,73,0.09952460535956414,3.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,SANTANDER,21109184767.27,64,92,0.09456496775834247,4.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,XP INVESTIMENTOS,17469281297.16,51,91,0.0782589209787374,5.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,UBS BB,15716942873.55,44,54,0.07040879183555425,6.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,CEF,7487835620.0,26,28,0.03354402085119668,7.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,SAFRA,5914189394.49,21,37,0.02649439737122579,8.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,ABC BRASIL,4202336311.2,21,34,0.018825634535849192,9.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,VOTORANTIM,3665022175.32,19,22,0.016418573604989516,10.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,CITIGROUP,2777587061.19,11,16,0.012443040021833636,11.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BNDES,2098220000.0,5,7,0.009399610114624538,12.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BR PARTNERS,1982667073.96,14,25,0.008881955887527264,13.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BB-BI,1104652999.98,3,10,0.004948626698707642,14.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,DAYCOVAL,1025239999.98,11,20,0.004592872183912874,15.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,M7 IB,745098447.0,5,6,0.003337893499638854,16.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BNP PARIBAS,687200000.0,3,4,0.0030785199220148426,17.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BOCOM BBM,468000000.0,3,3,0.002096547327565405,18.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,INTER,374999999.99,2,5,0.0016799257431967124,19.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,One Corporate,310761944.0,4,5,0.0013921519726543376,20.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,ASA ASSET 2 GESTÃO DE RECURSOS LTDA,209004000.0,1,1,0.0009362965334411964,21.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,RABOBANK,119772936.1,3,4,0.0005365590365280278,22.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,CANAL COMPANHIA DE SECURITIZAÇÃO,106500000.0,2,4,0.000477098911080589,23.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,MAX CAPITAL MARKETS,100000000.0,1,3,0.0004479801981977361,24.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,TERRA,88205000.0,1,1,0.0003951409338203131,25.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,EQI Investimentos CTVM,75281344.0,1,2,0.00033724551405711953,26.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,BAMBOO SEC,65000000.0,2,2,0.00029118712882852845,27.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,14703000.0,1,1,6.586652854101314e-05,28.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,GENIAL CV,8358999.98,1,4,3.7446664677752725e-05,29.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,OPEA SECURITIZADORA,1500000.0,1,1,6.7197029729660415e-06,30.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,originacao_valor,JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,11064.85,1,1,4.9568336960282204e-08,31.0,223224152322.60004,418
renda_fixa_consolidado,Tipo 1 — Renda Fixa Consolidado,distribuicao_valor,ITAU BBA,21946898950.23,80,141,0.26599103077848696,1.0,82509921052.59001,198
