cnpj,fundo,categoria_vigente,categoria_documental,status,pontuacao,margem,multi_flag,termos,documento_id,documento_data,evidencia
44173467000109,MT INSS RECEIVABLES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE,Consignado INSS e FGTS,Consignado INSS e FGTS,confirma,18,14,multissacado,(?:CREDITOS?|EMPRESTIMOS?|OPERAC(?:AO|OES)|CARTAO|CARTEIRA)\s+CONSIGNAD[OA]S? | \bINSS\b,791513,28/11/2024,REUNIDOS EM ASSEMBLEIA ESPECIAL DE COTISTAS. CLASSE DE INVESTIMENTO EM COTAS NAO. CLASSIFICACAO ANBIMA TIPO “FINANCEIRO”. FOCO DE ATUACAO “CREDITO CONSIGNADO”. OBJETIVO O OBJETIVO DA CLASSE E PROPORCIONAR AOS SEUS COTISTAS A VALORIZACAO DE SUAS COTAS POR MEIO DA APLICACAO DE SEU PATRIMONIO LIQUIDO NA AQUISICAO DE: (I) DIREITOS CREDITORIOS ELEGIVEIS DECORRENTES DE EMPRESTIMOS CONSIGNADOS CONCEDIDO
54252144000164,J17 FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO - RESPONSABILIDADE LIMITADA,Consignado INSS e FGTS,Consignado INSS e FGTS,confirma,18,4,,\bFGTS\b | SAQUE[- ]ANIVERSARIO,767649,29/10/2024,"5 ANEXO IREGULAMENTO DOJ17 FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOSRESPONSABILIDADE LIMITADACNPJ NO54.252.144/0001-64REGULAMENTO DO J17FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIRORESPONSABILIDADE LIMITADASAO PAULO,29 DE OUTUBRO DE 2024. 6 INDICECAPITULO PRIMEI"
48313595000161,IBBA AGRO BR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro / Revenda,Agro / Revenda,confirma,22,22,,\bCPR\b|CEDULA DE PRODUTO RURAL | PRODUTORES? RURA(?:L|IS) | INSUMOS? AGRICOLAS?|INSUMOS? AGROPECUARIOS?,792023,19/01/2024,"REGA” SIGNIFICAM OS COMPROVANTES DE ENTREGA DE MERCADORIAS AOS DEVEDORES CUJOS DIREITOS CREDITORIOS SEJAM REPRESENTADOS POR DUPLICATAS E/OU CPR-F, QUE PODEM CORRESPONDER AOS CANHOTOS DAS NOTAS FISCAIS, EM SUA VERSAO ORIGINAL, DEVIDAMENTE ASSINADO PELOS DEVEDORES OU POR SEUS REPRESENTANTES, CONFORME O CASO, SENDO QUE QUANDO ASSINADO POR REPRESENTANTE LEGAL, DEVERA SER ENTREGUE ACOMPANHADO DE INSTRU"
32526025000110,COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA DE RESPONS LIMITADA,Financeiro,Financeiro,confirma,14,5,,CARTAO DE CREDITO | EMPRESTIMO PESSOAL | CEDULAS? DE CREDITO BANCARIO | \bCCB\b,791754,26/11/2024,"O I- A DESTE REGULAMENTO. ESTABELECIMENTO COMERCIAL E O ESTABELECIMENTO COMERCIAL, SIGNATARIO DO CONTRATO COM ESTABELECIMENTO, QUE ACEITA O CARTAO DE CREDITO EMITIDO PELA BRASIL CARD. ENTIDADE REGISTRADORA ENTIDADE AUTORIZADA PELO BANCO CENTRAL A PRESTAR O SERVICO DE REGISTRO DE DIREITOS CREDITORIOS E QUE PODERA SER CONTRATADA PELA ADMINISTRADORA, EM NOME DA CLASSE, PARA REALIZACAO DO REGISTRO DE"
45523699000102,VIXTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,,sem evidência,0,0,multissacado,,1024756,30/10/2025,
54083697000130,PERNAMBUCANAS FIDC DE RESPONSABILIDADE LIMITADA,Adquirência,Adquirência,confirma,25,25,,ARRANJOS? DE PAGAMENTO | INSTRUMENTOS? DE PAGAMENTO | TRANSACOES? DE PAGAMENTO | \bADQUIRENTES?\b,628851,27/03/2024,"ICE” APENDICE DESCRITIVO DE CADA SUBCLASSE OU SERIE DE COTAS, ELABORADO CONFORME UM DOS MODELOS CONSTANTES NOS SUPLEMENTOS D A E DO ANEXO. “ARRANJOS DE PAGAMENTO” SIGNIFICA O CONJUNTO DE REGRAS E PROCEDIMENTOS ESTABELECIDOS PELAS BANDEIRAS, QUE DISCIPLINA A PRESTACAO DE DETERMINADO SERVICO DE PAGAMENTO AO PUBLICO, TAIS COMO AS ATIVIDADES DE EMISSAO DE INSTRUMENTOS DE PAGAMENTO E O CREDENCIAMENTO D"
56936116000191,FATOR TARKEN FIAGRO,Agro / Revenda,Agro / Revenda,confirma,22,20,,\bCPR\b|CEDULA DE PRODUTO RURAL | AGRONEGOCIO | \bCDCA\b|\bCRA\b | \bFIAGRO\b,1023213,27/10/2025,"E A SUA RESPECTIVA AQUISICAO PELO FUNDO, DENTRO OS QUAIS SE INCLUEM, MAS SEM LIMITACAO, CEDULAS DE PRODUTO RURAL COM LIQUIDACAO FINANCEIRA (CPR-F), DUPLICATAS, CERTIFICADOS DE DIREITOS CREDITORIOS DO AGRONEGOCIO (CDCA), NOTAS PROMISSORIAS, CEDULAS DE CREDITO BANCARIO. “VENCIMENTO ESPERADO” SIGNIFICA A DATA DE RESGATE ESPERADA DAS COTAS EM CIRCULACAO, CONFORME DEFINIDO NO RESPECTIVO APENDICE, CUJO"
50089559000108,AGRICONNECTION FIAGRO,Agro / Revenda,Agro / Revenda,confirma,10,10,multissacado,AGRONEGOCIO | \bFIAGRO\b,789353,27/11/2024,"MENTE ENTRE INVESTIDORES QUALIFICADOS. 2.3 O FUNDO E CLASSIFICADO COMO FUNDO “AGRO, INDUSTRIA E COMERCIO”, COM ATRIBUTO FOCO DE ATUACAO EM “AGRONEGOCIO” NOS TERMOS DAS REGRAS E PROCEDIMENTOS PARA CLASSIFICACAO DO FIDC NO 08, DE 23 DE MAIO DE 2019 , DA ANBIMA. REFERIDA CLASSIFICACAO SOMENTE PODERA SER ALTERADA POR DELIBERACAO DA ASSEMBLEIA GERAL DE COTISTAS, NOS TERMOS DESTE REGULAMENTO, SALVO SE A"
57131490000182,PONTO RURAL FIAGRO RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,confirma,22,22,,\bCPR\b|CEDULA DE PRODUTO RURAL | AGRONEGOCIO | INSUMOS? AGRICOLAS?|INSUMOS? AGROPECUARIOS? | \bCDCA\b|\bCRA\b | \bFIAGRO\b,742210,20/09/2024,"E A SUA RESPECTIVA AQUISICAO PELO FUNDO, DENTRE OS QUAIS SE INCLUEM, MAS SEM LIMITACAO, CEDULAS DE PRODUTO RURAL COM LIQUIDACAO FINANCEIRA (CPR-F), DUPLICATAS, CERTIFICADOS DE DIREITOS CREDITORIOS DO AGRONEGOCIO (CDCA), NOTAS PROMISSORIAS, EM ESPECIAL AQUELES TITULOS CUJA DESTINACAO SEJA CONSIDERADA “RURAL” PELO BANCO CENTRAL DO BRASIL E/OU PELA CVM, RESPEITADAS AS VEDACOES E CRITERIOS DISPOSTOS N"
47151680000108,FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro / Revenda,Agro / Revenda,confirma,26,22,,\bCPR\b|CEDULA DE PRODUTO RURAL | PRODUTORES? RURA(?:L|IS) | AGRONEGOCIO | INSUMOS? AGRICOLAS?|INSUMOS? AGROPECUARIOS?,927246,09/06/2025,"5 - JUR_SP - 50819857V20 - 13189004.526656 ADVOGADOS, ACIMA QUALIFICADA, AMBAS RESPONSAVEIS PELA PRESTACAO DOS SERVICOS DE FORMALIZACAO DAS CPR-F, DAS NP E DAS GARANTIAS, CONFORME O CASO. AGENTE DE GARANTIA SIGNIFICA O AGENTE DE GARANTIA CONTRATADO OU A SER CONTRATADO PELO FUNDO PARA ATUAR NA QUALIDADE DE REPRESENTANTE DA CLASSE UNICA OU DE DETERMINADA SUBCLASSE DE COTISTAS, EM BENEFICIO DO QUAL,"
