competencia,n_admins,hhi_admin,share_top5,share_top10
2013-01,37,0.11636336195034508,0.6660728951722892,0.8493744268126412
2013-02,37,0.11571132332274262,0.6653449031533938,0.8468935979244762
2013-03,37,0.11470504057906229,0.6665277395025594,0.85242592382554
2013-04,37,0.11984432160042918,0.6713617873785247,0.8556742026608698
2013-05,37,0.17243150819425634,0.7105958593627352,0.8702119982512342
2013-06,37,0.2170928747247579,0.7433330605642424,0.8874486611666034
2013-07,37,0.20723999232912738,0.7391840171781344,0.882585789563549
2013-08,37,0.1785503148966267,0.7179107878614305,0.8723654314440589
2013-09,37,0.1655570729284712,0.70845292909637,0.8677710311474386
2013-10,38,0.15129590854157354,0.689232304796947,0.8579774284295147
2013-11,38,0.16929380131524555,0.7105604779891751,0.8647327055560095
2013-12,37,0.16316483366938736,0.7071862474387478,0.8618923763381793
2014-01,37,0.17596847463762455,0.7145144038873966,0.8648755221096716
2014-02,36,0.15620534722193544,0.6986070469341762,0.8597462631976243
2014-03,36,0.16772953080566108,0.711033987098106,0.868580611988719
2014-04,36,0.14037529155963263,0.6818511676319227,0.8537920963053541
2014-05,37,0.14892473291292668,0.6968503095053841,0.8666753533684431
2014-06,37,0.13012025573362024,0.6741342794570272,0.853285530261698
2014-07,37,0.14366125864045967,0.6824123098060417,0.8575355746555071
2014-08,37,0.13205568080380042,0.6632880488263616,0.8458831413560508
2014-09,37,0.12844827788240423,0.6594443466699386,0.8459655049257545
2014-10,37,0.12348788819743588,0.6438276445179795,0.8365326275378672
2014-11,37,0.12403807205105971,0.6458702405995895,0.8372478535200724
2014-12,37,0.1236333007024448,0.654741126010735,0.8305689439834186
2015-01,37,0.11501107558970525,0.6466486607174355,0.8227434857862185
2015-02,37,0.12308116434852547,0.6563235334936236,0.8292267179205595
2015-03,38,0.12287943145475261,0.6580992694064818,0.8287151171318118
2015-04,38,0.1385627027976898,0.6736504621529368,0.8341423562656737
2015-05,39,0.12243992343283337,0.6569205327951616,0.8230724463336753
2015-06,39,0.13500256079188114,0.6768408827443174,0.8338162846911108
2015-07,39,0.13050898987252574,0.6719650523740983,0.8319236986461906
2015-08,38,0.1282560303277807,0.6735653278015716,0.8302593983067583
2015-09,38,0.15838700550073787,0.6940406959897805,0.8390227082589836
2015-10,37,0.14087858007062673,0.6811362330612947,0.8355109567530815
2015-11,38,0.14364331237342315,0.6815792104813568,0.8320152020349639
