cnpj,apelido,subordinacao_minima_pct,subordinacao_estrutural_pct,inclui_mezanino,origem,fonte,observacao,responsavel,atualizado_em_utc
58171340000165,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITOR,1.0,,False,carteira_101,Regulamento 861191 · p. 51 · 2025-03-13,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
58288437000152,ALTOMAX FIDC SEG RECEB COM LTD,20.0,,False,carteira_101,Regulamento 1240668 · p. 94 · 2026-02-24,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
58291962000127,HELM FUNDO I E D C RESPONS,,20.0,True,carteira_101,Regulamento 957854 · p. 99–100 · 2025-07-30,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
58349979000198,VOLKSWAGEN TERA FIDC SEGMENTO RECEBIVEIS COMERCIAI,25.0,25.0,True,carteira_101,Regulamento 826213 · p. 94 · 2025-01-28,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
58476088000100,CONSORCIO DALTEZ,33.33,33.33,True,carteira_101,Regulamento 852325 · p. 18 · 2025-02-25,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
61288838000117,FIDC MOVILE III,15.0,,False,carteira_101,Regulamento 1240846 · p. 114 · 2026-07-03,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
62393829000159,TOP 2025 V FIDC RESP LIMITADA,5.0,5.0,True,carteira_101,Regulamento 1242436 · p. 40–41 · 2026-07-08,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
62588266000154,VTK FIDC RESP LIMIT,5.0,,False,carteira_101,Regulamento 1002580 · p. 35 · 2025-09-29,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
62626887000185,TOP 2025 C FIDC RESP LTDA,2.9,,False,carteira_101,Regulamento 1152823 · p. 96 · 2026-03-31,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
62838025000116,TOP 2025 J FIDC RESP LTDA,10.0,,False,carteira_101,Regulamento 1058234 · p. 39 · 2025-12-10,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
63066147000102,FUNDO DE INVESTIMENTO EM DIREITOS,12.5,,False,carteira_101,Regulamento 1085946 · p. 12 · 2026-01-15,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
63546406000194,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,1.5,,False,carteira_101,Regulamento 1130481 · p. 142 · 2026-03-05,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
63622842000103,DESBRAVA UNO ART ESP FIDC RL,50.0,50.0,True,carteira_101,Regulamento 1051646 · p. 69 · 2025-12-01,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
63657457000193,MSV3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RECEBIVEIS COMERCIAIS,25.0,,False,carteira_101,Regulamento 1205333 · p. 28 · 2026-05-27,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
63679792000192,BLUE HEALTH FIDC RECEB LTDA,20.0,,False,carteira_101,Regulamento 1101558 · p. 92 · 2026-01-26,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
65347578000164,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,2.5,,False,carteira_101,Regulamento 1211821 · p. 186 · 2026-05-25,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
65836995000170,DAYCOVAL 0410 FUNDO DE INV EM DIREITOS CREDITORIOS,,20.0,True,carteira_101,Regulamento 1184847 · p. 49–50 · 2026-05-11,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
65873297000145,ARCELORMITTAL VERTICE FUNDO DE INVESTIMENTO EM DIREITOS CRED,12.0,12.0,True,carteira_101,Regulamento 1226438 · p. 34 · 2026-05-20,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
65976848000104,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGIBANK II,5.0,,False,carteira_101,Regulamento 1239452 · p. 35 · 2026-06-22,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
