competencia,cnpj,tp_registro,denominacao,pl,tab4_source_rows,tab4_duplicate_rows_dropped,tab4_duplicate_detected,tab4_type_conflict,tab4_pl_conflict,tab4_selection_rule,tab4_source_types,tab4_pl_values,tab4_warning,is_fic_fidc,admin_nome,admin_cnpj,condominio,exclusivo,carteira_dc,dc_inadimplentes,reports_tab_i,reports_carteira_dc,reports_dc_inadimplentes,report_flag_source,segmento_principal,cotistas,publico_alvo,classificacao_anbima,custodiante_nome,custodiante_cnpj,cnpj_fundo,gestor_nome,gestor_cnpj,inad_pct
2026-06,34197588000137,Classe,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,4015059128.44,1,0,False,False,False,registro_unico,Classe,4015059128.44,,False,BANCO DAYCOVAL S.A.,62232889000190,FECHADO,N,3304673379.1499996,287644876.6,True,True,True,campo_bruto_CVM,Financeiro,7,,,BANCO DAYCOVAL S.A.,62232889000190,34197588000137,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102,0.08704184758918161
2026-06,54979779000168,Classe,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,3677016076.94,1,0,False,False,False,registro_unico,Classe,3677016076.94,,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,FECHADO,N,3568445607.68,0.0,True,True,True,campo_bruto_CVM,Cartao de credito,66,,,BANCO BRADESCO S.A.,60746948000112,54979779000168,BANCO BRADESCO S.A.,60746948000112,0.0
2026-06,12817329000129,Classe,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",3666009327.0,1,0,False,False,False,registro_unico,Classe,3666009327,,False,BANCO FINAXIS S.A.,11758741000152,FECHADO,N,3176592026.36,1379908942.75,True,True,True,campo_bruto_CVM,Comercial,1,,,BANCO FINAXIS S.A.,11758741000152,12817329000129,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,09204714000196,0.4343991709666327
2026-06,50473039000102,Classe,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,3656448188.16,1,0,False,False,False,registro_unico,Classe,3656448188.16,,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,3608841970.11,0.0,True,True,True,campo_bruto_CVM,Servicos,8,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,50473039000102,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.0
2026-06,29301202000155,Classe,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,3599850973.43,1,0,False,False,False,registro_unico,Classe,3599850973.43,,False,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130,FECHADO,S,4011090870.02,0.0,True,True,True,campo_bruto_CVM,Financeiro,1,,,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,42066258000130,29301202000155,SECURITY ADM. DE RECURSOS LTDA,02295841000107,0.0
2026-06,53073485000100,Classe,EXPERT III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA,3516792400.64,1,0,False,False,False,registro_unico,Classe,3516792400.64,,False,BANCO DAYCOVAL S.A.,62232889000190,FECHADO,N,0.0,0.0,True,True,True,campo_bruto_CVM,,4,,,BANCO DAYCOVAL S.A.,62232889000190,53073485000100,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,72027832000102,0.0
2026-06,48349509000170,Classe,OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3470655083.68,1,0,False,False,False,registro_unico,Classe,3470655083.68,,False,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,02201501000161,ABERTO,N,1904528497.87,0.0,True,True,True,campo_bruto_CVM,Financeiro,5,,,BNY MELLON BANCO S.A.,42272526000170,48349509000170,NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.,43228545000162,0.0
2026-06,58900579000129,Classe,MONEE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,3438585492.93,1,0,False,False,False,registro_unico,Classe,3438585492.93,,True,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,FECHADO,N,0.0,0.0,True,True,True,campo_bruto_CVM,,1,,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,58900579000129,VALORA RENDA FIXA LTDA.,17482086000139,0.0
2026-06,13054656000139,Classe,SOLIS CAPITAL CORE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3424302623.16,1,0,False,False,False,registro_unico,Classe,3424302623.16,,True,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,ABERTO,N,0.0,0.0,True,True,True,campo_bruto_CVM,,14,Qualificado,,BANCO BTG PACTUAL S/A,30306294000145,13054656000139,SOLIS INVESTIMENTOS S A,17254708000171,0.0
2026-06,17250006000110,Classe,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,3394314559.41,1,0,False,False,False,registro_unico,Classe,3394314559.41,,False,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03317692000194,FECHADO,N,2792767884.17,378846630.24,True,True,True,campo_bruto_CVM,Financeiro,380,,,BANCO FINAXIS S.A.,11758741000152,17250006000110,REDASSET GESTAO DE RECURSOS LTDA,13037768000181,0.13565274521645102
2026-06,49826785000145,Classe,ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3364983017.12,1,0,False,False,False,registro_unico,Classe,3364983017.12,,False,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,ABERTO,N,3215320257.17,13451791.83,True,True,True,campo_bruto_CVM,Financeiro,6,,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,49826785000145,ASA ASSET MANAGEMENT LTDA.,19807960000196,0.004183655360613983
2026-06,60356171000180,Classe,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,3254537202.75,1,0,False,False,False,registro_unico,Classe,3254537202.75,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,3022054631.6,0.0,True,True,True,campo_bruto_CVM,Comercial,19,,,BANCO BTG PACTUAL S/A,30306294000145,60356171000180,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,0.0
2026-06,07727002000126,Classe,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,1,0,False,False,False,registro_unico,Classe,3140454721.87,,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,FECHADO,N,872942712.65,49363276.09,True,True,True,campo_bruto_CVM,Setor publico,1,,,BANCO BRADESCO S.A.,60746948000112,07727002000126,BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,62073200000121,0.0565481278148797
2026-06,62393829000159,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,3091715187.97,1,0,False,False,False,registro_unico,Classe,3091715187.97,,False,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,FECHADO,N,2701059105.03,0.0,True,True,True,campo_bruto_CVM,Financeiro,79,,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,62393829000159,QI GESTÃO DE RECURSOS LTDA.,52332058000136,0.0
2026-06,11468186000124,Classe,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,3090301588.05,1,0,False,False,False,registro_unico,Classe,3090301588.05,,False,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,FECHADO,N,2555096618.48,176574232.41,True,True,True,campo_bruto_CVM,Comercial,14,,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,11468186000124,TERCON INVESTIMENTOS S.A.,09121454000195,0.06910667531431439
2026-06,62588266000154,Classe,VTK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3085111034.31,1,0,False,False,False,registro_unico,Classe,3085111034.31,,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,2738344752.38,6110868.9,True,True,True,campo_bruto_CVM,Financeiro,112,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,62588266000154,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.0022315922400526125
2026-06,60010416000112,Classe,MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3072067502.44,1,0,False,False,False,registro_unico,Classe,3072067502.44,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,S,2779246734.82,0.0,True,True,True,campo_bruto_CVM,Comercial,3,,,BANCO BTG PACTUAL S/A,30306294000145,60010416000112,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,0.0
2026-06,51079269000146,Classe,CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3058107297.6,1,0,False,False,False,registro_unico,Classe,3058107297.6,,False,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,ABERTO,N,2618802204.14,0.0,True,True,True,campo_bruto_CVM,Financeiro,3,,,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186,51079269000146,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,0.0
2026-06,24194675000187,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,3030582055.52,1,0,False,False,False,registro_unico,Classe,3030582055.52,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,1061780528.25,0.0,True,True,True,campo_bruto_CVM,Servicos,1,,,BANCO BTG PACTUAL S/A,30306294000145,24194675000187,BANCO BTG PACTUAL S/A,30306294000145,0.0
2026-06,33254370000104,Classe,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3017886933.33,1,0,False,False,False,registro_unico,Classe,3017886933.33,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,3007875478.58,0.0,True,True,True,campo_bruto_CVM,Comercial,12,,,BANCO BTG PACTUAL S/A,30306294000145,33254370000104,POLÍGONO CAPITAL LTDA,43241789000185,0.0
2026-06,11230727000181,Classe,FIDC GM - VENDA DE VEÍCULOS,2984648919.61,1,0,False,False,False,registro_unico,Classe,2984648919.61,,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,ABERTO,S,2617311838.6,8996633.97,True,True,True,campo_bruto_CVM,Comercial,1,,,,,11230727000181,INTEGRAL INVESTIMENTOS LTDA.,06576569000186,0.003437356541669219
2026-06,65976848000104,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK II RESPONSABILIDADE LIMITADA,2967229777.92,1,0,False,False,False,registro_unico,Classe,2967229777.92,,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,2965967821.98,233724.76,True,True,True,campo_bruto_CVM,Financeiro,104,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,65976848000104,OLIVEIRA TRUST SERVICER S/A,02150453000120,7.88021900534213e-05
2026-06,53029409000105,Classe,GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,2943415740.48,1,0,False,False,False,registro_unico,Classe,2943415740.48,,False,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,FECHADO,N,3095804996.83,0.0,True,True,True,campo_bruto_CVM,Financeiro,1,,,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,53029409000105,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,67030395000146,0.0
2026-06,55471753000177,Classe,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,2879663753.83,1,0,False,False,False,registro_unico,Classe,2879663753.83,,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,2633221900.31,0.0,True,True,True,campo_bruto_CVM,Servicos,82,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,55471753000177,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.0
2026-06,32321307000180,Classe,CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE ILIMITADA,2712460624.74,1,0,False,False,False,registro_unico,Classe,2712460624.74,,False,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598000167,FECHADO,N,166701570.92,2237937032.9,True,True,True,campo_bruto_CVM,Financeiro,1,,,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598000167,32321307000180,SMART AGRO INVESTIMENTOS LTDA.,28264093000180,13.42481069943837
2026-06,57609282000146,Classe,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,2700487143.69,1,0,False,False,False,registro_unico,Classe,2700487143.69,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,2442991406.59,0.0,True,True,True,campo_bruto_CVM,Comercial,14,,,BANCO BTG PACTUAL S/A,30306294000145,57609282000146,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,0.0
2026-06,54836930000109,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS METEORO - RESP LTDA,2688587997.05,1,0,False,False,False,registro_unico,Classe,2688587997.05,,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,1502857015.26,277042421.39,True,True,True,campo_bruto_CVM,Financeiro,2,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,54836930000109,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.18434383216561065
2026-06,52256912000122,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,2661592324.9,1,0,False,False,False,registro_unico,Classe,2661592324.9,,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,2393814408.84,0.0,True,True,True,campo_bruto_CVM,Cartao de credito,4,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,52256912000122,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.0
2026-06,26405883000103,Classe,FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,2633629374.15,1,0,False,False,False,registro_unico,Classe,2633629374.15,,False,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142,FECHADO,N,1470927669.0,1375880956.32,True,True,True,campo_bruto_CVM,Financeiro,1,,,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142,26405883000103,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13486793000142,0.9353831499106839
2026-06,20441301000168,Classe,ARTESANAL CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,2531753764.54,1,0,False,False,False,registro_unico,Classe,2531753764.54,,False,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,ABERTO,N,0.0,0.0,True,True,True,campo_bruto_CVM,,15820,Qualificado,,BANCO B3 S.A.,00997185000150,20441301000168,ARTESANAL INVESTIMENTOS LTDA,03084098000109,0.0
2026-06,29492605000129,Classe,GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA,2494236413.23,1,0,False,False,False,registro_unico,Classe,2494236413.23,,False,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03317692000194,FECHADO,N,2448539860.63,12597.07,True,True,True,campo_bruto_CVM,Comercial,5,,,BANCO FINAXIS S.A.,11758741000152,29492605000129,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,09204714000196,5.14472735467693e-06
2026-06,50095909000149,Classe,VITA AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2489750068.19,1,0,False,False,False,registro_unico,Classe,2489750068.19,,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,ABERTO,N,2186604951.8,0.0,True,True,True,campo_bruto_CVM,Comercial,209,,,BANCO BRADESCO S.A.,60746948000112,50095909000149,BANCO BRADESCO S.A.,60746948000112,0.0
