competencia,cnpj,tp_registro,denominacao,pl,tab4_source_rows,tab4_duplicate_rows_dropped,tab4_duplicate_detected,tab4_type_conflict,tab4_pl_conflict,tab4_selection_rule,tab4_source_types,tab4_pl_values,tab4_warning,is_fic_fidc,admin_nome,admin_cnpj,condominio,exclusivo,carteira_dc,dc_inadimplentes,reports_tab_i,reports_carteira_dc,reports_dc_inadimplentes,report_flag_source,segmento_principal,cotistas,publico_alvo,classificacao_anbima,custodiante_nome,custodiante_cnpj,cnpj_fundo,gestor_nome,gestor_cnpj,inad_pct
2026-06,09195235000150,Classe,FIDC DO SISTEMA PETROBRAS,61254971563.01,1,0,False,False,False,registro_unico,Classe,61254971563.01,,False,BB GESTAO DE RECURSOS DTVM S.A,30822936000169,ABERTO,S,58239773982.06,0.0,True,True,True,campo_bruto_CVM,Industrial,101,,,BANCO DO BRASIL S.A.,00000000000191,09195235000150,BB GESTAO DE RECURSOS DTVM S.A,30822936000169,0.0
2026-06,26287464000114,Classe,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,41496046291.59,1,0,False,False,False,registro_unico,Classe,41496046291.59,,False,OLIVEIRA TRUST DTVM S.A.,36113876000191,FECHADO,N,28186458808.25,0.0,True,True,True,campo_bruto_CVM,Cartao de credito,9,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,26287464000114,OLIVEIRA TRUST SERVICER S/A,02150453000120,0.0
2026-06,65473848000183,Classe,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,17971763062.82,1,0,False,False,False,registro_unico,Classe,17971763062.82,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,17285378512.8,0.0,True,True,True,campo_bruto_CVM,Comercial,1,,,BANCO BTG PACTUAL S/A,30306294000145,65473848000183,BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,07625159000140,0.0
2026-06,62393679000183,Classe,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,10010957003.11,1,0,False,False,False,registro_unico,Classe,10010957003.11,,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,FECHADO,N,9443495620.98,0.0,True,True,True,campo_bruto_CVM,Cartao de credito,291,,,BANCO BRADESCO S.A.,60746948000112,62393679000183,BANCO BRADESCO S.A.,60746948000112,0.0
2026-06,53286499000101,Classe,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,8719298749.48,1,0,False,False,False,registro_unico,Classe,8719298749.48,,False,INTRAG DTVM LTDA.,62418140000131,ABERTO,S,5715129617.76,0.0,True,True,True,campo_bruto_CVM,Servicos,4,,,ITAU UNIBANCO S.A.,60701190000104,53286499000101,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,40430971000196,0.0
2026-06,63953620000165,Classe,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,8253013228.5,1,0,False,False,False,registro_unico,Classe,8253013228.5,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,0.0,0.0,True,True,True,campo_bruto_CVM,,5,,,BANCO BTG PACTUAL S/A,30306294000145,63953619000130,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,29650082000100,0.0
2026-06,52242420000188,Classe,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8032044361.07,1,0,False,False,False,registro_unico,Classe,8032044361.07,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,6719007472.95,0.0,True,True,True,campo_bruto_CVM,Financeiro,1,,,BANCO BTG PACTUAL S/A,30306294000145,52242420000188,BANCO BTG PACTUAL S/A,30306294000145,0.0
2026-06,52610624000124,Classe,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,7350884666.57,1,0,False,False,False,registro_unico,Classe,7350884666.57,,False,XP INVESTIMENTOS CCTVM S.A.,02332886000104,FECHADO,N,7365283084.6,0.0,True,True,True,campo_bruto_CVM,Financeiro,8,,,OLIVEIRA TRUST DTVM S.A.,36113876000191,52610624000124,XP INVESTIMENTOS CCTVM S.A.,02332886000104,0.0
2026-06,26286939000158,Classe,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6479950762.42,1,0,False,False,False,registro_unico,Classe,6479950762.42,,False,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,00066670000100,FECHADO,N,6096322521.75,0.0,True,True,True,campo_bruto_CVM,Cartao de credito,61,,,BANCO BRADESCO S.A.,60746948000112,26286939000158,BANCO BRADESCO S.A.,60746948000112,0.0
2026-06,53216449000158,Classe,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,6390451812.87,1,0,False,False,False,registro_unico,Classe,6390451812.87,,False,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992000186,FECHADO,N,5818229352.77,70961337.45,True,True,True,campo_bruto_CVM,Financeiro,2,,,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,34829992000186,53216449000158,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,0.012196380229702706
2026-06,28169275000172,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6234652185.61,1,0,False,False,False,registro_unico,Classe,6234652185.61,,False,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,FECHADO,N,3951484670.94,0.0,True,True,True,campo_bruto_CVM,Cartao de credito,5,,,BANCO GENIAL S.A.,45246410000155,28169275000172,GENIAL GESTÃO LTDA.,22119959000183,0.0
2026-06,50906397000153,Classe,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6007175688.48,1,0,False,False,False,registro_unico,Classe,6007175688.48,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,4965136657.36,0.0,True,True,True,campo_bruto_CVM,Financeiro,1,,,BANCO BTG PACTUAL S/A,30306294000145,50906397000153,BANCO BTG PACTUAL S/A,30306294000145,0.0
2026-06,29225241000110,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,5861437942.62,1,0,False,False,False,registro_unico,Classe,5861437942.62,,False,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123,FECHADO,N,5100989658.62,0.0,True,True,True,campo_bruto_CVM,Setor publico,1,,,BANCO BTG PACTUAL S/A,30306294000145,29225241000110,BANCO BTG PACTUAL S/A,30306294000145,0.0
2026-06,42922136000107,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,5751418460.99,1,0,False,False,False,registro_unico,Classe,5751418460.99,,False,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,FECHADO,N,5584036253.47,255570256.26,True,True,True,campo_bruto_CVM,Financeiro,2,,,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390000140,42922136000107,VALORA RENDA FIXA LTDA.,17482086000139,0.04576801522396724
2026-06,32527650000186,Classe,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY I,4762640671.11,1,0,False,False,False,registro_unico,Classe,4762640671.11,,False,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,27652684000162,FECHADO,N,3800289166.59,0.0,True,True,True,campo_bruto_CVM,Cartao de credito,2,,,BANCO GENIAL S.A.,45246410000155,32527650000186,GENIAL GESTÃO LTDA.,22119959000183,0.0
2026-06,30576260000170,Classe,ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4520325687.36,1,0,False,False,False,registro_unico,Classe,4520325687.36,,False,BANCO GENIAL S.A.,45246410000155,ABERTO,N,0.0,0.0,True,True,True,campo_bruto_CVM,,12,,,BANCO B3 S.A.,00997185000150,30576260000170,ARTESANAL INVESTIMENTOS LTDA,03084098000109,0.0
2026-06,61285603000171,Classe,MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,4467343585.25,1,0,False,False,False,registro_unico,Classe,4467343585.25,,False,INTRAG DTVM LTDA.,62418140000131,FECHADO,N,3737181192.06,0.0,True,True,True,campo_bruto_CVM,Financeiro,1,,,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,24361690000172,61285603000171,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,44870662000198,0.0
2026-06,21126275000146,Classe,VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4242510733.6,1,0,False,False,False,registro_unico,Classe,4242510733.6,,False,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,ABERTO,N,4242802719.16,6006748.02,True,True,True,campo_bruto_CVM,Comercial,1,,,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,62318407000119,21126275000146,INTEGRAL INVESTIMENTOS LTDA.,06576569000186,0.0014157500165808393
