competencia,tp_oper,valor
2014-09,Resgates no Mês,14181128085.72
2014-09,Resgates Solicitados,426814575.83
2014-09,Amortizações,895512649.4499999
2014-09,Captações no Mês,16618673970.65
2014-10,Amortizações,586891126.89
2014-10,Captações no Mês,15490328934.55
2014-10,Resgates Solicitados,0.0
2014-10,Resgates no Mês,14959234331.85
2014-11,Resgates Solicitados,267053223.55
2014-11,Resgates no Mês,1584166688.9
2014-11,Amortizações,803431310.4
2014-11,Captações no Mês,10278782983.58
2014-12,Amortizações,1761904908.41
2014-12,Captações no Mês,19315486444.91
2014-12,Resgates Solicitados,266931065.54
2014-12,Resgates no Mês,17454853485.04
2015-01,Resgates no Mês,16042679337.84
2015-01,Amortizações,845404277.99
2015-01,Captações no Mês,11794602253.67
2015-01,Resgates Solicitados,270504547.76
2015-02,Resgates no Mês,10638235974.35
2015-02,Resgates Solicitados,270580558.77
2015-02,Amortizações,466501925.51
2015-02,Captações no Mês,10625194366.87
2015-03,Amortizações,592912452.6899999
2015-03,Captações no Mês,12073553146.78
2015-03,Resgates Solicitados,179046638.7
2015-03,Resgates no Mês,11757433492.44
2015-04,Resgates no Mês,10914198979.89
2015-04,Resgates Solicitados,309765079.61
2015-04,Amortizações,531170214.57
2015-04,Captações no Mês,14721525139.16
2015-05,Amortizações,552003527.5
2015-05,Captações no Mês,11482158493.68
2015-05,Resgates Solicitados,312078934.92
2015-05,Resgates no Mês,14133006658.04
2015-06,Resgates Solicitados,316887653.55
2015-06,Amortizações,1033736803.07
2015-06,Captações no Mês,16051723600.84
2015-06,Resgates no Mês,11835685211.49
2015-07,Resgates no Mês,14855587324.520002
2015-07,Resgates Solicitados,321770059.97
2015-07,Captações no Mês,13948371496.59
2015-07,Amortizações,1197385042.4099998
2015-08,Amortizações,527245817.57
2015-08,Captações no Mês,11866116747.29
2015-08,Resgates Solicitados,338337548.65
2015-08,Resgates no Mês,11592136090.87
2015-09,Amortizações,671401029.9
2015-09,Captações no Mês,17389045972.34
2015-09,Resgates Solicitados,340032195.67
2015-09,Resgates no Mês,11901271746.56
2015-10,Resgates no Mês,16964681278.429998
2015-10,Resgates Solicitados,347248083.69
2015-10,Amortizações,506826383.59
2015-10,Captações no Mês,12823263025.0
2015-11,Amortizações,496840250.64
2015-11,Captações no Mês,15697392822.149998
2015-11,Resgates Solicitados,342958765.24
2015-11,Resgates no Mês,12697989288.81
2015-12,Resgates no Mês,19647778974.78
2015-12,Resgates Solicitados,360967916.5
2015-12,Captações no Mês,19479101527.51
2015-12,Amortizações,838177380.6
2016-01,Amortizações,1345691274.3400002
2016-01,Captações no Mês,14382461549.69
2016-01,Resgates Solicitados,357552011.54
2016-01,Resgates no Mês,14449032383.89
2016-02,Resgates Solicitados,360979185.93
2016-02,Resgates no Mês,15662420668.99
2016-02,Amortizações,733006445.28
2016-02,Captações no Mês,14373606836.990002
2016-03,Amortizações,1319843818.14
2016-03,Captações no Mês,14389493956.46
2016-03,Resgates Solicitados,343923492.83000004
2016-03,Resgates no Mês,15707607418.08
2016-04,Resgates Solicitados,50090533.1
2016-04,Amortizações,1027385009.17
2016-04,Captações no Mês,13479832767.47
2016-04,Resgates no Mês,12276461279.9
2016-05,Resgates no Mês,13912233576.74
2016-05,Resgates Solicitados,7483515.390000001
2016-05,Amortizações,912592905.57
2016-05,Captações no Mês,12724873453.32
2016-06,Amortizações,953562238.81
2016-06,Captações no Mês,10972398591.48
2016-06,Resgates Solicitados,203253471.63000005
2016-06,Resgates no Mês,12409160179.1
2016-07,Amortizações,608229193.61
2016-07,Captações no Mês,13731548013.2
2016-07,Resgates Solicitados,201389081.26
2016-07,Resgates no Mês,8678284840.050001
2016-08,Resgates no Mês,14896439302.99
2016-08,Resgates Solicitados,31596932.76
2016-08,Amortizações,912700599.78
2016-08,Captações no Mês,15722705185.53
2016-09,Amortizações,690230679.95
2016-09,Captações no Mês,14435208149.16
2016-09,Resgates Solicitados,12917935.14
2016-09,Resgates no Mês,14029974581.69
2016-10,Resgates no Mês,1356362645.86
2016-10,Resgates Solicitados,16190147477.66
2016-10,Captações no Mês,13746317870.36
2016-10,Amortizações,777787687.58
2016-11,Amortizações,806687119.27
2016-11,Captações no Mês,19407378971.54
2016-11,Resgates Solicitados,32269076.290000003
2016-11,Resgates no Mês,17573394273.86
2016-12,Resgates Solicitados,1980245.9
2016-12,Resgates no Mês,17400518102.920002
2016-12,Amortizações,995177626.83
2016-12,Captações no Mês,20873523037.93
2017-01,Amortizações,596490379.01
2017-01,Captações no Mês,15067587666.89
2017-01,Resgates Solicitados,12972512.26
2017-01,Resgates no Mês,19963986340.08
2017-02,Resgates no Mês,10434993674.96
2017-02,Amortizações,640102631.5
2017-02,Captações no Mês,14267228905.48
2017-02,Resgates Solicitados,17098853.15
2017-03,Resgates no Mês,17880406854.88
2017-03,Resgates Solicitados,6464877.98
2017-03,Captações no Mês,18709987783.09
2017-03,Amortizações,759803014.33
2017-04,Amortizações,629561646.35
2017-04,Captações no Mês,12663165945.04
2017-04,Resgates Solicitados,7072037.36
2017-04,Resgates no Mês,16598701106.88
2017-05,Resgates Solicitados,2726190.54
2017-05,Resgates no Mês,15428778917.36
2017-05,Amortizações,657921119.06
2017-05,Captações no Mês,12639384160.09
2017-06,Amortizações,915021864.05
2017-06,Captações no Mês,17824912449.57
2017-06,Resgates Solicitados,4776791.33
2017-06,Resgates no Mês,15307714146.86
2017-07,Amortizações,723972061.13
2017-07,Captações no Mês,14381204945.66
2017-07,Resgates Solicitados,206538706.78
2017-07,Resgates no Mês,15825688342.58
2017-08,Resgates Solicitados,6818246.51
2017-08,Resgates no Mês,17795207185.29
2017-08,Captações no Mês,25082320402.840004
2017-08,Amortizações,732832239.78
2017-09,Amortizações,647552723.63
2017-09,Captações no Mês,14572873257.499998
2017-09,Resgates Solicitados,26812138.18
2017-09,Resgates no Mês,18533014497.14
2017-10,Amortizações,846561045.41
2017-10,Captações no Mês,13554123627.63
2017-10,Resgates Solicitados,4237690.91
2017-10,Resgates no Mês,20244751195.57
2017-11,Resgates no Mês,13550043522.17
2017-11,Amortizações,568356202.64
2017-11,Captações no Mês,15252017373.85
2017-11,Resgates Solicitados,256474690.06
2017-12,Resgates Solicitados,21383810.3
2017-12,Resgates no Mês,13250447932.52
2017-12,Amortizações,684124662.69
2017-12,Captações no Mês,26700255815.590004
2018-01,Resgates no Mês,19591642119.63
2018-01,Resgates Solicitados,33711331.51
2018-01,Captações no Mês,19617538380.44
2018-01,Amortizações,650881215.09
2018-02,Amortizações,672181252.33
2018-02,Captações no Mês,12143407975.06
2018-02,Resgates Solicitados,33783355.68
2018-02,Resgates no Mês,1853807030.7
2018-03,Amortizações,545671620.38
2018-03,Captações no Mês,14863626544.49
2018-03,Resgates Solicitados,29607937.07
2018-03,Resgates no Mês,12315081390.14
2018-04,Amortizações,537574569.11
2018-04,Captações no Mês,16685238235.54
2018-04,Resgates Solicitados,30647526.39
2018-04,Resgates no Mês,12648704072.080002
2018-05,Resgates Solicitados,21006750.82
2018-05,Resgates no Mês,19910826738.03
2018-05,Amortizações,544667720.02
2018-05,Captações no Mês,15292765877.89
2018-06,Resgates no Mês,11995754002.17
2018-06,Resgates Solicitados,26705478.3
2018-06,Amortizações,1775695198.77
2018-06,Captações no Mês,17173676229.52
2018-07,Amortizações,651501415.0600001
2018-07,Captações no Mês,17067525090.52
2018-07,Resgates Solicitados,48453116.29
2018-07,Resgates no Mês,3298128269.01
2018-08,Amortizações,560887833.3
2018-08,Captações no Mês,15199894323.33
2018-08,Resgates Solicitados,6132954.34
2018-08,Resgates no Mês,16172967078.53
2018-09,Resgates Solicitados,13150612.01
2018-09,Amortizações,630903403.8199999
2018-09,Captações no Mês,16218724279.22
2018-09,Resgates no Mês,13191006067.71
2018-10,Resgates no Mês,18758789999.25
2018-10,Resgates Solicitados,4788731.81
2018-10,Captações no Mês,21113391031.0
2018-10,Amortizações,814531424.0
2018-11,Amortizações,728008207.2
2018-11,Captações no Mês,17187120536.079998
2018-11,Resgates Solicitados,6777205.449999999
2018-11,Resgates no Mês,15421332740.92
2018-12,Amortizações,1040243970.66
2018-12,Captações no Mês,26665495068.23
2018-12,Resgates Solicitados,1254771.35
2018-12,Resgates no Mês,20958970183.66
2019-01,Amortizações,860860144.97
2019-01,Captações no Mês,14666296367.11
2019-01,Resgates Solicitados,50797723.77
2019-01,Resgates no Mês,13979133945.43
