gap_id,status_lacuna,acao_revisada,responsavel,prazo,notas,updated_at_utc
snapshot_2026-05_27456204000198,pendente,,,,,
snapshot_2026-05_54349601000133,pendente,,,,,
snapshot_2026-05_63912733000112,pendente,,,,,
snapshot_2026-05_53523699000130,pendente,,,,,
snapshot_2026-05_61373414000150,pendente,,,,,
snapshot_2026-05_19932422000123,pendente,,,,,
snapshot_2026-05_51507998000156,pendente,,,,,
snapshot_2026-05_34475959000103,pendente,,,,,
snapshot_2026-05_58476088000100,pendente,,,,,
snapshot_2026-05_58922423000149,pendente,,,,,
snapshot_2026-05_62543802000103,pendente,,,,,
snapshot_2026-05_58396668000180,pendente,,,,,
snapshot_2026-05_52892178000198,pendente,,,,,
snapshot_2026-05_56797968000145,pendente,,,,,
snapshot_2026-05_50059866000146,pendente,,,,,
snapshot_2026-05_29187006000100,pendente,,,,,
snapshot_2026-05_23773276000108,pendente,,,,,
snapshot_2026-05_59599914000163,pendente,,,,,
snapshot_2026-05_60485375000110,pendente,,,,,
snapshot_2026-05_63931003000169,pendente,,,,,
snapshot_2026-05_63679792000192,pendente,,,,,
snapshot_2026-05_52351675000189,pendente,,,,,
snapshot_2026-05_48946018000107,pendente,,,,,
snapshot_2026-05_53979245000179,pendente,,,,,
snapshot_2026-05_59497402000196,pendente,,,,,
snapshot_2026-05_62344612000159,pendente,,,,,
snapshot_2026-05_63672540000131,pendente,,,,,
snapshot_2026-05_59118969000104,pendente,,,,,
snapshot_2026-05_62543465000146,pendente,,,,,
snapshot_2026-05_63516387000153,pendente,,,,,
snapshot_2026-05_62191293000199,pendente,,,,,
snapshot_2026-05_63113571000152,pendente,,,,,
snapshot_2026-05_63588528000143,pendente,,,,,
snapshot_2026-05_62475708000156,pendente,,,,,
snapshot_2026-05_19187295000185,pendente,,,,,
snapshot_2026-05_55316469000126,pendente,,,,,
snapshot_2026-05_33489701000195,pendente,,,,,
snapshot_2026-05_57407013000105,pendente,,,,,
snapshot_2026-05_47117685000114,pendente,,,,,
snapshot_2026-05_40698790000145,pendente,,,,,
snapshot_2026-05_63985990000184,pendente,,,,,
snapshot_2026-05_09137729000189,pendente,,,,,
snapshot_2026-05_59309090000140,pendente,,,,,
snapshot_2026-05_60026073000184,pendente,,,,,
snapshot_2026-05_60006903000101,pendente,,,,,
snapshot_2026-05_21888857000160,pendente,,,,,
snapshot_2026-05_55728426000158,pendente,,,,,
snapshot_2026-05_64127849000103,pendente,,,,,
snapshot_2026-05_57354123000148,pendente,,,,,
snapshot_2026-05_61194816000198,pendente,,,,,
snapshot_2026-05_58525584000107,pendente,,,,,
snapshot_2026-05_29970251000180,pendente,,,,,
snapshot_2026-05_57391695000105,pendente,,,,,
snapshot_2026-05_62800819000190,pendente,,,,,
snapshot_2026-05_53942302000145,pendente,,,,,
snapshot_2026-05_56660547000178,pendente,,,,,
snapshot_2026-05_54008688000185,pendente,,,,,
snapshot_2026-05_61891705000130,pendente,,,,,
snapshot_2026-05_63867299000104,pendente,,,,,
snapshot_2026-05_64756643000142,pendente,,,,,
snapshot_2026-05_56730030000108,pendente,,,,,
snapshot_2026-05_56963951000110,pendente,,,,,
snapshot_2026-05_63938673000107,pendente,,,,,
snapshot_2026-05_55523204000107,pendente,,,,,
snapshot_2026-05_24552987000115,pendente,,,,,
snapshot_2026-05_62913515000130,pendente,,,,,
snapshot_2026-05_64012744000109,pendente,,,,,
snapshot_2026-05_10338491000139,pendente,,,,,
snapshot_2026-05_65220183000104,pendente,,,,,
snapshot_2026-05_24331364000112,pendente,,,,,
snapshot_2026-05_63630763000136,pendente,,,,,
snapshot_2026-05_62169240000171,pendente,,,,,
snapshot_2026-05_56844622000150,pendente,,,,,
snapshot_2026-05_49113994000141,pendente,,,,,
snapshot_2026-05_40989809000102,pendente,,,,,
snapshot_2026-05_63296865000167,pendente,,,,,
snapshot_2026-05_59116601000107,pendente,,,,,
snapshot_2026-05_62159526000176,pendente,,,,,
snapshot_2026-05_43866327000153,pendente,,,,,
snapshot_2026-05_51137980000100,pendente,,,,,
snapshot_2026-05_52307401000192,pendente,,,,,
snapshot_2026-05_60137602000117,pendente,,,,,
snapshot_2026-05_55657825000175,pendente,,,,,
snapshot_2026-05_59602002000101,pendente,,,,,
snapshot_2026-05_61085704000107,pendente,,,,,
snapshot_2026-05_64039922000195,pendente,,,,,
snapshot_2026-05_62918989000174,pendente,,,,,
snapshot_2026-05_60775422000160,pendente,,,,,
snapshot_2026-05_58517380000116,pendente,,,,,
snapshot_2026-05_59927305000196,pendente,,,,,
snapshot_2026-05_47117716000137,pendente,,,,,
snapshot_2026-05_64381894000190,pendente,,,,,
snapshot_2026-05_62313140000177,pendente,,,,,
snapshot_2026-05_51776829000111,pendente,,,,,
snapshot_2026-05_11122821000117,pendente,,,,,
snapshot_2026-05_61621980000134,pendente,,,,,
snapshot_2026-05_63812908000110,pendente,,,,,
snapshot_2026-05_56057697000191,pendente,,,,,
snapshot_2026-05_46231870000172,pendente,,,,,
snapshot_2026-05_62935248000100,pendente,,,,,
snapshot_2026-05_46268360000170,pendente,,,,,
snapshot_2026-05_59678384000149,pendente,,,,,
snapshot_2026-05_46799305000106,pendente,,,,,
snapshot_2026-05_09217017000170,pendente,,,,,
snapshot_2026-05_64156127000187,pendente,,,,,
snapshot_2026-05_42317295000174,pendente,,,,,
snapshot_2026-05_42449623000196,pendente,,,,,
snapshot_2026-05_46285154000178,pendente,,,,,
snapshot_2026-05_62546276000127,pendente,,,,,
snapshot_2026-05_11823118000136,pendente,,,,,
snapshot_2026-05_55234274000137,pendente,,,,,
snapshot_2026-05_57691429000190,pendente,,,,,
snapshot_2026-05_32302296000191,pendente,,,,,
snapshot_2026-05_63507342000112,pendente,,,,,
snapshot_2026-05_17030517000126,pendente,,,,,
snapshot_2026-05_38948698000144,pendente,,,,,
snapshot_2026-05_60315519000190,pendente,,,,,
snapshot_2026-05_27326119000105,pendente,,,,,
snapshot_2026-05_62135992000111,pendente,,,,,
snapshot_2026-05_58594307000148,pendente,,,,,
snapshot_2026-05_58546382000133,pendente,,,,,
snapshot_2026-05_54326936000136,pendente,,,,,
snapshot_2026-05_58033643000111,pendente,,,,,
snapshot_2026-05_28194790000102,pendente,,,,,
snapshot_2026-05_37780694000137,pendente,,,,,
snapshot_2026-05_57140603000106,pendente,,,,,
snapshot_2026-05_60982037000194,pendente,,,,,
snapshot_2026-05_57752597000148,pendente,,,,,
snapshot_2026-05_52319921000115,pendente,,,,,
snapshot_2026-05_65500424000160,pendente,,,,,
snapshot_2026-05_59060877000110,pendente,,,,,
snapshot_2026-05_54634742000106,pendente,,,,,
snapshot_2026-05_62254086000136,pendente,,,,,
snapshot_2026-05_24976450000182,pendente,,,,,
snapshot_2026-05_61975703000120,pendente,,,,,
snapshot_2026-05_61753889000172,pendente,,,,,
snapshot_2026-05_51554551000138,pendente,,,,,
snapshot_2026-05_63864746000163,pendente,,,,,
snapshot_2026-05_60759882000103,pendente,,,,,
snapshot_2026-05_61794035000134,pendente,,,,,
snapshot_2026-05_60290928000180,pendente,,,,,
snapshot_2026-05_58944590000190,pendente,,,,,
snapshot_2026-05_42867116000172,pendente,,,,,
snapshot_2026-05_61068908000121,pendente,,,,,
snapshot_2026-05_40155056000130,pendente,,,,,
snapshot_2026-05_56075525000140,pendente,,,,,
snapshot_2026-05_25248974000110,pendente,,,,,
snapshot_2026-05_57660765000175,pendente,,,,,
snapshot_2026-05_57326317000130,pendente,,,,,
snapshot_2026-05_60026040000134,pendente,,,,,
snapshot_2026-05_41251476000182,pendente,,,,,
snapshot_2026-05_11261368000120,pendente,,,,,
snapshot_2026-05_61670371000175,pendente,,,,,
snapshot_2026-05_61386747000114,pendente,,,,,
snapshot_2026-05_41575962000156,pendente,,,,,
snapshot_2026-05_57340272000158,pendente,,,,,
