traceability_gap_id,status_lacuna,acao_revisada,responsavel,prazo,notas,updated_at_utc
catalog_cedente_sacado_65793331000171_aad50fe9af6a,pendente,,,,,
catalog_cedente_sacado_65924624000140_ebb33431e9e3,pendente,,,,,
catalog_cedente_sacado_66057868000136_aad50fe9af6a,pendente,,,,,
catalog_cedente_sacado_66057868000136_dc73e77d9695,pendente,,,,,
catalog_cedente_sacado_66057868000136_ec477507f507,pendente,,,,,
catalog_periodo_prioritario_08417544000165_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_10756703000106_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_12813212000177_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_13026491000191_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_13807406000122_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_17012685000199_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_17198452000122_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_17206614000127_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_17468142000180_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_18185812000114_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_18862277000199_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_19153705000177_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_19424642000146_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_19599487000107_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_20460014000103_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_21205491000187_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_22358482000199_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_22945783000119_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_23104455000152_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_26199650000100_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_26380651000148_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_26506898000168_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_26558785000106_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_26749095000134_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_26756137000164_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_28169275000172_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_28267746000185_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_28796939000123_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_28879529000146_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_28960803000107_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_29226654000110_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_29242926000175_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_29720593000142_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_29957532000101_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_30659408000130_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_31368761000124_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_31570767000180_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_32969565000178_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_33701265000176_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_34691362000198_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_35138000000137_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_35162655000140_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_35476474000199_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_35880835000168_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_35982683000104_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_36703167000166_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_37035970000132_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_37037144000122_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_37054545000190_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_37284201000178_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_37484246000196_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_39270085000163_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_39380171000129_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_39663988000104_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_39680495000182_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_39722215000151_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_39769235000188_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_40211693000186_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_40226200000181_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_41351629000163_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_41520452000181_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_41649912000176_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_41687404000182_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_41687522000190_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_41778453000120_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42154687000160_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42174080000141_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42196288000161_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42336323000109_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42462162000191_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42513856000100_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42627599000138_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42813981000136_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_42866998000151_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_43076377000137_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_43143480000152_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_43721652000128_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_44002535000177_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_44178497000108_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_44197635000104_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_44302112000172_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45019002000160_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45121220000101_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45145595000101_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45523699000102_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45598747000121_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45810162000123_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45963673000185_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_45963809000157_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_46075403000109_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_46285232000134_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_47085610000107_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_47117622000168_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_47117653000119_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_47167977000161_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_47280025000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_47425750000179_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_47758232000177_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_48213067000130_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_48359929000138_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_48905593000161_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_49087632000123_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_49520420000198_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_49916151000183_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_50473039000102_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_50491214000186_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_50536324000117_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_50555970000121_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_50835592000130_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_50990958000145_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_50995214000113_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_51027087000121_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_51144449000164_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_51155531000194_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_51767969000123_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_51928470000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_52304780000167_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_52340225000190_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_52363837000107_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_52997828000160_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53030845000196_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53109835000140_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53179862000190_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53189745000107_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53286391000119_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53323047000152_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53374563000106_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53604320000117_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53676261000192_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_53744997000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54019802000172_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54244336000129_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54252144000164_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54639537000125_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54681307000124_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54705382000188_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54773936000184_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54776077000187_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_54904072000192_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55013574000196_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55048271000109_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55051705000120_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55102194000128_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55125894000138_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55330962000109_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55333029000187_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55401645000128_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55411764000161_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55469182000136_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55569572000188_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55596335000106_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55635126000124_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55685665000178_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55695976000118_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55711648000168_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55843467000195_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55897261000148_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55912292000120_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55938045000101_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55965708000179_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55983705000168_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_55993250000161_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_56125110000134_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_56806404000121_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_56936116000191_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_56973257000184_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_56975898000178_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_56986018000169_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57074997000141_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57088975000130_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57182268000109_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57283589000108_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57325251000163_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57333077000109_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57334752000106_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57400405000134_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57506211000118_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57535898000110_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57550093000145_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57584334000177_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57883732000194_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_57976577000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58003612000118_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58036896000149_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58055646000156_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58088190000120_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58137246000190_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58171340000165_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58211468000105_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58215693000110_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58288437000152_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58304663000180_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58426775000103_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58458737000132_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58486398000106_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58488141000185_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58506369000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58507210000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58508265000185_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58508715000130_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58533096000133_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58557938000197_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58561243000189_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58568550000191_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58593281000113_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58594079000106_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58601042000168_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58817663000183_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58829200000131_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58880077000183_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_58954368000179_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59092306000168_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59148481000120_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59197255000139_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59213700000107_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59224026000166_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59225114000182_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59286643000196_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59356753000187_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59388384000104_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59400657000199_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59511264000152_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59532738000142_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59679768000186_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59701895000134_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59717706000111_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59764569000176_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59827367000126_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59843866000107_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59900616000161_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59942929000182_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_59958357000120_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60010893000188_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60058603000176_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60076899000158_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60101506000119_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60103810000103_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60145806000108_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60209130000160_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60275910000109_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60307274000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60327212000100_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60331197000173_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60354694000197_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60356171000180_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60371387000114_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60602623000166_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60646521000142_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60676622000166_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60742201000196_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60762129000169_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60777129000132_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60796225000128_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60871638000120_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_60960463000127_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61061838000180_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61062538000115_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61134294000139_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61184629000123_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61188091000125_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61220673000141_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61263184000177_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61270134000117_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61271872000189_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61288838000117_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61374410000197_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61427502000198_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61442320000196_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61575850000102_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61594518000195_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61631300000163_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61669748000176_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61709339000156_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61799604000134_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61853647000150_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61896279000128_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61927592000186_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_61995584000177_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62015452000102_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62017163000134_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62107005000175_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62124934000192_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62125959000100_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62359143000141_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62363449000171_ea21403a82f8,pendente,,,,,
catalog_periodo_prioritario_62390922000100_ea21403a82f8,pendente,,,,,
