competencia,tipo_cotista,n_cotistas
2024-02,Clube de investimento,117
2024-02,Outros fundos,26983
2024-02,FII,37
2024-02,Cotas de FIDC (outros FIDC/FIC-FIDC),454
2024-02,Capitalizacao,7
2024-02,Regime proprio (RPPS),205
2024-02,Pessoa fisica,31714
2024-02,Previdencia aberta (EAPC),17
2024-02,Investidor nao residente,255
2024-02,Outra PJ financeira,288
2024-02,Corretora/distribuidora,104
2024-02,Banco comercial,269
2024-02,PJ nao financeira,2284
2024-02,Previdencia fechada (EFPC),194
2024-03,Seguradora,19
2024-03,Outros,6037
2024-03,Clube de investimento,90
2024-03,Outros fundos,29414
2024-03,FII,32
2024-03,Cotas de FIDC (outros FIDC/FIC-FIDC),448
2024-03,Capitalizacao,7
2024-03,Regime proprio (RPPS),205
2024-03,Pessoa fisica,36355
2024-03,Previdencia aberta (EAPC),17
2024-03,Investidor nao residente,261
2024-03,Outra PJ financeira,299
2024-03,Corretora/distribuidora,108
2024-03,Banco comercial,277
2024-03,PJ nao financeira,2270
2024-03,Previdencia fechada (EFPC),192
2024-04,Outros,6125
2024-04,Clube de investimento,85
2024-04,Outros fundos,29678
2024-04,FII,48
2024-04,Cotas de FIDC (outros FIDC/FIC-FIDC),442
2024-04,Capitalizacao,7
2024-04,Seguradora,24
2024-04,Regime proprio (RPPS),205
2024-04,Previdencia aberta (EAPC),17
2024-04,Investidor nao residente,224
2024-04,Outra PJ financeira,290
2024-04,Corretora/distribuidora,250
2024-04,Banco comercial,274
2024-04,PJ nao financeira,2340
2024-04,Pessoa fisica,38627
2024-04,Previdencia fechada (EFPC),192
2024-05,Seguradora,25
2024-05,Outros,6263
2024-05,Clube de investimento,190
2024-05,Outros fundos,29636
2024-05,FII,204
2024-05,Cotas de FIDC (outros FIDC/FIC-FIDC),550
2024-05,Capitalizacao,6
2024-05,Regime proprio (RPPS),204
2024-05,Previdencia fechada (EFPC),193
2024-05,Previdencia aberta (EAPC),17
2024-05,Investidor nao residente,236
2024-05,Outra PJ financeira,210
2024-05,Corretora/distribuidora,933
2024-05,Banco comercial,291
2024-05,PJ nao financeira,2354
2024-05,Pessoa fisica,44786
2024-06,Outros,6750
2024-06,Clube de investimento,745
2024-06,Outros fundos,31163
2024-06,FII,203
2024-06,Cotas de FIDC (outros FIDC/FIC-FIDC),549
2024-06,Capitalizacao,7
2024-06,Seguradora,27
2024-06,Regime proprio (RPPS),217
2024-06,Previdencia fechada (EFPC),197
2024-06,Previdencia aberta (EAPC),16
2024-06,Investidor nao residente,215
2024-06,Outra PJ financeira,224
2024-06,Corretora/distribuidora,58
2024-06,Banco comercial,274
2024-06,PJ nao financeira,2335
2024-06,Pessoa fisica,47311
2024-07,Clube de investimento,108
2024-07,Outros fundos,33618
2024-07,FII,315
2024-07,Cotas de FIDC (outros FIDC/FIC-FIDC),522
2024-07,Capitalizacao,7
2024-07,Seguradora,27
2024-07,Regime proprio (RPPS),217
2024-07,Outros,6291
2024-07,Previdencia aberta (EAPC),17
2024-07,Investidor nao residente,212
2024-07,Outra PJ financeira,217
2024-07,Corretora/distribuidora,71
2024-07,Banco comercial,430
2024-07,PJ nao financeira,2342
2024-07,Pessoa fisica,49219
2024-07,Previdencia fechada (EFPC),197
2024-08,Clube de investimento,92
2024-08,Outros fundos,34524
2024-08,FII,201
2024-08,Cotas de FIDC (outros FIDC/FIC-FIDC),565
2024-08,Capitalizacao,10
2024-08,Seguradora,27
2024-08,Regime proprio (RPPS),217
2024-08,Outros,7823
2024-08,Previdencia aberta (EAPC),16
2024-08,Investidor nao residente,207
2024-08,Outra PJ financeira,213
2024-08,Corretora/distribuidora,68
2024-08,Banco comercial,414
2024-08,PJ nao financeira,2470
2024-08,Pessoa fisica,52156
2024-08,Previdencia fechada (EFPC),200
2024-09,Outros,9315
2024-09,Clube de investimento,85
2024-09,Outros fundos,36097
2024-09,FII,221
2024-09,Cotas de FIDC (outros FIDC/FIC-FIDC),612
2024-09,Capitalizacao,7
2024-09,Seguradora,28
2024-09,Regime proprio (RPPS),217
2024-09,Previdencia fechada (EFPC),202
2024-09,Investidor nao residente,216
2024-09,Outra PJ financeira,215
2024-09,Corretora/distribuidora,1201
2024-09,Banco comercial,325
2024-09,PJ nao financeira,2390
2024-09,Pessoa fisica,52394
2024-09,Previdencia aberta (EAPC),18
2024-10,Seguradora,30
2024-10,Clube de investimento,85
2024-10,Outros fundos,45644
2024-10,FII,215
2024-10,Outros,9990
2024-10,Capitalizacao,7
2024-10,Regime proprio (RPPS),216
2024-10,Cotas de FIDC (outros FIDC/FIC-FIDC),674
2024-10,Previdencia aberta (EAPC),18
2024-10,Investidor nao residente,209
2024-10,Outra PJ financeira,223
2024-10,Corretora/distribuidora,70
2024-10,Banco comercial,323
2024-10,PJ nao financeira,2453
2024-10,Pessoa fisica,57944
2024-10,Previdencia fechada (EFPC),196
2024-11,Outros,23333
2024-11,Clube de investimento,88
2024-11,Outros fundos,54871
2024-11,FII,220
2024-11,Cotas de FIDC (outros FIDC/FIC-FIDC),665
2024-11,Capitalizacao,7
2024-11,Seguradora,30
2024-11,Regime proprio (RPPS),217
2024-11,Previdencia fechada (EFPC),194
2024-11,Previdencia aberta (EAPC),18
2024-11,Investidor nao residente,208
2024-11,Outra PJ financeira,245
2024-11,Corretora/distribuidora,2228
2024-11,Banco comercial,324
2024-11,PJ nao financeira,2450
2024-11,Pessoa fisica,62619
2024-12,Pessoa fisica,57284
2024-12,PJ nao financeira,2421
2024-12,Banco comercial,368
2024-12,Corretora/distribuidora,2259
2024-12,Outra PJ financeira,243
2024-12,Investidor nao residente,188
2024-12,Previdencia aberta (EAPC),18
2024-12,Previdencia fechada (EFPC),199
2024-12,Regime proprio (RPPS),216
2024-12,Seguradora,37
2024-12,Capitalizacao,10
2024-12,Cotas de FIDC (outros FIDC/FIC-FIDC),752
2024-12,FII,239
2024-12,Outros fundos,62359
2024-12,Clube de investimento,69
2024-12,Outros,21931
2025-01,Clube de investimento,87
2025-01,Outros fundos,71360
2025-01,FII,237
2025-01,Cotas de FIDC (outros FIDC/FIC-FIDC),851
2025-01,Capitalizacao,10
2025-01,Seguradora,37
2025-01,Regime proprio (RPPS),216
2025-01,Outros,21293
2025-01,Previdencia aberta (EAPC),19
2025-01,Investidor nao residente,184
2025-01,Outra PJ financeira,238
2025-01,Corretora/distribuidora,2286
2025-01,Banco comercial,361
2025-01,PJ nao financeira,2592
2025-01,Pessoa fisica,65788
2025-01,Previdencia fechada (EFPC),209
2025-02,Outros,22833
2025-02,Clube de investimento,76
2025-02,Outros fundos,75043
2025-02,FII,238
2025-02,Cotas de FIDC (outros FIDC/FIC-FIDC),926
2025-02,Capitalizacao,10
2025-02,Seguradora,36
2025-02,Regime proprio (RPPS),216
2025-02,Previdencia fechada (EFPC),201
2025-02,Investidor nao residente,179
2025-02,Outra PJ financeira,241
2025-02,Corretora/distribuidora,2287
2025-02,Banco comercial,370
2025-02,PJ nao financeira,2594
2025-02,Pessoa fisica,69087
2025-02,Previdencia aberta (EAPC),19
2025-03,Seguradora,47
2025-03,Outros,25988
2025-03,Clube de investimento,74
2025-03,Outros fundos,80483
2025-03,FII,241
2025-03,Cotas de FIDC (outros FIDC/FIC-FIDC),1021
2025-03,Capitalizacao,11
2025-03,Regime proprio (RPPS),227
2025-03,Previdencia fechada (EFPC),212
2025-03,Previdencia aberta (EAPC),19
2025-03,Investidor nao residente,181
2025-03,Outra PJ financeira,255
2025-03,Corretora/distribuidora,2296
2025-03,Banco comercial,387
2025-03,PJ nao financeira,2694
2025-03,Pessoa fisica,78027
2025-04,Outros,28816
2025-04,Clube de investimento,77
2025-04,Outros fundos,88842
2025-04,FII,243
2025-04,Cotas de FIDC (outros FIDC/FIC-FIDC),1044
2025-04,Capitalizacao,10
2025-04,Seguradora,38
2025-04,Regime proprio (RPPS),229
2025-04,Previdencia fechada (EFPC),215
2025-04,Previdencia aberta (EAPC),19
2025-04,Investidor nao residente,179
2025-04,Outra PJ financeira,350
2025-04,Corretora/distribuidora,2321
2025-04,Banco comercial,436
2025-04,PJ nao financeira,4512
2025-04,Pessoa fisica,80718
2025-05,Clube de investimento,90
2025-05,Outros fundos,98863
2025-05,FII,239
2025-05,Cotas de FIDC (outros FIDC/FIC-FIDC),1059
2025-05,Capitalizacao,11
2025-05,Seguradora,38
2025-05,Regime proprio (RPPS),217
2025-05,Outros,43262
2025-05,Previdencia aberta (EAPC),19
2025-05,Investidor nao residente,178
2025-05,Outra PJ financeira,626
2025-05,Corretora/distribuidora,2278
2025-05,Banco comercial,394
2025-05,PJ nao financeira,2805
2025-05,Pessoa fisica,83557
2025-05,Previdencia fechada (EFPC),218
2025-06,Clube de investimento,92
2025-06,Outros fundos,105898
2025-06,FII,252
2025-06,Cotas de FIDC (outros FIDC/FIC-FIDC),1055
2025-06,Capitalizacao,10
2025-06,Seguradora,32
2025-06,Regime proprio (RPPS),217
2025-06,Outros,63886
2025-06,Previdencia aberta (EAPC),19
2025-06,Investidor nao residente,177
2025-06,Outra PJ financeira,1088
2025-06,Corretora/distribuidora,3016
2025-06,Banco comercial,413
2025-06,PJ nao financeira,2803
2025-06,Pessoa fisica,95326
2025-06,Previdencia fechada (EFPC),223
2025-07,Outros,67926
2025-07,Clube de investimento,112
2025-07,Outros fundos,140317
2025-07,FII,224
2025-07,Cotas de FIDC (outros FIDC/FIC-FIDC),910
2025-07,Capitalizacao,9
2025-07,Seguradora,44
2025-07,Regime proprio (RPPS),217
2025-07,Previdencia fechada (EFPC),216
2025-07,Investidor nao residente,169
2025-07,Outra PJ financeira,825
2025-07,Corretora/distribuidora,3130
2025-07,Banco comercial,421
2025-07,PJ nao financeira,2839
2025-07,Pessoa fisica,114247
2025-07,Previdencia aberta (EAPC),19
2025-08,Seguradora,41
2025-08,Clube de investimento,132
2025-08,Outros fundos,160654
2025-08,FII,193
2025-08,Outros,85734
2025-08,Capitalizacao,8
2025-08,Regime proprio (RPPS),216
2025-08,Cotas de FIDC (outros FIDC/FIC-FIDC),860
2025-08,Previdencia aberta (EAPC),9
2025-08,Investidor nao residente,166
2025-08,Outra PJ financeira,1193
2025-08,Corretora/distribuidora,3192
2025-08,Banco comercial,419
2025-08,PJ nao financeira,2967
2025-08,Pessoa fisica,118110
2025-08,Previdencia fechada (EFPC),209
2025-09,Outros,81837
2025-09,Clube de investimento,50
2025-09,Outros fundos,153896
2025-09,FII,160
2025-09,Cotas de FIDC (outros FIDC/FIC-FIDC),1384
2025-09,Capitalizacao,27
2025-09,Seguradora,46
2025-09,Regime proprio (RPPS),207
2025-09,Previdencia fechada (EFPC),212
2025-09,Previdencia aberta (EAPC),9
2025-09,Investidor nao residente,161
2025-09,Outra PJ financeira,1788
2025-09,Corretora/distribuidora,32521
2025-09,Banco comercial,442
2025-09,PJ nao financeira,3162
2025-09,Pessoa fisica,82622
2025-10,Clube de investimento,93
2025-10,Outros fundos,157867
2025-10,FII,160
2025-10,Cotas de FIDC (outros FIDC/FIC-FIDC),1473
2025-10,Capitalizacao,26
2025-10,Seguradora,406
2025-10,Regime proprio (RPPS),207
2025-10,Outros,83973
2025-10,Previdencia aberta (EAPC),9
2025-10,Investidor nao residente,157
2025-10,Outra PJ financeira,1824
2025-10,Corretora/distribuidora,32807
2025-10,Banco comercial,481
2025-10,PJ nao financeira,3269
2025-10,Pessoa fisica,82051
2025-10,Previdencia fechada (EFPC),214
2025-11,Clube de investimento,69
2025-11,Outros fundos,167272
2025-11,FII,160
2025-11,Cotas de FIDC (outros FIDC/FIC-FIDC),1513
2025-11,Capitalizacao,27
2025-11,Seguradora,40
2025-11,Regime proprio (RPPS),207
2025-11,Outros,81354
2025-11,Previdencia aberta (EAPC),9
2025-11,Investidor nao residente,157
2025-11,Outra PJ financeira,284
2025-11,Corretora/distribuidora,33281
2025-11,Banco comercial,530
2025-11,PJ nao financeira,3328
2025-11,Pessoa fisica,85686
2025-11,Previdencia fechada (EFPC),213
2025-12,Pessoa fisica,88272
2025-12,PJ nao financeira,3275
2025-12,Banco comercial,1927
2025-12,Corretora/distribuidora,35617
2025-12,Outra PJ financeira,268
2025-12,Investidor nao residente,155
2025-12,Previdencia aberta (EAPC),9
2025-12,Previdencia fechada (EFPC),214
2025-12,Regime proprio (RPPS),173
2025-12,Seguradora,39
2025-12,Capitalizacao,27
2025-12,Cotas de FIDC (outros FIDC/FIC-FIDC),1443
2025-12,FII,177
2025-12,Outros fundos,160025
2025-12,Clube de investimento,7776
2025-12,Outros,87763
2026-01,Seguradora,37
2026-01,Clube de investimento,7764
2026-01,Outros fundos,164422
2026-01,FII,173
2026-01,Outros,93972
2026-01,Capitalizacao,27
2026-01,Regime proprio (RPPS),175
2026-01,Cotas de FIDC (outros FIDC/FIC-FIDC),1506
2026-01,Previdencia aberta (EAPC),9
2026-01,Investidor nao residente,156
2026-01,Outra PJ financeira,278
2026-01,Corretora/distribuidora,35756
2026-01,Banco comercial,1836
2026-01,PJ nao financeira,3315
2026-01,Pessoa fisica,87328
2026-01,Previdencia fechada (EFPC),238
2026-02,Clube de investimento,7359
2026-02,Outros fundos,169676
2026-02,FII,183
2026-02,Cotas de FIDC (outros FIDC/FIC-FIDC),1623
2026-02,Capitalizacao,12
2026-02,Seguradora,33
2026-02,Regime proprio (RPPS),178
2026-02,Outros,94638
2026-02,Previdencia aberta (EAPC),9
2026-02,Investidor nao residente,154
2026-02,Outra PJ financeira,288
2026-02,Corretora/distribuidora,36197
2026-02,Banco comercial,1833
2026-02,PJ nao financeira,3324
2026-02,Pessoa fisica,90226
2026-02,Previdencia fechada (EFPC),199
2026-03,Outros,97454
2026-03,Clube de investimento,7800
2026-03,Outros fundos,175137
2026-03,FII,206
2026-03,Cotas de FIDC (outros FIDC/FIC-FIDC),1677
2026-03,Capitalizacao,9
2026-03,Seguradora,20
2026-03,Regime proprio (RPPS),177
2026-03,Previdencia fechada (EFPC),198
2026-03,Investidor nao residente,154
2026-03,Outra PJ financeira,304
2026-03,Corretora/distribuidora,35330
2026-03,Banco comercial,2050
2026-03,PJ nao financeira,3535
2026-03,Pessoa fisica,92118
2026-03,Previdencia aberta (EAPC),8
2026-04,Seguradora,12
2026-04,Clube de investimento,130
2026-04,Outros fundos,190806
2026-04,FII,170
2026-04,Outros,102330
2026-04,Cotas de FIDC (outros FIDC/FIC-FIDC),1712
2026-04,Capitalizacao,10
2026-04,Regime proprio (RPPS),178
2026-04,Corretora/distribuidora,36482
2026-04,Previdencia aberta (EAPC),8
2026-04,Investidor nao residente,154
2026-04,Outra PJ financeira,296
2026-04,Banco comercial,2080
2026-04,PJ nao financeira,3540
2026-04,Pessoa fisica,96029
2026-04,Previdencia fechada (EFPC),172
2026-05,Pessoa fisica,96525
2026-05,PJ nao financeira,5760
2026-05,Banco comercial,1886
2026-05,Corretora/distribuidora,36123
2026-05,Outra PJ financeira,297
2026-05,Investidor nao residente,147
2026-05,Previdencia aberta (EAPC),5
2026-05,Previdencia fechada (EFPC),171
2026-05,Regime proprio (RPPS),156
2026-05,Seguradora,12
2026-05,Capitalizacao,11
2026-05,Cotas de FIDC (outros FIDC/FIC-FIDC),1747
2026-05,FII,47
2026-05,Outros fundos,195841
2026-05,Clube de investimento,56
2026-05,Outros,106861
2026-06,Pessoa fisica,8547
2026-06,PJ nao financeira,3280
2026-06,Banco comercial,237
2026-06,Corretora/distribuidora,784
2026-06,Outra PJ financeira,93
2026-06,Investidor nao residente,74
2026-06,Previdencia aberta (EAPC),1
2026-06,Previdencia fechada (EFPC),55
2026-06,Regime proprio (RPPS),26
2026-06,Seguradora,5
2026-06,Capitalizacao,0
2026-06,Cotas de FIDC (outros FIDC/FIC-FIDC),706
2026-06,FII,7
2026-06,Outros fundos,12683
2026-06,Clube de investimento,29
2026-06,Outros,36528
