competencia,tipo_cotista,n_cotistas
2020-09,FII,17
2020-09,Cotas de FIDC (outros FIDC/FIC-FIDC),145
2020-09,Seguradora,4
2020-09,Regime proprio (RPPS),169
2020-09,Previdencia fechada (EFPC),145
2020-09,Previdencia aberta (EAPC),16
2020-09,Investidor nao residente,144
2020-09,Outra PJ financeira,54
2020-09,Corretora/distribuidora,318
2020-09,Banco comercial,101
2020-09,PJ nao financeira,5666
2020-09,Pessoa fisica,18109
2020-10,Capitalizacao,2
2020-10,Cotas de FIDC (outros FIDC/FIC-FIDC),154
2020-10,FII,15
2020-10,Outros,1037
2020-10,Clube de investimento,993
2020-10,Seguradora,4
2020-10,Outros fundos,4961
2020-10,Regime proprio (RPPS),166
2020-10,Banco comercial,103
2020-10,Previdencia aberta (EAPC),16
2020-10,Investidor nao residente,141
2020-10,Outra PJ financeira,73
2020-10,Corretora/distribuidora,69
2020-10,PJ nao financeira,5994
2020-10,Pessoa fisica,18015
2020-10,Previdencia fechada (EFPC),147
2020-11,Seguradora,4
2020-11,Outros,849
2020-11,Clube de investimento,968
2020-11,Outros fundos,5113
2020-11,FII,21
2020-11,Cotas de FIDC (outros FIDC/FIC-FIDC),154
2020-11,Capitalizacao,0
2020-11,Regime proprio (RPPS),178
2020-11,Banco comercial,107
2020-11,Previdencia aberta (EAPC),16
2020-11,Investidor nao residente,131
2020-11,Outra PJ financeira,53
2020-11,Corretora/distribuidora,302
2020-11,PJ nao financeira,5926
2020-11,Pessoa fisica,18115
2020-11,Previdencia fechada (EFPC),147
2020-12,Outros,842
2020-12,Clube de investimento,997
2020-12,Outros fundos,5592
2020-12,FII,20
2020-12,Cotas de FIDC (outros FIDC/FIC-FIDC),154
2020-12,Capitalizacao,0
2020-12,Seguradora,3
2020-12,Regime proprio (RPPS),176
2020-12,Previdencia aberta (EAPC),24
2020-12,Investidor nao residente,149
2020-12,Outra PJ financeira,56
2020-12,Corretora/distribuidora,293
2020-12,Banco comercial,103
2020-12,PJ nao financeira,6071
2020-12,Pessoa fisica,18322
2020-12,Previdencia fechada (EFPC),142
2021-01,Regime proprio (RPPS),176
2021-01,Clube de investimento,1017
2021-01,Outros fundos,5697
2021-01,FII,21
2021-01,Cotas de FIDC (outros FIDC/FIC-FIDC),156
2021-01,Capitalizacao,0
2021-01,Seguradora,3
2021-01,Outros,880
2021-01,Previdencia fechada (EFPC),143
2021-01,Investidor nao residente,153
2021-01,Outra PJ financeira,61
2021-01,Corretora/distribuidora,287
2021-01,Banco comercial,106
2021-01,PJ nao financeira,6145
2021-01,Pessoa fisica,18384
2021-01,Previdencia aberta (EAPC),24
2021-02,Outros,837
2021-02,Clube de investimento,995
2021-02,Outros fundos,5789
2021-02,FII,30
2021-02,Cotas de FIDC (outros FIDC/FIC-FIDC),158
2021-02,Capitalizacao,0
2021-02,Seguradora,3
2021-02,Regime proprio (RPPS),176
2021-02,Previdencia fechada (EFPC),152
2021-02,Previdencia aberta (EAPC),15
2021-02,Investidor nao residente,160
2021-02,Outra PJ financeira,62
2021-02,Corretora/distribuidora,283
2021-02,Banco comercial,111
2021-02,PJ nao financeira,6225
2021-02,Pessoa fisica,18373
2021-03,Clube de investimento,1089
2021-03,Outros fundos,5810
2021-03,FII,36
2021-03,Cotas de FIDC (outros FIDC/FIC-FIDC),172
2021-03,Capitalizacao,0
2021-03,Seguradora,3
2021-03,Regime proprio (RPPS),176
2021-03,Outros,905
2021-03,Previdencia aberta (EAPC),15
2021-03,Investidor nao residente,157
2021-03,Outra PJ financeira,58
2021-03,Corretora/distribuidora,280
2021-03,Banco comercial,115
2021-03,PJ nao financeira,6281
2021-03,Pessoa fisica,18512
2021-03,Previdencia fechada (EFPC),158
2021-04,Clube de investimento,1132
2021-04,Outros fundos,6164
2021-04,FII,34
2021-04,Cotas de FIDC (outros FIDC/FIC-FIDC),167
2021-04,Capitalizacao,0
2021-04,Seguradora,3
2021-04,Regime proprio (RPPS),184
2021-04,Outros,1106
2021-04,Previdencia aberta (EAPC),16
2021-04,Investidor nao residente,166
2021-04,Outra PJ financeira,61
2021-04,Corretora/distribuidora,274
2021-04,Banco comercial,117
2021-04,PJ nao financeira,6260
2021-04,Pessoa fisica,17527
2021-04,Previdencia fechada (EFPC),150
2021-05,Outros,1086
2021-05,Clube de investimento,1169
2021-05,Outros fundos,6738
2021-05,FII,32
2021-05,Cotas de FIDC (outros FIDC/FIC-FIDC),161
2021-05,Capitalizacao,0
2021-05,Seguradora,3
2021-05,Regime proprio (RPPS),184
2021-05,Previdencia fechada (EFPC),149
2021-05,Investidor nao residente,178
2021-05,Outra PJ financeira,60
2021-05,Corretora/distribuidora,269
2021-05,Banco comercial,121
2021-05,PJ nao financeira,6621
2021-05,Pessoa fisica,17897
2021-05,Previdencia aberta (EAPC),16
2021-06,Seguradora,3
2021-06,Outros,1905
2021-06,Clube de investimento,1308
2021-06,Outros fundos,6932
2021-06,FII,36
2021-06,Capitalizacao,0
2021-06,Regime proprio (RPPS),178
2021-06,Cotas de FIDC (outros FIDC/FIC-FIDC),178
2021-06,Previdencia aberta (EAPC),16
2021-06,Pessoa fisica,18057
2021-06,PJ nao financeira,6939
2021-06,Banco comercial,131
2021-06,Previdencia fechada (EFPC),149
2021-06,Outra PJ financeira,64
2021-06,Investidor nao residente,179
2021-06,Corretora/distribuidora,271
2021-07,Capitalizacao,0
2021-07,Outros,1216
2021-07,Clube de investimento,1404
2021-07,Outros fundos,6983
2021-07,FII,37
2021-07,Cotas de FIDC (outros FIDC/FIC-FIDC),180
2021-07,Seguradora,3
2021-07,Regime proprio (RPPS),180
2021-07,Previdencia fechada (EFPC),145
2021-07,Previdencia aberta (EAPC),15
2021-07,Investidor nao residente,160
2021-07,Outra PJ financeira,67
2021-07,Corretora/distribuidora,266
2021-07,Banco comercial,135
2021-07,PJ nao financeira,6829
2021-07,Pessoa fisica,17940
2021-08,Capitalizacao,0
2021-08,Cotas de FIDC (outros FIDC/FIC-FIDC),206
2021-08,FII,34
2021-08,Outros,1436
2021-08,Clube de investimento,1419
2021-08,Seguradora,3
2021-08,Outros fundos,7330
2021-08,Regime proprio (RPPS),179
2021-08,Banco comercial,131
2021-08,Previdencia aberta (EAPC),11
2021-08,Investidor nao residente,158
2021-08,Outra PJ financeira,69
2021-08,Corretora/distribuidora,264
2021-08,PJ nao financeira,6794
2021-08,Pessoa fisica,17976
2021-08,Previdencia fechada (EFPC),145
2021-09,Seguradora,3
2021-09,Outros,1420
2021-09,Clube de investimento,19
2021-09,Outros fundos,8661
2021-09,FII,35
2021-09,Cotas de FIDC (outros FIDC/FIC-FIDC),209
2021-09,Capitalizacao,0
2021-09,Regime proprio (RPPS),179
2021-09,Banco comercial,134
2021-09,Previdencia aberta (EAPC),11
2021-09,Investidor nao residente,161
2021-09,Outra PJ financeira,73
2021-09,Corretora/distribuidora,258
2021-09,PJ nao financeira,6776
2021-09,Pessoa fisica,18096
2021-09,Previdencia fechada (EFPC),145
2021-10,Outros,1529
2021-10,Clube de investimento,155
2021-10,Outros fundos,8994
2021-10,FII,30
2021-10,Cotas de FIDC (outros FIDC/FIC-FIDC),217
2021-10,Capitalizacao,1
2021-10,Seguradora,2
2021-10,Regime proprio (RPPS),179
2021-10,Investidor nao residente,166
2021-10,Previdencia aberta (EAPC),11
2021-10,Outra PJ financeira,87
2021-10,Corretora/distribuidora,260
2021-10,Banco comercial,133
2021-10,PJ nao financeira,6826
2021-10,Pessoa fisica,18186
2021-10,Previdencia fechada (EFPC),152
2021-11,Cotas de FIDC (outros FIDC/FIC-FIDC),213
2021-11,FII,29
2021-11,Capitalizacao,0
2021-11,Clube de investimento,6
2021-11,Outros,1673
2021-11,Seguradora,3
2021-11,Outros fundos,9623
2021-11,Regime proprio (RPPS),180
2021-11,Previdencia fechada (EFPC),155
2021-11,Previdencia aberta (EAPC),12
2021-11,Investidor nao residente,162
2021-11,Outra PJ financeira,98
2021-11,Corretora/distribuidora,257
2021-11,Banco comercial,127
2021-11,PJ nao financeira,6499
2021-11,Pessoa fisica,9016
2021-12,Outros,4224
2021-12,Clube de investimento,6
2021-12,Outros fundos,10288
2021-12,FII,8
2021-12,Cotas de FIDC (outros FIDC/FIC-FIDC),238
2021-12,Capitalizacao,0
2021-12,Seguradora,3
2021-12,Regime proprio (RPPS),180
2021-12,Previdencia aberta (EAPC),12
2021-12,Investidor nao residente,159
2021-12,Outra PJ financeira,105
2021-12,Corretora/distribuidora,259
2021-12,Banco comercial,132
2021-12,PJ nao financeira,6585
2021-12,Pessoa fisica,9271
2021-12,Previdencia fechada (EFPC),157
2022-01,Seguradora,3
2022-01,Outros,4475
2022-01,Clube de investimento,15
2022-01,Outros fundos,10286
2022-01,FII,7
2022-01,Cotas de FIDC (outros FIDC/FIC-FIDC),240
2022-01,Capitalizacao,0
2022-01,Regime proprio (RPPS),180
2022-01,Pessoa fisica,9553
2022-01,Previdencia aberta (EAPC),12
2022-01,Investidor nao residente,152
2022-01,Outra PJ financeira,107
2022-01,Corretora/distribuidora,255
2022-01,Banco comercial,133
2022-01,PJ nao financeira,6679
2022-01,Previdencia fechada (EFPC),153
2022-02,Seguradora,3
2022-02,Outros,4977
2022-02,Clube de investimento,7
2022-02,Outros fundos,10706
2022-02,FII,7
2022-02,Cotas de FIDC (outros FIDC/FIC-FIDC),224
2022-02,Capitalizacao,0
2022-02,Regime proprio (RPPS),180
2022-02,Pessoa fisica,9398
2022-02,Previdencia aberta (EAPC),12
2022-02,Investidor nao residente,148
2022-02,Outra PJ financeira,112
2022-02,Corretora/distribuidora,74
2022-02,Banco comercial,158
2022-02,PJ nao financeira,6658
2022-02,Previdencia fechada (EFPC),155
2022-03,Outros,5037
2022-03,Clube de investimento,10
2022-03,Outros fundos,10962
2022-03,FII,9
2022-03,Cotas de FIDC (outros FIDC/FIC-FIDC),229
2022-03,Capitalizacao,0
2022-03,Seguradora,3
2022-03,Regime proprio (RPPS),181
2022-03,Previdencia aberta (EAPC),12
2022-03,Investidor nao residente,159
2022-03,Outra PJ financeira,163
2022-03,Corretora/distribuidora,71
2022-03,Banco comercial,156
2022-03,PJ nao financeira,6557
2022-03,Pessoa fisica,9707
2022-03,Previdencia fechada (EFPC),151
2022-04,Regime proprio (RPPS),181
2022-04,Clube de investimento,8
2022-04,Outros fundos,11291
2022-04,FII,12
2022-04,Cotas de FIDC (outros FIDC/FIC-FIDC),230
2022-04,Capitalizacao,0
2022-04,Seguradora,3
2022-04,Outros,5317
2022-04,Previdencia fechada (EFPC),146
2022-04,Investidor nao residente,150
2022-04,Pessoa fisica,14498
2022-04,PJ nao financeira,6687
2022-04,Previdencia aberta (EAPC),12
2022-04,Corretora/distribuidora,74
2022-04,Outra PJ financeira,143
2022-04,Banco comercial,157
2022-05,Outros,5318
2022-05,Clube de investimento,2
2022-05,Outros fundos,11665
2022-05,FII,10
2022-05,Cotas de FIDC (outros FIDC/FIC-FIDC),280
