competencia,n_veiculos,n_registros_classe,n_registros_fundo,pl_total,pl_fic_fidc,ativo_total,carteira_dc,dc_inadimplentes,dc_a_vencer_com_parcela_inad,inad_pct,dc_inadimplentes_ajustado,inad_pct_ajustada,carteira_dc_np,inad_pct_ajustada_ex_np,pl_condominio_aberto,pl_condominio_fechado,pl_exclusivo,x4_linhas_descartadas,x4_valor_descartado,captacoes,resgates,amortizacoes,captacao_liquida,cotistas_total,vl_cotas_total,vl_cotas_subordinadas,subordinacao_pct,x2_pl_coberto,vl_recompras,vl_substituicoes,tab4_duplicate_cnpjs,tab4_duplicate_rows_dropped,tab4_type_conflict_cnpjs,tab4_pl_conflict_cnpjs,tab4_class_preferred_cnpjs
2017-10,672,0,672,93431299220.67,2967939173.5,96269494744.5,78743902966.67,6740455520.65,2760553409.03,0.0855997133327648,2706534920.1400003,0.0343713585201078,20602472019.89,0.0207656057111003,36102820101.52,57328479119.15,8006847055.5,0,0.0,13554123627.63,20244751195.57,846561045.41,-7537188613.35,14655,93086207326.935,27324251869.2,0.293537062620163,93333958573.93,502423681.32000005,0.0,,,,,
2017-11,694,0,694,96170311041.17,3094248731.2499995,98812303834.64,82647675933.23,9772790935.01,2780133274.9,0.1182464095288694,3644145400.78,0.0440925332700711,21050846048.79,0.0236227015888616,37737899182.45,58432411858.72,7990850611.69,0,0.0,15252017373.85,13550043522.17,568356202.64,1133617649.0400004,15455,95862839419.8595,29043085516.89,0.3029650038810896,95958992714.3,529231553.0499999,0.0,,,,,
2017-12,750,0,750,115248038417.62,5014084339.129999,116690142706.54,95753524068.51,9407016902.03,2912889592.6200004,0.0982419915459136,3725563853.2,0.0389078510628436,23934139694.99,0.0201376714257,48721187529.13,66526850888.49,8774192139.51,0,0.0,26700255815.590004,13250447932.52,684124662.69,12765683220.380005,16049,115257839183.3316,32928526254.35,0.2856944611114319,115174966353.77,558147329.89,0.0,,,,,
2018-01,752,0,752,116047749951.71,5309955814.28,120116302914.1,94483168060.32,9213059243.7,2299802135.4700003,0.0975100584880705,5664113807.280001,0.0599483899996231,27983793023.77,0.02020479195709,46801476694.99,69246273256.72,10888880712.85,0,0.0,19617538380.44,19591642119.63,650881215.09,-624984954.2799987,16321,116288231388.04442,38815405911.844604,0.3337861918487756,115933696122.45,578984617.62,0.0,,,,,
2018-02,766,0,766,113838901733.6,7060611982.379999,119969579992.84,91920231356.06,8692709966.33,3086785620.09,0.0945679731011351,4857558275.0199995,0.0528453660674969,27194278866.4,0.0201260099022583,42196576046.12,71642325687.48,11112755130.58,1,146661579577.05,12143407975.06,1853807030.7,672181252.33,9617419692.03,15368,113396231723.83612,37177007124.236,0.3278504634508178,113555733718.77002,494883371.7099999,0.0,,,,,
2018-03,785,0,785,118032923450.44,7303468886.749999,124608329056.36002,96892159044.49,8871481708.97,2699317855.63,0.0915603676959709,3207068913.9700003,0.0330993647535236,26411172566.89,0.0179117878036685,43572152936.94,74460770513.5,11374154542.91,1,7575000000.0,14863626544.49,12315081390.14,545671620.38,2002873533.9700005,16595,116077542538.46828,40720668357.033195,0.3508057412874527,116814435970.93,635105167.52,0.0,,,,,
2018-04,798,0,798,125733367487.25,8181625298.179998,128515748210.87,98309845682.35,7946787582.950001,4576628376.07,0.0808340968068137,2896719303.38,0.0294652003904026,26122758621.58,0.0166792123072704,47182715090.7,78550652396.55,11003109459.6,0,0.0,16685238235.54,12648704072.080002,537574569.11,3498959594.349999,16972,123869160239.44987,41372878296.2124,0.334004672480503,123767921920.57,633477691.66,0.0,,,,,
2018-05,821,0,821,120000463113.28998,8308005291.640001,123919128856.31,90198481386.1,7566221202.609999,4491893786.440001,0.0838841307119388,3160286512.5600004,0.0350370257236616,25181306166.25,0.0197426211489438,41997430905.75,78003032207.54,11120069837.44,0,0.0,15292765877.89,19910826738.03,544667720.02,-5162728580.16,16806,119230504759.91428,42883947922.873795,0.3596726190937969,119237656921.7,619918766.9300001,0.0,,,,,
2018-06,824,0,824,126115560481.71,8461159704.320001,128189359348.63,95058281596.16,8240159855.08,3979772535.480001,0.0866853441564093,3258733520.99,0.0342814267865077,25407288434.910004,0.0194899310105636,45582781956.45,80532778525.26,10367209752.59,0,0.0,17173676229.52,11995754002.17,1775695198.77,3402227028.5800004,17414,125719419166.1941,43438401436.6159,0.3455186296970776,125986545239.56998,632197274.77,0.0,,,,,
2018-07,834,0,834,127858304986.02,8431699847.9,133090789571.14,96351485610.47,6766906802.040001,4319818887.33,0.0702314734346418,5208727697.51,0.0540596511253376,24576573209.769997,0.0186545184588332,46117990811.079994,81740314174.94,12180797319.59,0,0.0,17067525090.52,3298128269.01,651501415.0600001,13117895406.45,17010,127067819413.4553,46943899005.813995,0.3694397151261971,127086607161.23,658988155.13,0.0,,,,,
