rank,commercial_group,legal_entities,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,commercial_signal_brl,confidence_median,sector
52,"ARMAC LOCACAO, LOGISTICA E SERVICOS S.A",1,1,70381062.53,112500000.0,182881062.53,0.95,
53,MOSAIC FERTILIZANTES P&K LTDA,1,1,55579531.31,120000000.0,175579531.31,0.93,Indústrias de transformação
54,"FIRMADOS ENTRE A CLASSE, NA QUALIDADE DE ENDOSSATARIA, E O BANCO VR S.A",1,1,164182708.87,0.0,164182708.87,0.95,
55,FFA SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA,1,1,53100029.82,110000000.0,163100029.82,0.95,
56,WWW.SINGULARE.COM.BR CEDENTES METALFRIO SOLUTIONS S.A,1,1,43446011.65,115000000.03,158446011.68,0.84,
57,FLYTOUR CONSOLIDADORA,1,1,66735278.55,75000000.0,141735278.55,0.95,Atividades administrativas e serviços complementares
58,BANCO COOPERATIVO SICREDI,1,1,125473080.6,9000000.0,134473080.6,0.67,"Atividades financeiras, seguros e serviços relacionados"
59,BTU - BRASPRESS - MTZ,1,1,85729153.465,35000000.0,120729153.465,0.93,"Transporte, armazenagem e correio"
60,URBANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,1,1,85729153.465,35000000.0,120729153.465,0.76,"Atividades financeiras, seguros e serviços relacionados"
61,SIGNIFICA A H. STRATTNER & CIA. LTDA,1,1,59718035.16,60000000.0,119718035.16,0.95,
62,CANSPE PARTICIPACOES S.A,1,1,50530988.72,66666666.666666664,117197655.38666666,0.93,"Atividades financeiras, seguros e serviços relacionados"
63,CPS LOG,1,1,50530988.72,66666666.666666664,117197655.38666666,0.93,Comércio e reparação de veículos
64,N.E.O.S.P.E. EMPREENDIMENTOS E PARTICIPACOES S.A,1,1,50530988.72,66666666.666666664,117197655.38666666,0.6,"Atividades financeiras, seguros e serviços relacionados"
65,AGROFORTE SECURITIZADORA CONSULTORIA E SERVICOS FINANCEIROS S.A,1,1,0.0,116500000.0,116500000.0,0.95,"Atividades profissionais, científicas e técnicas"
66,BANKERIZE CONSULTORIA LTDA,1,1,23175212.583333332,81250000.0,104425212.58333333,0.68,
67,SIMPALA S.A,1,1,31458842.145,71250000.0,102708842.145,0.68,
68,"SIMPALA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",1,1,31458842.145,71250000.0,102708842.145,0.95,"Atividades financeiras, seguros e serviços relacionados"
