fidc_type,same_type_vehicles,entrant_vehicles,exit_vehicles,switched_in_vehicles,switched_out_vehicles,same_type_pl_growth_brl,entrant_pl_contribution_brl,exit_pl_contribution_brl,net_reclassification_contribution_brl,reconciled_delta_pl_brl
Financeiro,815,424,101,382,197,22110153208.610016,67479615343.55,-18189272644.18,48761310057.350006,120161805965.33002
Nao classificado,560,369,141,140,74,21123688570.399994,41440495087.02,-23015250557.480003,-4023741913.029999,35525191186.90999
Servicos,142,95,8,69,48,9265829460.859993,9314279455.23,-4240527303.21,13256070857.339998,27595652470.219994
Cartao de credito,35,6,9,1,3,6401847525.73999,12543562954.17,-5013049255.06,-2625549677.89,11306811546.959988
Setor publico,98,41,14,42,61,3533328997.6100044,6036689387.240001,-918021236.9999999,-3294568647.99,5357428499.860006
Acoes judiciais,120,31,7,55,27,-1346354317.119999,1667427631.26,-85226125.99,2601007608.8300004,2836854796.9800014
Imobiliario,14,5,1,13,6,-6487172.890000105,813615848.0300001,-18836041.14,1157438656.72,1945731290.72
Factoring,1,0,0,0,2,4040284.1899999976,0.0,-0.0,-136081621.98,-132041337.78999999
Agronegocio,31,15,35,14,18,-853013371.1800013,1450554803.68,-5266852579.200001,1297948533.869999,-3371362612.830003
Industrial,104,40,9,46,30,-11504193533.590027,912010438.3300002,-353106448.7,1389115231.2699986,-9556174312.69003
Comercial,353,109,38,54,350,13938263080.119995,17148841703.949999,-4613968008.42,-42207377384.729996,-15734240609.080002
