participant_key,participant_cnpj,participant_name,funds,linked_pl_fractional_brl,confidence_max,confidence_median,sector,latest_evidence_date,source_document,executive_grade
33041260065290,33041260065290,GRUPO CASAS BAHIA S.A.,1,1834355869.84,0.95,0.95,Comércio e reparação de veículos,2025-07-25,959023_regulamento_regulamento_959023_2025-07-25_2025-07-25.pdf,True
19468242000132,19468242000132,IFOOD PAGO INSTITUICAO DE PAGAMENTO S.A.,1,679892399.78,0.93,0.93,"Atividades financeiras, seguros e serviços relacionados",2025-12-30,1076481_regulamento_regulamento_1076481_2025-12-30_2025-12-30.pdf,True
01425787000104,01425787000104,Redecard Instituição de Pagamento S.A,1,668710849.1066667,0.95,0.95,,2025-12-10,1058234_regulamento_regulamento_1058234_2025-12-10.pdf,True
08561701000101,08561701000101,Pagseguro Internet Instituição de Pagamento S.A,1,668710849.1066667,0.95,0.95,,2025-12-10,1058234_regulamento_regulamento_1058234_2025-12-10.pdf,True
10440482000154,10440482000154,Getnet Adquirência e Serviços para Meios de Pagamento S.A. – Instituição de Pagamento,1,668710849.1066667,0.95,0.95,,2025-12-10,1058234_regulamento_regulamento_1058234_2025-12-10.pdf,True
84046101000193,84046101000193,BUNGE ALIMENTOS S/A,1,104015015.1,0.95,0.95,Indústrias de transformação,2026-01-26,1095970_regulamento_regulamento_1095970_2026-01-26_2026-01-26.pdf,True
05868278000107,05868278000107,UNIMED FORTALEZA,1,36917861.26,0.95,0.95,"Atividades financeiras, seguros e serviços relacionados",2026-05-11,1187362_regulamento_regulamento_1187362_2026-05-11_2026-05-11.pdf,True
29112790000189,29112790000189,LEVE SAÚDE CLÍNICA MÉDICA S.A,1,13160306.94,0.95,0.95,,2024-10-04,752387_regulamento_regulamento_752387_2024-10-04_2024-10-04.pdf,True
36395637000171,36395637000171,CLUBE LEVE ADMINISTRAÇÃO DE CADASTRO LTDA,1,13160306.94,0.95,0.95,,2024-10-04,752387_regulamento_regulamento_752387_2024-10-04_2024-10-04.pdf,True
01838723000127,01838723000127,BRF S.A.,1,0.0,0.95,0.95,Indústrias de transformação,2025-08-08,964573_regulamento_regulamento_964573_2025-08-08_2025-08-08.pdf,True
14515756000188,14515756000188,NOSTRO BEEF ALIMENTOS IMPORTACAO E EXPORTACAO LTDA,1,0.0,0.95,0.95,Comércio e reparação de veículos,2025-09-05,986870_regulamento_regulamento_986870_2025-09-05_2025-09-05.pdf,True
52478126000170,52478126000170,Fourfrigo Indústria e Comércio Ltda,1,0.0,0.95,0.95,,2025-08-20,976641_regulamento_regulamento_976641_2025-08-20_2025-08-20.pdf,True
00148025000137,00148025000137,LATASA INDUSTRIA E COMERCIO LTDA.,1,600127641.37,0.77,0.77,,2024-02-01,594952_regulamento_regulamento_594952_2024-02-01_2024-02-01.pdf,False
11325341000153,11325341000153,BRM CONTEA CAPITAL GESTAO DE RECURSOS LTDA,1,483783859.88,0.6,0.6,"Atividades financeiras, seguros e serviços relacionados",2024-11-11,776499_regulamento_regulamento_776499_2024-11-11_2024-11-11.pdf,False
01636335000163,01636335000163,MOINHO DE TRIGO JM,1,312483280.17,0.7,0.7,Comércio e reparação de veículos,2023-09-04,520809_regulamento_regulamento_520809_2023-09-04_2023-09-04.pdf,False
23399607000191,23399607000191,CERC SA,1,284249379.47,0.77,0.77,Informação e comunicação,2026-04-02,1155766_regulamento_regulamento_1155766_2026-04-02_2026-04-02.pdf,False
21265104000106,21265104000106,GRUPOCOB COBRANCAS PERSONALIZADAS,1,55608463.93,0.6,0.6,Atividades administrativas e serviços complementares,2021-09-09,216049_regulamento_regulamento_216049_2021-09-09_2021-09-09.pdf,False
33931486001455,33931486001455,MOSAIC FERTILIZANTES P&K LTDA.,1,55579531.31,0.77,0.77,Indústrias de transformação,2025-07-22,952374_regulamento_regulamento_952374_2025-07-22_2025-07-22.pdf,False
17457404000101,17457404000101,ATACADAO DIA A DIA,1,25813992.72,0.78,0.78,,2025-04-28,886884_regulamento_regulamento_886884_2025-04-28_2025-04-28.pdf,False
53074457000107,53074457000107,VANTO,1,20273803.36,0.6,0.6,"Atividades financeiras, seguros e serviços relacionados",2026-03-03,1127416_regulamento_regulamento_1127416_2026-03-03_2026-03-03.pdf,False
54608131000185,54608131000185,MARANATA CONSULTORIA LTDA,1,15718410.31,0.77,0.77,"Atividades profissionais, científicas e técnicas",2024-09-05,733050_regulamento_regulamento_733050_2024-09-05_2024-09-05.pdf,False
02671673000107,02671673000107,SGA CORRETORA DE SEGUROS LTDA,1,1029422.74,0.78,0.78,"Atividades financeiras, seguros e serviços relacionados",2025-12-11,1059897_regulamento_regulamento_1059897_2025-12-11_2025-12-11.pdf,False
19758842000135,19758842000135,***********,1,0.0,0.6,0.6,Construção,2026-02-09,1106951_regulamento_regulamento_1106951_2026-02-09_2026-02-09.pdf,False
35884301000100,35884301000100,SARFATY CONSULTORIA DE CREDITO E COBRANCA,1,0.0,0.77,0.77,Atividades administrativas e serviços complementares,2024-03-01,617097_regulamento_regulamento_617097_2024-03-01_2024-03-01.pdf,False
49316524000185,49316524000185,ROSARIAL ALIMENTOS,1,0.0,0.6,0.6,Indústrias de transformação,2025-09-05,986870_regulamento_regulamento_986870_2025-09-05_2025-09-05.pdf,False
59588111000103,59588111000103,BANCO VOTORANTIM S.A.,1,0.0,0.77,0.77,"Atividades financeiras, seguros e serviços relacionados",2023-08-31,516121_regulamento_regulamento_516121_2023-08-31.pdf,False
94813102000170,94813102000170,94813102000170,1,0.0,0.86,0.86,,2025-11-07,1038524_assembleia_assembleia_1038524_2025-11-07_2025-11-07.pdf,False
