competencia,faixa,prazo_proxy,valor
01/2026,121 a 150 dias,135.5,946956970.22
01/2026,151 a 180 dias,165.5,730721467.02
01/2026,181 a 360 dias,270.5,1603113798.15
01/2026,31 a 60 dias,45.5,2176926900.21
01/2026,361 a 720 dias,540.5,0.0
01/2026,61 a 90 dias,75.5,1507661772.0
01/2026,721 a 1080 dias,900.5,0.0
01/2026,91 a 120 dias,105.5,1170624974.63
01/2026,Acima de 1080 dias,1440.0,0.0
01/2026,Em 30 dias,30.0,3572110503.2
02/2026,121 a 150 dias,135.5,1002768799.24
02/2026,151 a 180 dias,165.5,745170755.98
02/2026,181 a 360 dias,270.5,1777556316.53
02/2026,31 a 60 dias,45.5,2117187967.4299998
02/2026,361 a 720 dias,540.5,0.0
02/2026,61 a 90 dias,75.5,1590472330.01
02/2026,721 a 1080 dias,900.5,0.0
02/2026,91 a 120 dias,105.5,1209162551.54
02/2026,Acima de 1080 dias,1440.0,0.0
02/2026,Em 30 dias,30.0,3459375687.09
03/2026,121 a 150 dias,135.5,1107527315.92
03/2026,151 a 180 dias,165.5,856679459.26
03/2026,181 a 360 dias,270.5,2140851530.48
03/2026,31 a 60 dias,45.5,2446941690.75
03/2026,361 a 720 dias,540.5,320604.78
03/2026,61 a 90 dias,75.5,1911359575.17
03/2026,721 a 1080 dias,900.5,0.0
03/2026,91 a 120 dias,105.5,1460255886.59
03/2026,Acima de 1080 dias,1440.0,0.0
03/2026,Em 30 dias,30.0,4373082651.530001
04/2026,121 a 150 dias,135.5,611769012.35
04/2026,151 a 180 dias,165.5,563304775.01
04/2026,181 a 360 dias,270.5,1172188565.56
04/2026,31 a 60 dias,45.5,1200029100.3600001
04/2026,361 a 720 dias,540.5,81870.6
04/2026,61 a 90 dias,75.5,978343554.76
04/2026,721 a 1080 dias,900.5,0.0
04/2026,91 a 120 dias,105.5,775082618.5699999
04/2026,Acima de 1080 dias,1440.0,0.0
04/2026,Em 30 dias,30.0,1596907018.53
