periodo,meses,custo_bruto,custo_bruto_anualizado,custo_liquido,custo_liquido_anualizado,saldo_medio,cdi_periodo
jan-mar/26,3,497372339.72,1989489358.88,443144131.94,1772576527.76,13546850354.34,0.0341117961210351
jan-abr/26,4,696739696.63,2090219089.8899999,624591425.58,1873774276.7400002,14382734514.68,0.045384260576501134
