competencia,stock_recebiveis_a_vencer,duration_days,calendar_days,tpv_estimado_mes
01/2025,2142975248.84,1440.0,31,46133494.94030555
02/2025,5265293835.03,608.6275565765451,28,242230615.07452208
03/2025,5388057115.32,628.2798778036033,31,265852491.02491954
04/2025,6375597355.02,95.43987422859315,30,2004067190.9571462
05/2025,7622491709.990001,93.74595188833239,31,2520612765.13743
06/2025,8762399545.14,95.07201779177544,30,2764977460.8753567
07/2025,8809970590.53,102.17127049997613,31,2673051700.0519614
08/2025,8583460843.85,103.87929984472436,31,2561504424.4338307
09/2025,9898523057.35,99.50218726236777,30,2984413708.791004
10/2025,11540786186.03,116.60068883507014,31,3068286948.7416334
11/2025,11644825043.300001,114.9043872760853,30,3040308203.89491
12/2025,11223353977.159998,96.87181142620223,31,3591591487.447423
