cnpj,FIDC,competencia,pl,source
42085816000105,Kick Ass I,02/2025,307534985.44,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,03/2025,307765776.0,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,04/2025,307836557.92,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,05/2025,308075415.91,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,06/2025,307816569.52,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,07/2025,308300876.12,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,08/2025,308231689.27,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,09/2025,282939431.73,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,10/2025,256633278.84,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,11/2025,232013724.2,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,12/2025,206646757.66,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,01/2026,182540129.23,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,02/2026,157038535.84,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085830000109,Akira I,02/2025,516085910.1,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,03/2025,516385615.42,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,04/2025,516388554.11,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,05/2025,516673481.5,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,06/2025,516083515.26,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,07/2025,516663177.58,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,08/2025,523053974.92,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,09/2025,516186547.01,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,10/2025,517177737.21,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,11/2025,516336651.57,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,12/2025,516716267.32,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,01/2026,517074127.5,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,02/2026,474515187.67,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,03/2026,433379960.54,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
44124617000194,Akira II,02/2025,1581635042.59,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,03/2025,1341519319.86,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,04/2025,1328646352.45,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,05/2025,1329543862.28,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,06/2025,1328362884.8,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,07/2025,1330477415.29,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,08/2025,1088700838.8,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,09/2025,832207333.42,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,10/2025,566308957.76,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,11/2025,323357615.43,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,12/2025,70027256.36,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,01/2026,61373295.93,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,Akira II,02/2026,39489516.46,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
54218673000141,Big Picture I,02/2025,903548569.9,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
