fund_name,short_name,cnpj,competencia,class_kind,label,event_type,qt_cotas,valor_cota,valor_total
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,01/2025,senior,Sênior · Série 1,amortizacao,,10.28,23080185.93
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,01/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,12.75,4430672.37
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,02/2025,senior,Sênior · Série 1,amortizacao,,10.6,23800285.6
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,02/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,13.07,4542389.18
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,03/2025,senior,Sênior · Série 1,amortizacao,,9.47,21274503.92
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,03/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,11.59,4027830.93
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,04/2025,senior,Sênior · Série 1,amortizacao,,12.69,28489893.43
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,04/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,15.4,5352027.15
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,05/2025,senior,Sênior · Série 1,amortizacao,,10.14,22778382.32
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,05/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,12.26,4261062.38
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,06/2025,senior,Sênior · Série 1,amortizacao,,12.75,28642767.22
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,06/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,15.35,5334700.19
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,07/2025,senior,Sênior · Série 1,amortizacao,,12.3,27627648.21
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,07/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,14.78,5136169.17
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,08/2025,senior,Sênior · Série 1,amortizacao,,12.36,27745546.26
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,08/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,14.83,5154459.68
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,09/2025,senior,Sênior · Série 1,amortizacao,,13.54,30405790.59
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,09/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,16.26,5649330.08
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,10/2025,senior,Sênior · Série 1,amortizacao,,12.95,29075278.98
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,10/2025,subordinada,Mezanino 1 · Série 1,amortizacao,,15.54,5401808.2
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,11/2025,senior,Sênior · Série 1,amortizacao,,12.36,27745545.14
