cnpj,fund_name,months_with_data,avg_stock_recebiveis_a_vencer,duration_days_stock_day_weighted,latest_competencia,latest_stock,latest_duration_days
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,4,3288090738.782951,129.18923763117425,12/2025,3729128552.8100004,93.95467656389113
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,9,2654859606.607091,105.90652337218803,12/2025,2959785963.56,100.52484364722663
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,12,2289376203.6873426,404.8472316979834,12/2025,2392841138.23,90.67502998209058
44124617000194,CLOUDWALK AKIRA II FIDC,11,846182704.6294311,67.75072992804478,12/2025,64289585.32,59.87018054295329
54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,11,801246897.2055688,104.52205365315707,12/2025,819912215.41,129.5629348755942
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,11,444177744.55643713,98.67360981637233,12/2025,452153868.13,112.59362778738371
54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,11,263526046.525988,91.27003766655916,12/2025,257171327.47,81.0430427632773
54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,11,253632138.56823355,89.12235066892687,12/2025,260752967.04000002,72.04758718077441
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,11,243836429.93697605,94.93541256194459,12/2025,168318358.65,81.82245525170465
54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,11,128406322.81122753,90.16012972468309,12/2025,119000000.54,66.93195826240961
