Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
TAMBASA,50.327.909/0001-27,07/03/2024,COTAS SUBORDINADAS JUNIORES D,Subordinada,—,—,"100,0",—,—,616263_regulamento_regulamento_616263_2024-03-07.pdf · ID 616263 · 07/03/2024
TAMBASA,50.327.909/0001-27,07/03/2024,COTAS SUBORDINADAS JUNIORES DO TAMB,Subordinada,—,—,"100,0",—,—,616065_emissao_emissao_616065_2024-03-07.pdf · ID 616065 · 07/03/2024
