mes,fundo,pl,ativo,dc_risco,venc_ad,venc_inad,parc_inad,inad,pdd,b_sr,b_mez,b_jr,a_sr,a_mez,a_jr,c_sr,c_mez,c_jr
202312,IV,1042140198.03,1044429057.65,990259882.52,1007332678.25,0.0,0.0,10552944.25,27625739.98,628325427.0206372,142912950.52304575,139615984.9417327,8014438.0600000005,2123385.4499999997,0.0,0.0,0.0,30700000.0
202312,V,159841746.73,160325041.45,156041707.25,134254325.65,26114613.42,1537282.37,946.84,4328178.66,124419499.95850809,20226202.79487742,15196112.02024842,0.0,3250000.0,0.0,0.0,0.0,0.0
202401,I,304309155.9,305390092.52,290728645.93,232896230.04,111957369.15,19690175.9,622130.94,54747084.2,198202345.72056708,94663445.01381707,11442510.822890101,8651810.61,1261733.99,0.0,0.0,0.0,0.0
202401,II,535849203.33,537274930.88,516718830.3,540036165.2,0.0,0.0,10364361.24,33681696.14,426475800.0,85527680.0,23838539.864370458,70.18,75.24653795,2.13703986,0.0,0.0,0.0
202401,III,386278716.58,388756252.1,372218774.6,331209017.8,43806880.46,2142077.58,1285.16,2798408.82,265359375.0,96568875.0,24348968.445573922,13698561.28,0.0,0.0,0.0,0.0,0.0
202401,IV,1124768524.41,1127644053.12,1088878098.53,1107022461.34,0.0,0.0,11058905.96,29203268.77,807520189.6587056,143209293.5212295,174039640.79517004,8541599.56,1873618.78,0.0,55000000.0,0.0,22783333.33
202401,V,161550795.06,162405962.59,155748781.14,133232439.07,27587370.13,1788039.43,0.0,5071028.06,125810265.37594526,20500363.034807988,15240027.988751832,0.0,0.0,0.0,0.0,0.0,0.0
202402,I,295730585.89,296489969.73,281875230.49,219847566.49,117922195.58,21041230.87,737670.21,56632201.79,190299054.09149095,93922748.37888055,11509502.740651708,9778055.16,1427363.55,0.0,0.0,0.0,0.0
202402,II,374911836.6,376217077.44,353952746.74,378608976.05,0.0,0.0,10890247.51,35546476.82,294323400.0,59997999.99999999,20589577.576403838,135428660.3,26747085.009999998,2706599.84,0.0,0.0,0.0
202402,III,376767218.79,378399012.91,363751419.83,296279683.65,70603522.8,3133722.8,20325.5,3152112.12,253515625.0,97809625.0,25441152.915961895,14577458.38,0.0,0.0,0.0,0.0,0.0
202402,IV,1167571860.11,1173278139.1,754020796.88,770303774.27,0.0,0.0,15977065.37,32260042.76,845815671.9275215,142760086.9414913,178996994.3131856,10759009.25,2278443.3603714397,0.0,40000000.0,0.0,7200000.0
202402,V,162811222.02,163054812.02,154042058.4,129236420.99,30997551.43,2168816.06,0.0,6191914.02,127427071.9300836,20805972.63473059,14577897.266721616,0.0,0.0,0.0,0.0,0.0,0.0
202403,I,287859497.91,287924827.16,276391198.57,252315800.36,80039830.27,19355316.54,722462.75,56686894.81,180792392.0927545,95113524.29309648,11954416.455351073,0.0,0.0,0.0,0.0,0.0,0.0
202403,II,358812307.52,360422904.13,347756070.92,374306387.53,0.0,0.0,7005168.3,33555484.91,283738000.0,56870760.0,18205723.589966793,13541980.23,3910487.04,0.0,0.0,0.0,0.0
202403,III,370512063.27,371769223.99,358629533.54,331265611.79,31272488.51,1853649.49,15338.71,3923905.47,246759375.0,95835125.0,27917877.206275363,9501481.65,0.0,0.0,0.0,1896375.69,0.0
202403,IV,1169379787.51,1171620373.29,854787646.6,876220350.56,0.0,0.0,12728475.49,34161179.45,846259271.9155238,142877753.7999652,180244527.89870986,9152282.24,1789851.2899999998,0.0,0.0,0.0,0.0
202403,V,156051618.23,156499852.72,151828708.68,119005014.45,38991903.34,2540141.99,0.0,6168209.11,121553342.8852629,19920237.834954914,14577727.706997665,7341528.5,0.0,0.0,0.0,0.0,0.0
202404,I,281298633.09,281911062.7,268700912.41,210861824.24,114839225.3,22828322.04,795847.35,57795984.48,174630402.3988656,94643537.58677149,12025049.23820842,8439497.68,1234301.62,0.0,0.0,0.0,0.0
202404,II,351030040.03,352181570.77,338270105.31,361296599.39,0.0,0.0,10600925.41,33627419.49,278060000.0,55764120.0,17206042.885977063,9862267.6,2144278.31,0.0,0.0,0.0,0.0
202404,III,362772553.62,364253177.87,348031479.72,295852177.78,57554948.43,3239948.54,27016.02,5402662.51,243234375.0,91979125.0,27558576.592706095,6410499.71,5196367.68,0.0,0.0,0.0,0.0
202404,IV,1164674387.72,1167172720.23,974872725.1,995835067.67,0.0,0.0,14263231.29,35225573.86,847130731.2145263,143054337.67752153,162487236.9796102,9430386.63,1880424.16,14901336.83,0.0,0.0,0.0
202404,V,153376660.81,153779800.59,148527746.9,123876869.43,31822431.39,2537060.74,0.0,7171553.92,119703814.17560466,19693518.155012332,13979690.560621077,3850972.1,601873.72,0.0,0.0,0.0,0.0
202405,I,272615412.0,272790912.67,259104725.68,208659655.17,109025502.26,23678655.6,959269.74,59539701.49,166704879.31766185,93829653.90021005,12080878.779861161,9230287.91,1351267.32,0.0,0.0,0.0,0.0
202405,II,339715542.21,340556706.15,327573220.9,351246729.59,0.0,0.0,10546328.8,34219837.49,269246820.14959997,53987358.20008001,16481363.866232147,10990575.67,2398438.64,0.0,0.0,0.0,0.0
202405,III,352856489.88,353342600.06,338109621.96,291560768.92,52643916.24,3258556.82,22352.12,6117415.32,236154350.05872154,88339937.03,28362202.790034037,79279614.2,4859810.4,0.0,0.0,0.0,0.0
202405,IV,1198764427.8,1199943731.7,1065178614.06,1088705267.76,0.0,0.0,15026580.13,38553233.83,847024129.897171,235332267.9905645,116408029.90990888,9799801.34,373554.78,44731826.87,0.0,234000000.0,0.0
202405,V,150043837.92,150169470.76,144200717.9,120020489.16,32614547.42,2854781.79,0.0,8434318.68,117183008.90979733,19352432.869996157,13508396.140013838,3649827.98,570919.06,0.0,0.0,0.0,0.0
202406,I,263781490.37,263828237.91,251476417.01,231768619.79,80037955.88,22547083.26,957599.77,61287758.43,158255156.8880115,93322335.74975635,12203997.729993444,9913269.62,1451252.37,0.0,0.0,0.0,0.0
202406,II,330270286.31,331621737.26,295290659.64,321797166.58,0.0,0.0,7253076.76,33759583.7,261620904.53,52449851.17,16199530.613976445,10238814.700000001,2232467.94,0.0,0.0,0.0,0.0
202406,III,344522077.37,344795021.1,331033517.14,305070176.28,32648232.54,2539265.07,20627.69,6705519.37,230505937.39006191,84603202.91,29412937.0699937,8104897.21,4851280.04,0.0,0.0,0.0,0.0
202406,IV,1203677724.98,1205732842.29,989989805.89,1016006355.37,0.0,0.0,15028762.97,41045312.45,846108425.8303504,235387324.1706487,122181974.98064864,10093174.07,3038661.96,0.0,0.0,0.0,0.0
202406,V,143982999.45,144107988.63,140580339.81,108995608.9,41225127.1,3474135.52,23230.31,9663626.5,112461434.75973684,18643007.28994207,12878557.40002309,6029127.23,966424.27,0.0,0.0,0.0,0.0
202407,I,256632998.18,257164900.65,243628261.42,197841912.58,106539895.56,25702252.85,987718.11,61741264.83,151317501.96814963,92995462.84972972,12320033.360333985,8502367.56,1247200.55,0.0,0.0,0.0,0.0
202407,II,217225315.44,217794457.48,187778143.52,211099282.93,0.0,0.0,8623198.01,31944337.42,167421273.76,34001989.68,15802051.990927741,96604534.66,19088092.84,0.0,0.0,0.0,0.0
202407,III,336664378.39,336879421.89,321056144.32,281638561.51,46809863.68,3374241.04,59697.17,7451978.04,225174469.15889725,81062863.14,30427046.090023264,8085156.57,4768826.39,0.0,0.0,0.0,0.0
202407,IV,1004553111.01,1006491166.2,675656533.64,704492345.46,0.0,0.0,15859477.92,44695289.74,706482353.7391341,198251590.95076388,99819166.31927894,150169742.5,40781470.21,21090495.4,0.0,0.0,0.0
