Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
J17 FGTS FINANCEIRO,54.252.144/0001-64,12/04/2024,COTAS SENIORES _________________________ 137,Sênior,—,—,—,—,—,638796_regulamento_regulamento_638796_2024-04-12.pdf · ID 638796 · 12/04/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,04/05/2024,2ª Série,—,—,—,"105,0",—,—,893915_emissao_emissao_893915_2024-05-04.pdf · ID 893915 · 04/05/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,25/07/2024,COTAS SENIORES ________________________ 148,Sênior,—,—,—,—,—,704174_regulamento_regulamento_704174_2024-07-25.pdf · ID 704174 · 25/07/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,25/07/2024,"Cotas Seniores"")",Sênior,—,—,"85,0",—,—,704173_regulamento_regulamento_704173_2024-07-25.pdf · ID 704173 · 25/07/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,26/07/2024,COTAS SENIORES E DE COTAS SUBORDINADAS,Sênior,—,—,"95,0",—,—,705192_emissao_emissao_705192_2024-07-26.pdf · ID 705192 · 26/07/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,31/07/2024,COTAS SENIORES E DE COTAS SUBORDINADAS MEZANINO DA CLASSE ÚNICA,Sênior,—,—,"95,0",—,—,708746_emissao_emissao_708746_2024-07-31.pdf · ID 708746 · 31/07/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,31/07/2024,COTAS SENIORES ________________________ 146,Sênior,—,—,—,—,—,708770_regulamento_regulamento_708770_2024-07-31.pdf · ID 708770 · 31/07/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,04/10/2024,COTAS SENIORES DA PRIMEIRA SÉRIE E DE COTAS SUBORDINADAS,Sênior,—,—,"95,0",—,—,752386_emissao_emissao_752386_2024-10-04.pdf · ID 752386 · 04/10/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/10/2024,2ª Série,—,—,—,"85,0",—,—,767648_assembleia_assembleia_767648_2024-10-29.pdf · ID 767648 · 29/10/2024 18:00
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/10/2024,COTAS SENIORES________________________ 145ANEXO III -MODELO DE A,Sênior,—,—,—,—,—,767649_regulamento_regulamento_767649_2024-10-29.pdf · ID 767649 · 29/10/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,30/10/2024,Classe/série não identificada,—,—,—,"190,0",—,—,767563_emissao_emissao_767563_2024-10-30.pdf · ID 767563 · 30/10/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,05/11/2024,2ª Série,—,—,—,"190,0",—,—,771421_emissao_emissao_771421_2024-11-05.pdf · ID 771421 · 05/11/2024
J17 FGTS FINANCEIRO,54.252.144/0001-64,13/01/2025,COTAS SENIORES ________________________ 150,Sênior,—,—,—,—,—,845891_regulamento_regulamento_845891_2025-01-13.pdf · ID 845891 · 13/01/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,28/05/2025,Cotas Seniores da Classe Única do J17 FGTS,Sênior,—,—,"85,0","DI + 2,50% a.a.",—,916723_assembleia_assembleia_916723_2025-05-28.pdf · ID 916723 · 28/05/2025 10:00
J17 FGTS FINANCEIRO,54.252.144/0001-64,04/06/2025,COTAS SENIORES ________________________ 149,Sênior,—,—,—,—,—,918909_regulamento_regulamento_918909_2025-06-04.pdf · ID 918909 · 04/06/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,13/06/2025,4ª Série,—,—,—,"85,0",—,—,926234_assembleia_assembleia_926234_2025-06-13.pdf · ID 926234 · 13/06/2025 19:00
J17 FGTS FINANCEIRO,54.252.144/0001-64,13/06/2025,COTAS SENIORES ________________________ 144,Sênior,—,—,—,—,—,926245_regulamento_regulamento_926245_2025-06-13.pdf · ID 926245 · 13/06/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,03/07/2025,4ª Série,—,—,—,"95,0",—,—,939658_emissao_emissao_939658_2025-07-03.pdf · ID 939658 · 03/07/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,04/07/2025,COTAS SENIORES ________________________ 150,Sênior,—,—,—,—,—,940908_regulamento_regulamento_940908_2025-07-04.pdf · ID 940908 · 04/07/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,26/11/2025,COTAS SENIORES ________,Sênior,—,—,—,—,—,1061435_regulamento_regulamento_1061435_2025-11-26.pdf · ID 1061435 · 26/11/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,29/12/2025,COTAS SENIORES ________________________ 153,Sênior,—,—,—,—,—,1072289_regulamento_regulamento_1072289_2025-12-29.pdf · ID 1072289 · 29/12/2025
J17 FGTS FINANCEIRO,54.252.144/0001-64,30/12/2025,4ª Série,—,—,—,"50,0",—,—,1075648_emissao_emissao_1075648_2025-12-30.pdf · ID 1075648 · 30/12/2025
