grupo,cnpj,fundo,documentos_inventariados,pdfs_locais_analisaveis,documentos_sem_pdf_local,paginas_pdf_locais,quebra_por_categoria
MeuTudo Ago-26,60.010.416/0001-12,MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21,12,9,153,outro: 9; assembleia: 9; regulamento: 2; emissao: 1
MeuTudo Ago-26,58.458.416/0001-38,MT CONSIGNADO PRIVADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,35,29,6,399,emissao: 11; regulamento: 9; assembleia: 7; outro: 6; evento: 2
MeuTudo Ago-26,53.179.862/0001-90,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA FGTS MT II,50,32,18,654,outro: 18; emissao: 12; assembleia: 11; regulamento: 8; evento: 1
MeuTudo Ago-26,40.752.367/0001-86,MT INSS RECEIVABLES II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,52,25,27,560,outro: 27; assembleia: 15; regulamento: 6; evento: 3; emissao: 1
MeuTudo Ago-26,44.173.467/0001-09,MT INSS RECEIVABLES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE,43,19,24,364,outro: 24; assembleia: 9; regulamento: 6; emissao: 2; evento: 2
MeuTudo Ago-26,51.290.497/0001-60,MT INSS RECEIVABLES V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADOS,86,70,16,2955,assembleia: 39; regulamento: 28; outro: 16; emissao: 3
MeuTudo Ago-26,62.010.175/0001-37,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT FGTS RECEIVABLES IV,17,10,7,377,outro: 7; emissao: 3; regulamento: 3; evento: 2; assembleia: 2
MeuTudo Ago-26,62.310.468/0001-30,MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,27,21,6,651,regulamento: 10; outro: 6; assembleia: 6; emissao: 4; evento: 1
MeuTudo Ago-26,54.464.892/0001-00,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT FGTS RECEIVABLES II,47,35,12,940,assembleia: 12; emissao: 11; outro: 11; regulamento: 10; evento: 3
MeuTudo Ago-26,63.953.620/0001-65,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,16,8,8,42,outro: 8; assembleia: 5; emissao: 2; regulamento: 1
