priority_rank,review_wave,review_reason,cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level,classification_evidence,expected_primary_docs,review_goal,cnpj,regulamento_count,document_count_total,latest_regulamento_file,latest_regulamento_date,pdf_extraction_status,setor_n1_document,setor_n2_document,setor_n1_final,setor_n2_final,feature_hits_count,feature_hits_share,subordination_main_pct,monocedente_or_multicedente,concentrated_or_pulverized_debtors,manual_review_status
1,Onda 1 - top 50 por volume,confianca_media_alto_volume,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,3000000000.0,3000000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63662224000189,4.0,8.0,data/raw/63662224000189/1059307_regulamento_regulamento_1059307_2025-12-10_2025-12-10.pdf,2025-12-10,cache,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
2,Onda 1 - top 50 por volume,confianca_media_alto_volume,56924942000110,ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM,FIC/Alocador,FIC de FIDC,media,8,2920878966.0,2521000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,56924942000110,12.0,18.0,data/raw/56924942000110/1211635_regulamento_regulamento_1211635_2026-05-28_2026-05-28.pdf,2026-05-28,cache,Crédito PJ,CCB/Notas comerciais/Capital de giro,FIC/Alocador,FIC de FIDC,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
3,Onda 1 - top 50 por volume,confianca_media_alto_volume,59356753000187,ER - ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Infra/Energia,Energia/infra,media,1,1900000000.0,1900000000.0,sem_curadoria_local,nome_emissor: regex `ENERGIA`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,59356753000187,9.0,18.0,data/raw/59356753000187/1001065_regulamento_regulamento_1001065_2025-09-26_2025-09-26.pdf,2025-09-26,cache,Crédito PJ,Recebíveis comerciais/multissetorial,Infra/Energia,Energia/infra,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
4,Onda 1 - top 50 por volume,confianca_media_alto_volume,62310468000130,MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Crédito PF,Consignado/INSS,media,3,1822948987.5,1222948987.5,emissoes_curadas,nome_emissor: regex `\bINSS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62310468000130,20.0,39.0,data/raw/62310468000130/1153512_regulamento_regulamento_1153512_2026-04-01_2026-04-01.pdf,2026-04-01,cache,Crédito PF,Consignado/INSS,Crédito PF,Consignado/INSS,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
5,Onda 1 - top 50 por volume,sem_classificacao_setorial,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,1800000000.0,1800000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,17250006000110,8.0,18.0,data/raw/17250006000110/1090769_regulamento_regulamento_1090769_2025-01-10_2025-01-10.pdf,2025-01-10,cache,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
6,Onda 1 - top 50 por volume,confianca_media_alto_volume,44302112000172,CLASSE ÚNICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-BAYER RESPONSABILIDADE LIMITADA,Agro,Agro,media,3,1700000000.0,1700000000.0,sem_curadoria_local,nome_emissor: regex `\bAGRO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,44302112000172,10.0,18.0,data/raw/44302112000172/1100035_regulamento_regulamento_1100035_2025-11-24_2025-11-24.pdf,2025-11-24,cache,Agro,Agro,Agro,Agro,12.0,0.8571428571428571,,indeterminado,indeterminado,triagem_documental_forte
7,Onda 1 - top 50 por volume,confianca_media_alto_volume,51767969000123,PINHEIROS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CONSIGNADOS,Crédito PF,Consignado/INSS,media,6,1542169187.0300002,1542169187.0300002,sem_curadoria_local,nome_emissor: regex `CONSIGNADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,51767969000123,12.0,18.0,data/raw/51767969000123/915564_regulamento_regulamento_915564_2025-05-16_2025-05-16.pdf,2025-05-16,cache,Crédito PF,Crédito pessoal/consumo,Crédito PF,Consignado/INSS,11.0,0.7857142857142857,,cedente_nomeado,indeterminado,triagem_documental_forte
8,Onda 1 - top 50 por volume,confianca_media_alto_volume,60598366000136,FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,1500000000.0,1500000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,60598366000136,2.0,5.0,data/raw/60598366000136/928235_regulamento_regulamento_928235_2025-06-11_2025-06-11.pdf,2025-06-11,cache,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,3.0,0.21428571428571427,,indeterminado,indeterminado,regulamento_lido_heuristico
9,Onda 1 - top 50 por volume,confianca_media_alto_volume,50473039000102,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,media,1,1500000000.0,1500000000.0,knowledge_json,nome_emissor: regex `MEIOS DE PAGAMENTO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,50473039000102,16.0,35.0,data/raw/50473039000102/909547_regulamento_regulamento_909547_2025-05-19_2025-05-19.pdf,2025-05-19,cache,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,6.0,0.42857142857142855,,indeterminado,indeterminado,regulamento_lido_heuristico
10,Onda 1 - top 50 por volume,confianca_media_alto_volume,63572282000111,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,media,1,1500000000.0,1500000000.0,knowledge_json,nome_emissor: regex `MEIOS DE PAGAMENTO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63572282000111,8.0,22.0,data/raw/63572282000111/1089845_regulamento_regulamento_1089845_2026-01-21_2026-01-21.pdf,2026-01-21,cache,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,6.0,0.42857142857142855,,indeterminado,indeterminado,regulamento_lido_heuristico
11,Onda 1 - top 50 por volume,confianca_media_alto_volume,39669950000149,OCEANO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Crédito PF,Consignado/INSS,media,5,1447700526.4,935200526.4,sem_curadoria_local,nome_emissor: regex `CONSIGNADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,39669950000149,18.0,18.0,data/raw/39669950000149/1180237_regulamento_regulamento_1180237_2026-04-30_2026-04-30.pdf,2026-04-30,cache,Não classificado,Revisar manualmente,Crédito PF,Consignado/INSS,3.0,0.21428571428571427,,indeterminado,indeterminado,regulamento_lido_heuristico
