cnpj,document_classification,source_file,file_name,document_date,file_size_bytes
08417544000165,assembleia,data/raw/08417544000165/743627_assembleia_assembleia_743627_2024-09-24.pdf,743627_assembleia_assembleia_743627_2024-09-24.pdf,2024-09-24,438771
08417544000165,emissao,data/raw/08417544000165/743627_emissao_emissao_743627_2024-09-24.pdf,743627_emissao_emissao_743627_2024-09-24.pdf,2024-09-24,438771
08417544000165,assembleia,data/raw/08417544000165/774892_assembleia_assembleia_774892_2024-11-18.pdf,774892_assembleia_assembleia_774892_2024-11-18.pdf,2024-11-18,110672
08417544000165,assembleia,data/raw/08417544000165/784310_assembleia_assembleia_784310_2024-11-18.pdf,784310_assembleia_assembleia_784310_2024-11-18.pdf,2024-11-18,1841559
08417544000165,regulamento,data/raw/08417544000165/784311_regulamento_regulamento_784311_2024-11-18.pdf,784311_regulamento_regulamento_784311_2024-11-18.pdf,2024-11-18,4229630
08417544000165,assembleia,data/raw/08417544000165/883631_assembleia_assembleia_883631_2025-05-02.pdf,883631_assembleia_assembleia_883631_2025-05-02.pdf,2025-05-02,122539
08417544000165,assembleia,data/raw/08417544000165/908279_assembleia_assembleia_908279_2025-05-02.pdf,908279_assembleia_assembleia_908279_2025-05-02.pdf,2025-05-02,2570258
08417544000165,assembleia,data/raw/08417544000165/928766_assembleia_assembleia_928766_2025-06-30.pdf,928766_assembleia_assembleia_928766_2025-06-30.pdf,2025-06-30,347658
08417544000165,emissao,data/raw/08417544000165/939731_emissao_emissao_939731_2025-07-02.pdf,939731_emissao_emissao_939731_2025-07-02.pdf,2025-07-02,344415
08417544000165,assembleia,data/raw/08417544000165/939819_assembleia_assembleia_939819_2025-06-30.pdf,939819_assembleia_assembleia_939819_2025-06-30.pdf,2025-06-30,1103597
08417544000165,emissao,data/raw/08417544000165/954682_emissao_emissao_954682_2025-07-28.pdf,954682_emissao_emissao_954682_2025-07-28.pdf,2025-07-28,307140
08417544000165,evento,data/raw/08417544000165/954689_evento_evento_954689_2025-07-28.pdf,954689_evento_evento_954689_2025-07-28.pdf,2025-07-28,291174
08417544000165,emissao,data/raw/08417544000165/974566_emissao_emissao_974566_2025-08-12.pdf,974566_emissao_emissao_974566_2025-08-12.pdf,2025-08-12,338077
08692888000182,outro,data/raw/08692888000182/1017934_outro_outro_1017934_2025-07-07.pdf,1017934_outro_outro_1017934_2025-07-07.pdf,2025-07-07,316289
08692888000182,outro,data/raw/08692888000182/1037005_outro_outro_1037005_2025-09-01.pdf,1037005_outro_outro_1037005_2025-09-01.pdf,2025-09-01,244550
08692888000182,outro,data/raw/08692888000182/1046984_outro_outro_1046984_2025-11-26.pdf,1046984_outro_outro_1046984_2025-11-26.pdf,2025-11-26,311681
08692888000182,outro,data/raw/08692888000182/1098447_outro_outro_1098447_2025-12-31.pdf,1098447_outro_outro_1098447_2025-12-31.pdf,2025-12-31,659139
08692888000182,outro,data/raw/08692888000182/1111184_outro_outro_1111184_2025-12-01.pdf,1111184_outro_outro_1111184_2025-12-01.pdf,2025-12-01,236615
08692888000182,assembleia,data/raw/08692888000182/1173154_assembleia_assembleia_1173154_2026-04-28.pdf,1173154_assembleia_assembleia_1173154_2026-04-28.pdf,2026-04-28,658873
08692888000182,assembleia,data/raw/08692888000182/132082_assembleia_assembleia_132082_2021-01-08.pdf,132082_assembleia_assembleia_132082_2021-01-08.pdf,2021-01-08,104338
08692888000182,assembleia,data/raw/08692888000182/142211_assembleia_assembleia_142211_2020-01-15.pdf,142211_assembleia_assembleia_142211_2020-01-15.pdf,2020-01-15,698665
08692888000182,assembleia,data/raw/08692888000182/142212_assembleia_assembleia_142212_2020-01-15.pdf,142212_assembleia_assembleia_142212_2020-01-15.pdf,2020-01-15,275917
08692888000182,assembleia,data/raw/08692888000182/142213_assembleia_assembleia_142213_2020-01-15.pdf,142213_assembleia_assembleia_142213_2020-01-15.pdf,2020-01-15,1494240
08692888000182,regulamento,data/raw/08692888000182/142218_regulamento_regulamento_142218_2021-01-15.pdf,142218_regulamento_regulamento_142218_2021-01-15.pdf,2021-01-15,1494240
08692888000182,outro,data/raw/08692888000182/148377_outro_outro_148377_2020-12-01.pdf,148377_outro_outro_148377_2020-12-01.pdf,2020-12-01,522993
08692888000182,assembleia,data/raw/08692888000182/151267_assembleia_assembleia_151267_2021-02-24.pdf,151267_assembleia_assembleia_151267_2021-02-24.pdf,2021-02-24,519352
08692888000182,outro,data/raw/08692888000182/157920_outro_outro_157920_2020-12-31.pdf,157920_outro_outro_157920_2020-12-31.pdf,2020-12-31,610843
08692888000182,outro,data/raw/08692888000182/159205_outro_outro_159205_2021-03-31.pdf,159205_outro_outro_159205_2021-03-31.pdf,2021-03-31,76409
08692888000182,outro,data/raw/08692888000182/175672_outro_outro_175672_2021-03-01.pdf,175672_outro_outro_175672_2021-03-01.pdf,2021-03-01,711153
08692888000182,outro,data/raw/08692888000182/204845_outro_outro_204845_2021-06-01.pdf,204845_outro_outro_204845_2021-06-01.pdf,2021-06-01,364998
08692888000182,outro,data/raw/08692888000182/207806_outro_outro_207806_2021-08-12.pdf,207806_outro_outro_207806_2021-08-12.pdf,2021-08-12,299051
08692888000182,outro,data/raw/08692888000182/236140_outro_outro_236140_2021-11-01.pdf,236140_outro_outro_236140_2021-11-01.pdf,2021-11-01,657959
08692888000182,outro,data/raw/08692888000182/241931_outro_outro_241931_2021-11-04.pdf,241931_outro_outro_241931_2021-11-04.pdf,2021-11-04,534657
08692888000182,assembleia,data/raw/08692888000182/256404_assembleia_assembleia_256404_2022-01-12.pdf,256404_assembleia_assembleia_256404_2022-01-12.pdf,2022-01-12,820339
