cnpj,nome,priority_rank,status,erro,documentos_listados,documentos_selecionados,documentos_baixados
37284201000178,ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51,ok,,171,18,18
52596071000100,CONSIGNADO PLGN I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,52,ok,,77,17,17
62144964000160,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MEDICI - RESPONSABILIDADE LIMITADA,53,ok,,4,4,4
62705336000107,SALVADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO RESPONSABILIDADE LIMITADA,54,ok,,22,13,13
12813212000177,RNX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,55,ok,,195,18,18
55257461000136,SELLOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,56,ok,,32,9,9
54697682000162,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SOMACRED SABEMI CONSIGNADO PUBLICO III,57,ok,,68,15,15
61288838000117,IFOOD PAGO CRÉDITO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESP. LIMITADA,58,ok,,25,12,12
55914292000160,G5 SPECIAL F SEN CDI II FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,59,ok,,62,9,9
58085845000107,XP CREDIT PORTFOLIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,60,ok,,8,8,8
59534745000183,CHEMICAL XIV - FIDC - INDUSTRIA PETROQUIMICA,61,ok,,48,9,9
41778453000120,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INCLUSÃO FINANCEIRA,62,ok,,198,18,18
24506071000129,VIA CAPITAL ARTEMUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,63,ok,,291,18,18
60103810000103,JIVEMAUA BOSSANOVA CREDITO SECURITIZADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,64,ok,,27,11,11
53300525000109,IBCB-AF01 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,65,ok,,81,18,18
57271402000148,ROOT CAPITAL FIGUEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,66,ok,,34,7,7
29720593000142,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ MULTI CONSIGNADOS I,67,ok,,162,18,18
53744997000150,ALGARVE LEGAL CLAIMS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,68,ok,,52,18,18
53179862000190,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA FGTS MT II,69,ok,,72,18,18
26558785000106,QT UNIQUE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,70,ok,,165,18,18
55695976000118,FALCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,71,ok,,66,18,18
62717254000182,CLASSE B DO PÁTRIA CRÉDITO DESENVOLVIMENTO AMAZÔNIA FIDC - RESP. LIMITADA,72,ok,,10,10,10
59086325000181,CONSIGNADOS IX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,73,ok,,47,18,18
39663988000104,SPARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,74,ok,,129,18,18
40211693000186,30E FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,75,ok,,87,18,18
53661754000159,CRÉDITO CONSIGNADO PREFIXADO FI EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,76,ok,,57,13,13
53189745000107,CRÉDITO CONSIGNADO PREFIXADO FI EM COTAS DE FI EM DIR CRED FINANCEIROS DE RESPONSABILIDADE LIMITADA,77,ok,,90,17,17
41970012000126,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,78,ok,,151,18,18
55711612000184,TARTUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,79,ok,,48,6,6
54980022000194,BLC IV MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,80,ok,,35,4,4
56992610000173,VINCI CREDITO PORTFOLIO CDI+ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,81,ok,,33,7,7
56936116000191,FATOR TARKEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,82,ok,,37,18,18
55843467000195,BRZ CONSIGNADOS VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,83,ok,,79,18,18
45523699000102,VIXTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,84,ok,,140,18,18
59532738000142,CP III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,85,ok,,31,9,9
54114034000136,SAFRAS ARMAZÉNS GERAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,86,ok,,77,18,18
63845478000132,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SOMACRED VEGA SICILIA ASSISTENCIA FINANCEIRA RESP LTDA,87,ok,,19,12,12
54252144000164,J17 CONSIG FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIRO - RESPONSABILIDADE LIMITADA,88,ok,,79,18,18
52273542000131,FÊNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,89,ok,,92,18,18
45963809000157,PAYJOY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,90,ok,,118,18,18
65813874000103,POLO CAPITAL YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,91,ok,,2,2,2
64299705000134,ROOT CAPITAL FICUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,92,ok,,16,12,12
62627291000108,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,93,ok,,28,17,17
41197066000109,MOVILEPAY CRÉDITO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,94,ok,,153,18,18
59851384000107,GALLERIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 2,95,ok,,41,18,18
57088975000130,MS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,96,ok,,57,18,18
53245260000193,CP II FUNDO DE INVESTIMENTO DE DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,97,ok,,55,12,12
58817663000183,MD LESTE IC PRECATÓRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - DE RESPONSABILIDADE LIMITADA,98,ok,,39,17,17
62222488000159,GONN III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,99,ok,,16,7,7
53304254000160,ONTR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,100,ok,,32,3,3
58328083000122,PLGN AUTO LOANS I FEEDER FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,101,ok,,54,9,9
59764569000176,AUGME LVG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,102,ok,,29,9,9
