setor_n1,setor_n2,tipo_cota,linhas_tranche,fundos_unicos,volume_brl,volume_com_spread_cdi_brl,spread_cdi_mediano_aa,spread_cdi_p25_aa,spread_cdi_p75_aa,share_linhas_com_spread_cdi
Nao classificado,Sem classificacao,Sênior,17,10,30100025000.0,1000.0,5.3,4.949999999999999,5.65,0.11764705882352941
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Sênior,51,8,21703600653.59,0.0,,,,0.0
Crédito PJ,CCB/Notas comerciais/Capital de giro,Sênior,10,2,8810002000.0,0.0,,,,0.0
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Nao identificado,25,8,8052894205.59,1001.0,2.975,1.9625,3.9875,0.08
Nao classificado,Sem classificacao,Nao identificado,69,25,8005083485.86,250000000.0,1.49,1.4525000000000001,2.2375,0.057971014492753624
Crédito PF,Consignado/INSS,Sênior,7,2,4838248987.5,15000000.0,2.4,2.4,2.4,0.14285714285714285
Não classificado,Revisar manualmente,Nao identificado,23,5,3702983872.0,0.0,,,,0.0
Crédito PJ,Risco sacado/fornecedores,Nao identificado,50,3,3278487022.04,1710278482.09,5.5,2.5,6.0,0.6
Agro,Agro,Sênior,13,1,3107000000.0,1902000000.0,2.7,2.7,7.0,0.5384615384615384
Nao classificado,Sem classificacao,Subordinada,10,7,2807501000.0,10000000.0,1.28,1.28,1.28,0.1
Crédito PF,Crédito estudantil,Nao identificado,36,3,2751953016.0,11550000.0,0.0,0.0,0.0,0.05555555555555555
Crédito PF,FGTS,Nao identificado,19,3,2646297055.0,0.0,,,,0.0
Não classificado,Revisar manualmente,Sênior,5,3,1603213991.0,500000000.0,2.1,2.1,2.1,0.2
Crédito PF,Consignado/INSS,Nao identificado,19,3,1450182000.0,475000000.0,2.4,1.5375,2.4,0.3157894736842105
Judicial/Precatórios/NPL,Não padronizado/NPL,Nao identificado,12,2,1210044000.0,0.0,,,,0.0
Crédito PJ,Recebíveis comerciais/multissetorial,Nao identificado,27,1,875300000.0,795300000.0,2.9,2.75,3.925,0.7407407407407407
Judicial/Precatórios/NPL,Não padronizado/NPL,Subordinada,2,1,800000000.0,0.0,,,,0.0
Crédito PF,FGTS,Sênior,22,2,650181000.0,85000000.0,2.5,2.5,2.5,0.045454545454545456
Agro,Agro,Nao identificado,5,1,650000000.0,0.0,,,,0.0
Crédito PJ,Risco sacado/fornecedores,Mezanino,17,3,581500000.0,263000000.0,4.25,4.05,5.2,0.35294117647058826
Crédito PJ,Risco sacado/fornecedores,Sênior,10,2,485501000.0,481000000.0,3.65,1.8875,4.125,0.8
Crédito PJ,Recebíveis comerciais/multissetorial,Mezanino,18,1,425612616.4,165612616.4,3.6,3.6,3.9,0.5555555555555556
Crédito PF,Crédito estudantil,Sênior,10,3,417501000.0,0.0,,,,0.0
Não classificado,Revisar manualmente,Subordinada,2,1,200000000.0,0.0,,,,0.0
Meios de Pagamento e Cartões,Bancos Emissores,Sênior,6,1,110000000.0,20000000.0,5.0,5.0,5.0,0.16666666666666666
Crédito PJ,Risco sacado/fornecedores,Subordinada,4,2,108000000.0,0.0,,,,0.0
Agro,Agro,Mezanino,2,1,60000000.0,0.0,,,,0.0
Meios de Pagamento e Cartões,Bancos Emissores,Subordinada,4,1,55000000.0,0.0,,,,0.0
Crédito PJ,CCB/Notas comerciais/Capital de giro,Subordinada,3,2,50000000.0,0.0,,,,0.0
Meios de Pagamento e Cartões,Bancos Emissores,Nao identificado,7,1,40000000.0,5000000.0,5.0,5.0,5.0,0.7142857142857143
Agro,Agro,Subordinada,2,1,25000000.0,0.0,,,,0.0
Crédito PJ,CCB/Notas comerciais/Capital de giro,Nao identificado,5,2,20000000.0,0.0,,,,0.0
Crédito PF,Crédito estudantil,Subordinada,2,2,5001000.0,0.0,,,,0.0
Crédito PF,Crédito estudantil,Mezanino,1,1,5000000.0,0.0,,,,0.0
Crédito PJ,Recebíveis comerciais/multissetorial,Subordinada,1,1,100000.0,0.0,,,,0.0
Crédito PF,FGTS,Subordinada,3,2,3000.0,0.0,,,,0.0
Nao classificado,Sem classificacao,Mezanino,2,2,250.0,0.0,,,,0.0
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Subordinada,1,1,1.0,0.0,,,,0.0
Crédito PJ,Recebíveis comerciais/multissetorial,Sênior,2,1,0.0,0.0,,,,0.0
Crédito PF,Consignado/INSS,Subordinada,1,1,0.0,0.0,,,,0.0
Não classificado,Revisar manualmente,Mezanino,1,1,0.0,0.0,,,,0.0
