grupo,fundo,nome_curto,cnpj,data_referencia,categoria,tipo_documento,documento_id,source_file,arquivo_local_existe,page_count,categorias_com_evidencia,paginas_com_evidencia,amostra_trecho,status_auditoria
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2022,outro,Informe Trimestral,340650,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2022,outro,Informe Trimestral,373901,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2022,outro,Informe Trimestral,376748,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2022,outro,Informe Trimestral,410062,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2022,outro,Informe Trimestral,415493,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/12/2022,outro,Relatório de Agência de Rating,410762,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2022,outro,Demonstrações Financeiras,565264,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2023,outro,Informe Trimestral,454622,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/03/2023,outro,Relatório de Agência de Rating,457230,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,13/04/2023 18:00,assembleia,AGE,444985,data/raw/28472333000132/444985_assembleia_assembleia_444985_2023-04-13.pdf,True,103.0,alteracoes_assembleias: 5; amortizacao: 5; cotistas_partes_relacionadas: 5; direitos_creditorios_cessoes: 5; emissoes: 5; governanca_operacional: 5; performance_risco: 5; preco_economia: 5; triggers_protecao: 5,"1, 10, 11, 12, 13, 14, 15, 17, 18, 19, 2, 23, 24, 25, 26, 28, 3, 5, 6, 7, 9","...s de valores mobiliários pela CVM, de acordo com o Ato Declaratório CVM nº 19.368, expedido em 07 de dezembro de 2021 (“ Nova Gestora”), na qualidade de gestora da carteira do Fundo, conforme os termos descritos abaixo: (i) a Gestora e a Nova Gestora envidarão os seus melhores esforços para efetivar a substituição da Gestora pela Nova Gestora, na qualidade de gestora da carteira do Fundo, em até 30 (trinta) dias contados da data de realização da Assembleia Geral (a data da efetiva subs tituição da Gestora pela Nova Gestora, a “ Data de Transferência”); (ii) a Gestora deixará de exercer a função de gestora do Fundo a partir da Data da Transferência; a Gestora permanecerá responsável, perante os Cotistas e órgãos fiscalizadores e reguladores, p or todos os atos por ela praticados na gestão do Fundo até a Data de Transferência, inclusive, bem como pelos seguintes eventos abaixo relacionados:",PDF analisado
