veiculo_id,serie,codigo_negociacao,data_base,pu_R,quantidade_em_circulacao,saldo_da_serie_R,total_distribuido_aos_investidores_R,fonte_id
DEB-I,1ª,AMSC11,2026-07-31,438.97,15675,6880830.36,15039605.38,ANX-RMA-DEB
DEB-I,2ª,AMSC21,2026-07-31,1643.86,825,1356181.03,0.00,ANX-RMA-DEB
