serie,n_pagamento,data,paga_amortizacao,pct_amortizacao_do_saldo,paga_remuneracao
1ª,1,05/07/2024,não,0.0000,não
1ª,2,07/08/2024,não,0.0000,não
1ª,3,06/09/2024,sim,1.7241,sim
1ª,4,07/10/2024,sim,1.7544,sim
1ª,5,07/11/2024,sim,1.7857,sim
1ª,6,06/12/2024,sim,1.8182,sim
1ª,7,08/01/2025,sim,1.8519,sim
1ª,8,07/02/2025,sim,1.8868,sim
1ª,9,11/03/2025,sim,1.9231,sim
1ª,10,07/04/2025,sim,1.9608,sim
1ª,11,08/05/2025,sim,2.0000,sim
1ª,12,06/06/2025,sim,2.0408,sim
1ª,13,07/07/2025,sim,2.0833,sim
1ª,14,07/08/2025,sim,2.1277,sim
1ª,15,05/09/2025,sim,2.1739,sim
1ª,16,07/10/2025,sim,2.2222,sim
1ª,17,07/11/2025,sim,2.2727,sim
1ª,18,05/12/2025,sim,2.3256,sim
1ª,19,08/01/2026,sim,2.3810,sim
1ª,20,06/02/2026,sim,2.4390,sim
1ª,21,06/03/2026,sim,2.5000,sim
1ª,22,08/04/2026,sim,2.5641,sim
1ª,23,08/05/2026,sim,2.6316,sim
1ª,24,08/06/2026,sim,2.7027,sim
1ª,25,07/07/2026,sim,2.7778,sim
1ª,26,07/08/2026,sim,2.8571,sim
1ª,27,08/09/2026,sim,2.9412,sim
1ª,28,07/10/2026,sim,3.0303,sim
1ª,29,09/11/2026,sim,3.1250,sim
1ª,30,07/12/2026,sim,3.2258,sim
1ª,31,08/01/2027,sim,3.3333,sim
1ª,32,05/02/2027,sim,3.4483,sim
1ª,33,05/03/2027,sim,3.5714,sim
1ª,34,07/04/2027,sim,3.7037,sim
1ª,35,07/05/2027,sim,3.8462,sim
1ª,36,07/06/2027,sim,4.0000,sim
1ª,37,07/07/2027,sim,4.1667,sim
1ª,38,06/08/2027,sim,4.3478,sim
1ª,39,08/09/2027,sim,4.5455,sim
1ª,40,07/10/2027,sim,4.7619,sim
1ª,41,08/11/2027,sim,5.0000,sim
1ª,42,07/12/2027,sim,5.2632,sim
1ª,43,07/01/2028,sim,5.5556,sim
1ª,44,07/02/2028,sim,5.8824,sim
1ª,45,07/03/2028,sim,6.2500,sim
1ª,46,07/04/2028,sim,6.6667,sim
1ª,47,08/05/2028,sim,7.1429,sim
1ª,48,07/06/2028,sim,7.6923,sim
1ª,49,07/07/2028,sim,8.3333,sim
1ª,50,07/08/2028,sim,9.0909,sim
1ª,51,08/09/2028,sim,10.0000,sim
1ª,52,06/10/2028,sim,11.1111,sim
1ª,53,08/11/2028,sim,12.5000,sim
1ª,54,07/12/2028,sim,14.2857,sim
1ª,55,08/01/2029,sim,16.6667,sim
1ª,56,07/02/2029,sim,20.0000,sim
