ID CVM,Data referência,Data entrega,Categoria,Tipo,Espécie,Status,Classificação local,Nome fundo
670687,19/04/2024,28/05/2024 21:34,Atos de Deliberação do Administrador,Instrumento Particular de Constituição/Encerramento do Fundo,,AC,assembleia,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
670689,19/04/2024,28/05/2024 21:35,Regulamento,,,AC,regulamento,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
670691,28/04/2024,28/05/2024 21:37,Regulamento,,,AC,regulamento,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
679914,05/2024,14/06/2024 11:32,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
668387,24/05/2024,24/05/2024 19:00,Atos de Deliberação do Administrador,Instrumento Particular de Emissão de Cotas,,AC,assembleia,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
669104,27/05/2024,27/05/2024 18:07,Oferta Pública de Distribuição de Cotas,Anúncio de Início,,AC,emissao,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
670690,28/05/2024,28/05/2024 21:36,Atos de Deliberação do Administrador,Instrumento Particular de Alteração do Regulamento,,AC,regulamento,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
697540,06/2024,14/07/2024 15:57,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
716994,06/2024,13/08/2024 18:17,Informes Periódicos,Informe Trimestral,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
677544,11/06/2024,11/06/2024 18:03,Oferta Pública de Distribuição de Cotas,Anúncio de Encerramento,,AC,emissao,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
679614,13/06/2024,13/06/2024 18:43,Oferta Pública de Distribuição de Cotas,Anúncio de Início,,AC,emissao,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
683482,13/06/2024 20:00,19/06/2024 17:57,Assembleia,AGE,Ata da Assembleia,AC,assembleia,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
721759,07/2024,15/08/2024 21:15,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
738820,08/2024,13/09/2024 21:28,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
759316,09/2024,15/10/2024 20:02,Informes Periódicos,Informe Mensal Estruturado ,,IC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
759362,09/2024,15/10/2024 20:38,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
778334,09/2024,13/11/2024 16:32,Informes Periódicos,Informe Trimestral,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
779205,10/2024,14/11/2024 10:34,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
801180,11/2024,13/12/2024 19:23,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
818879,12/2024,14/01/2025 11:36,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
839147,12/2024,13/02/2025 19:44,Informes Periódicos,Informe Trimestral,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
798101,10/12/2024,10/12/2024 19:24,Oferta Pública de Distribuição de Cotas,Anúncio de Encerramento,,AC,emissao,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
870070,31/12/2024,31/03/2025 21:12,Informes Periódicos,Demonstrações Financeiras,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
839648,01/2025,14/02/2025 10:06,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
869529,01/01/2025,31/03/2025 18:47,Informes Periódicos,Demonstrações Financeiras,,CC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
858645,02/2025,14/03/2025 18:38,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
880377,03/2025,15/04/2025 09:57,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
901401,03/2025,14/05/2025 04:38,Informes Periódicos,Informe Trimestral,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
901515,04/2025,14/05/2025 10:06,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
883217,15/04/2025 00:00,22/04/2025 13:27,Assembleia,AGO,Carta Consulta,AC,assembleia,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
924717,05/2025,13/06/2025 18:49,Informes Periódicos,Informe Mensal Estruturado ,,IC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
924822,05/2025,13/06/2025 19:19,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
948062,06/2025,15/07/2025 20:37,Informes Periódicos,Informe Mensal Estruturado ,,IC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
949436,06/2025,18/07/2025 11:05,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
969122,06/2025,14/08/2025 09:22,Informes Periódicos,Informe Trimestral,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
968980,07/2025,13/08/2025 22:29,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
988690,08/2025,11/09/2025 17:56,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
