ID CVM,Data referência,Data entrega,Categoria,Tipo,Espécie,Status,Classificação local,Nome fundo
1012706,09/2025,14/10/2025 11:59,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1038491,09/2025,14/11/2025 10:47,Informes Periódicos,Informe Trimestral,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1036014,10/2025,13/11/2025 10:44,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1059588,11/2025,12/12/2025 00:04,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1085084,12/2025,15/01/2026 19:17,Informes Periódicos,Informe Mensal Estruturado ,,IC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1099639,12/2025,02/02/2026 21:00,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1114367,12/2025,13/02/2026 15:20,Informes Periódicos,Informe Trimestral,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1055482,02/12/2025 10:00,05/12/2025 17:36,Assembleia,AGE,Ata da Assembleia,AC,assembleia,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1151805,31/12/2025,31/03/2026 21:55,Informes Periódicos,Demonstrações Financeiras,,AC,outro,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1117134,01/2026,15/02/2026 23:29,Informes Periódicos,Informe Mensal Estruturado ,,IC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1118051,01/2026,19/02/2026 17:51,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1138086,02/2026,13/03/2026 21:47,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1164160,03/2026,15/04/2026 17:22,Informes Periódicos,Informe Mensal Estruturado ,,AC,informe_mensal,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
