cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,classification_evidence,rule_id,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level
17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,2,1800000000.0,1800000000.0,sem_curadoria_local
19388423000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOSAN,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,9,1390000000.0,790000000.0,sem_curadoria_local
22358482000199,AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,6,969998255.1800001,909998255.12,sem_curadoria_local
31570767000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRADEPAY VAREJO I,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,13,944000401.9000001,889000286.14,sem_curadoria_local
55070804000159,ESTRATÉGIA VINCULADA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,1,850000000.0,850000000.0,emissoes_curadas
41351629000163,SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,3,830000000.02,100000000.0,emissoes_curadas
62627051000103,TOP 2025 E FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,2,826750000.0,826750000.0,sem_curadoria_local
62390922000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLT NOW RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,3,808570000.0,380000000.0,sem_curadoria_local
53779703000126,XP CREDIT OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,1,718750000.0,718750000.0,sem_curadoria_local
57535898000110,ARTESANAL CRÉDITO ESTRUTURADO II FIDC DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,3,712500000.0,712500000.0,sem_curadoria_local
50491214000186,ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,12,680000000.0,400000000.0,sem_curadoria_local
43721652000128,NXC CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,12,649999998.63,305000000.0,sem_curadoria_local
62682486000142,MCP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,3,601000000.05,40000000.0,sem_curadoria_local
