setor_n1,setor_n2,emissores_unicos_equal_weight,volume_total_registrado,volume_encerrado_conservador,ticket_mediano_por_emissor,share_conf_alta
Não classificado,Revisar manualmente,650,70939284988.14,53237389567.84,52700000.045,0.0
Agro,Agro,152,33793406745.21,30911935991.05,69375000.0,0.8026315789473685
Judicial/Precatórios/NPL,Não padronizado/NPL,120,10588371932.79,7378573031.549999,25275000.09,0.20833333333333334
Crédito PJ,Recebíveis comerciais/multissetorial,116,15167786123.34,13475026039.330002,50000000.0,0.3793103448275862
Crédito PF,Consignado/INSS,114,41858776720.91,32473086759.920002,185000000.085,0.4824561403508772
FIC/Alocador,FIC de FIDC,96,13887426531.199999,11522746808.0,48750000.0,0.052083333333333336
Judicial/Precatórios/NPL,Precatórios/direitos judiciais,95,8377773487.809999,6188071879.12,37500000.0,0.7157894736842105
Crédito PJ,CCB/Notas comerciais/Capital de giro,62,19038688463.67,16487919056.7,92600000.27,1.0
Crédito PJ,Risco sacado/fornecedores,59,12369559463.58,10264459462.96,90000000.0,0.8983050847457628
Crédito PF,FGTS,36,13396095694.039999,13132595694.039999,246606673.12,0.6666666666666666
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,36,36394405653.59,35534405653.59,255000000.0,0.9166666666666666
Imobiliário,Imobiliário,25,2616317923.08,2085567902.6800003,35000000.0,0.76
Crédito PF,Auto/Veículos,21,16173434999.96,14142434999.96,435050000.0,0.47619047619047616
Infra/Energia,Energia/infra,17,6638001031.51,6307571031.43,220000000.07999998,0.4117647058823529
Meios de Pagamento e Cartões,Bancos Emissores,16,2611875773.34,2499375773.34,96137649.8,0.875
Crédito PF,Crédito pessoal/consumo,15,2398504794.4900002,2027504794.4,80979432.0,0.8666666666666667
Crédito PF,Crédito estudantil,6,2273200000.0,2133200000.0,304900000.0,1.0
